node_audit_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,raw_node_strict_syntax_tier,raw_node_strict_syntax_tier_order,all_candidate_best_evidence_grade,all_candidate_best_evidence_grade_order,focus_candidate_best_evidence_grade,focus_candidate_best_evidence_grade_order,shared_ite_document_frequency,shared_tg_document_frequency,ite_incident_pair_count,tg_incident_pair_count,ite_relation_supported_incident_pair_count,tg_relation_supported_incident_pair_count,ite_highest_side_evidence_level,tg_highest_side_evidence_level,all_candidate_combination_count,focus_node_nontrivial_path_count,focus_candidate_combination_count,focus_endpoint_quarantine_path_count,tier_A_candidate_count,tier_B_candidate_count,tier_C_candidate_count,best_candidate_id,best_focus_candidate_id,human_relation_review_status,cross_paper_compatibility_status,novelty_status,release_status,release_reason,shared_minimum_document_frequency
1,GC_02772d498f8b,heat transfer,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,6,7,10,0,0,1,1,70,70,45,25,0,0,70,TC_cd0ecd6bcc01,TC_cd0ecd6bcc01,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
2,GC_028a986f2d99,organic solvent,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,5,1,12,0,0,1,1,12,12,9,3,0,0,12,TC_adc40889d0b0,TC_adc40889d0b0,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
3,GC_030e2d8d54dd,double network,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,2,4,7,0,0,1,1,28,28,14,14,0,0,28,TC_85c54a3c674b,TC_85c54a3c674b,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
4,GC_05ff932ccf02,temperature dependent,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,2,4,4,11,0,0,1,1,44,0,0,0,0,0,44,TC_cc31c491121f,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,2
5,GC_06ab309e3607,electrochemical impedance spectroscopy,evidence_method,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,1,4,0,0,1,1,3,0,0,0,0,0,3,TC_35e9406e339d,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
6,GC_06f57a9bca46,polymer electrolyte,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,1,4,3,0,0,1,1,12,12,4,8,0,0,12,TC_c8beff0eebf0,TC_72ce6e3a3e09,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
7,GC_08f3d1289864,mechanical strength,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,4,2,9,4,0,0,1,1,36,0,0,0,0,0,36,TC_94c6e941c143,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,2
8,GC_0958e69b1fba,thermoelectric hydrogel,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,1,14,1,0,0,1,1,14,14,12,2,0,0,14,TC_e34ec4c7046e,TC_e34ec4c7046e,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
9,GC_09c84fb5d355,maximum power,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,4,18,14,32,0,0,1,1,443,0,0,0,0,0,443,TC_773450b6590a,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,4
10,GC_0ca6bf1bbab3,power conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,5,2,16,0,0,1,1,32,32,13,19,0,0,32,TC_0021b5ac1a3d,TC_8aaa4a334829,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
11,GC_0ccd2355ac39,high power,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,2,2,3,7,0,0,1,1,21,0,0,0,0,0,21,TC_b843395208ea,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,2
12,GC_0f4681a9cd6b,thermal transport,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,2,6,6,0,0,1,1,35,35,29,6,0,0,35,TC_318593f2e4af,TC_85a8930f9527,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
13,GC_0fe733725a97,p n pair,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,2,1,2,0,0,1,1,2,2,2,0,0,0,2,TC_fb1afa3e8d4b,TC_fb1afa3e8d4b,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
14,GC_118af0040619,thermopower,outcome_or_property,False,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,Q_endpoint_quarantine_or_no_path,4,49,19,100,52,0,1,1,2,5197,0,0,0,0,100,5097,TC_5ab8f499de08,,pending,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,19
15,GC_14298daab4bf,kcl,literal_formula,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,4,2,20,6,0,0,1,1,120,0,0,0,0,0,120,TC_795aecdd7512,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,2
16,GC_16b42e37ba7a,open circuit,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,8,12,18,29,0,0,1,1,517,0,0,0,0,0,517,TC_812e76b9934d,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,8
17,GC_1adb8486dade,temperature dependence,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,2,4,0,0,1,1,8,0,0,0,0,0,8,TC_e0ad31476a21,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
18,GC_1e4633c244ec,coupling,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,6,4,25,9,0,0,1,1,225,225,161,64,0,0,225,TC_f000edf817f8,TC_bcbe04dd5c62,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,4
19,GC_1ebccd90c2bc,kbr,literal_formula,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,5,5,0,0,1,1,25,0,0,0,0,0,25,TC_b64806caefc0,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
20,GC_2087c0b71e9e,external power,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,4,4,5,3,0,0,1,1,15,0,0,0,0,0,15,TC_891b0f9a41b2,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,4
