overlap_id,pair_id_ite,analysis_layer_ite,pair_key,left_global_concept_id,left_label,right_global_concept_id,right_label,paper_count_ite,sentence_count_ite,strict_syntax_relation_paper_count_ite,first_year_ite,last_year_ite,supporting_paper_ids_ite,supporting_dois_ite,supporting_titles_ite,example_evidence_sentence_ite,example_left_surface_ite,example_right_surface_ite,pair_id_tg,analysis_layer_tg,paper_count_tg,sentence_count_tg,strict_syntax_relation_paper_count_tg,first_year_tg,last_year_tg,supporting_paper_ids_tg,supporting_dois_tg,supporting_titles_tg,example_evidence_sentence_tg,example_left_surface_tg,example_right_surface_tg,interpretation
XO_378df46bb08a,IP_378df46bb08a,iTE,GC_6cdb23f33c74::GC_cf542d621742,GC_6cdb23f33c74,seebeck coefficient,GC_cf542d621742,thermal conductivity,7,7,0,2017,2026,P0377; P0399; P0410; P0414; P0450; P0509; P0535,10.1021/acsomega.3c08257; 10.1021/acsapm.4c03816; 10.1002/aelm.201700013; 10.1021/acs.jced.5c00230; 10.1002/adfm.202306086; 10.1016/j.cej.2024.149344; 10.1039/d5se01406a,"Kaolin Clay-Based Geopolymer for Ionic Thermoelectric Energy Harvesting; Lignin-Derived Ionic Hydrogels for Thermoelectric Energy Harvesting; Ionic Thermoelectric Figure of Merit for Charging of Supercapacitors; Experimental Study of the Thermoelectric Properties in Ionic Liquid plus Organic Solvent Hybrid System; Highly Stretchable, Resilient, Adhesive, and Self-Healing Ionic Hydrogels for Thermoelectric Application","This study delves into the thermoelectric properties of Ikere white (IKW)-geopolymer, derived from kaolin clay, by employing rigorous measurements of thermal conductivity, electrical conductivity, and Seebeck coefficient.",Seebeck coefficient,thermal conductivity,TP_378df46bb08a,TG,2,2,0,2013,2021,P0067; P0676,10.1021/acsami.1c12443; 10.1016/j.electacta.2013.08.087,Wearable Electronics Based on the Gel Thermogalvanic Electrolyte for Self-Powered Human Health Monitoring; Towards ionic liquid-based thermoelectrochemical cells for the harvesting of thermal energy,"With a micropore-widespread polyvinylidene fluoride diaphragm implanted in the gel, a thermal barrier was created between the two halves, effectively improving the Seebeck coefficient by reducing its thermal conductivity.",Seebeck coefficient,thermal conductivity,same_normalized_pair_observed_independently_in_both_layers
XO_1423183dddfe,IP_1423183dddfe,iTE,GC_16b42e37ba7a::GC_234b2810632d,GC_16b42e37ba7a,open circuit,GC_234b2810632d,open circuit voltage,6,6,0,2022,2026,P0349; P0417; P0512; P0591; P0616; P1057,10.1038/s41467-024-45432-7; 10.1038/s41467-026-71286-2; 10.1016/j.cej.2025.165588; 10.1016/j.cej.2026.176392; 10.1002/asia.202200850; 10.1038/s41467-025-66027-w,"High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy; An ultrathin ionic thermoelectric cell design utilizing near body heat for self-powered wearable electronics; Ultra-tough, self-healing, n-type liquid crystal elastomer thermoelectric lonogels via synergistic hydrogen-bonds and electrostatic interaction; Environmentally stable and adhesive hemicellulose eutectogel for n-type ionic thermoelectrics; Multi-Ionic Hydrogel with Outstanding Heat-to-Electrical Performance for Low-Grade Heat Harvesting","In a prototype 25-cell module, the open-circuit voltage and short-circuit current are 6.9 V and 68 mA, respectively, and the maximum power is 131 mW.",open-circuit,open-circuit voltage,TP_1423183dddfe,TG,10,12,0,1998,2024,P0009; P0045; P0050; P0057; P0068; P0093; P0117; P0211; P0328; P1024,10.1126/science.adg0164; 10.1016/j.nanoen.2024.110329; 10.1016/j.solener.2024.112939; 10.1016/j.nanoen.2022.107449; 10.3390/mi14071327; 10.1016/j.nanoen.2018.12.073; 10.1007/s10854-015-4043-7; 10.1149/1945-7111/acd4ed; 10.1016/s0378-7753(97)02676-1; 10.1002/cssc.201901566,"In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production; Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor; A novel solar-driven thermogalvanic cell with integrated heat storage capabilities; Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; Self-Powered, Non-Toxic, Recyclable Thermogalvanic Hydrogel Sensor for Temperature Monitoring of Edibles","A large-area generator (112 square centimeters) consisting of 36 units yielded an open-circuit voltage of 4.4 volts and a power of 20.1 milliwatts, as well 0.5 millimoles of hydrogen and 0.2 millimoles of oxygen after 6 hours of outdoor operation.",open-circuit,open-circuit voltage,same_normalized_pair_observed_independently_in_both_layers
XO_e90c81a979bf,IP_e90c81a979bf,iTE,GC_6cdb23f33c74::GC_bc536166f47d,GC_6cdb23f33c74,seebeck coefficient,GC_bc536166f47d,ionic conductivity,6,6,0,2024,2026,P0344; P0435; P0496; P0509; P0577; P0685,10.1016/j.colsurfa.2025.138182; 10.1002/app.70303; 10.1021/acsapm.5c00177; 10.1016/j.cej.2024.149344; 10.1007/s13233-025-00485-5; 10.1002/app.70650,"High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors; Epichlorohydrin-Crosslinked Lignin-Polyvinyl Alcohol Hydrogel for Ionic Thermoelectric Applications; Dual-Cation Doping Thermoelectric PVA Hydrogel for Self-Powered Strain Sensors; Enlightening thermoelectric mastery: Bio-inspired cellulose gel containing eco-friendly deep eutectic solvents; Stretchable, self-healing, anti-freezing PDES ionic gels for rapid temperature-change sensing and health monitoring","Ionic thermoelectric hydrogels (i-TEHs) hold great promise for low-grade thermal energy harvesting and self-powered sensing, but their applications are limited by the trade-off between ionic conductivity and the Seebeck coefficient.",Seebeck coefficient,ionic conductivity,TP_e90c81a979bf,TG,2,2,0,2020,2023,P0200; P0285,10.1021/acs.nanolett.3c02870; 10.1016/j.electacta.2020.135651,Stretchable and Durable Bacterial Cellulose-Based Thermocell with Improved Thermopower Density for Low-Grade Heat Harvesting; Unravelling ionic speciation and hydration structure of Fe(III/II) redox couples for thermoelectrochemical cells,"Therefore, the BC-GTC shows a Seebeck coefficient of 3.84 mV K-1, an ionic conductivity of 108.5 mS cm(-1), and a high specific output power density of 1760 mu W m(-2) K-2, which are much higher than most current literature.",Seebeck coefficient,ionic conductivity,same_normalized_pair_observed_independently_in_both_layers
XO_ce8e1246423f,IP_ce8e1246423f,iTE,GC_6cdb23f33c74::GC_d18c91f9affa,GC_6cdb23f33c74,seebeck coefficient,GC_d18c91f9affa,temperature difference,4,4,0,2021,2026,P0344; P0440; P1254; P1665,10.1016/j.colsurfa.2025.138182; 10.1016/j.nanoen.2026.111707; 10.1063/5.0055367; 10.3390/nano12162774,High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors; Thermosensitive adhesion boosts low-grade heat harvesting of ionic thermoelectric hydrogels; A chemical kinetics perspective on thermoelectric transport; Charge Regulation and pH Effects on Thermo-Osmotic Conversion,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",Seebeck coefficient,temperature difference,TP_ce8e1246423f,TG,3,3,0,2017,2026,P0070; P0114; P0263,10.1002/aelm.202300089; 10.1016/j.ijhydene.2017.08.111; 10.1016/j.cej.2026.178256,A Quasisolid Electrolyte Thermogalvanic Cell by Using Sand Grains; A solid state thermogalvanic cell harvesting low-grade thermal energy; Efficient seawater desalination enabled by temperature-regulated electrolyte gradient,"It is found that although sand grains are common, widely seen in the desert, the Carnot efficiency of such N-type QS-Cu-TGCs is quite high, about 4%, with the Seebeck coefficient of 8.4 mV K-1, driven by the temperature difference 12.1 K between two electrodes, in an environment below 373 K.",Seebeck coefficient,temperature difference,same_normalized_pair_observed_independently_in_both_layers
XO_dbb04c97782d,IP_dbb04c97782d,iTE,GC_118af0040619::GC_4a92e5f4fe38,GC_118af0040619,thermopower,GC_4a92e5f4fe38,hydrogel,3,3,0,2022,2025,P0338; P0458; P0510,10.1002/smll.202501960; 10.1021/acs.jpclett.2c02645; 10.1016/j.cej.2024.150307,Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability; Soret Effect of Ionic Liquid Gels for Thermoelectric Conversion; A double network facilitated ion-electron conductor for thermoelectric harvesting with high energy density,The as-prepared hydrogel with thermopower of 17.0 +/- 1.0 mV K-1 stables at 82% of its original performance when immersed in the electrolyte.,thermopower,hydrogel,TP_dbb04c97782d,TG,1,1,0,2025,2025,P0031,10.1016/j.colsurfa.2025.137971,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,"As a result, the TGC using this hydrogel achieves a normalized power density of 700 mu W & sdot;m-2 & sdot;K-2 (Pmax@Delta T = 10 K) and a high thermopower of 3.2 mV & sdot;K-1.",thermopower,hydrogel,same_normalized_pair_observed_independently_in_both_layers
XO_1637a181f72d,IP_1637a181f72d,iTE,GC_21272088b98f::GC_7ca4d45a305d,GC_21272088b98f,maximum output power,GC_7ca4d45a305d,maximum output power density,2,2,0,2026,2026,P0433; P0440,10.1088/1361-6463/ae5c15; 10.1016/j.nanoen.2026.111707,Nanofluidic ionic thermoelectric energy conversion through the thermal management of electronic devices using composite phase-change material; Thermosensitive adhesion boosts low-grade heat harvesting of ionic thermoelectric hydrogels,"Furthermore, the ionic thermoelectric module delivers a maximum output power density of 165.98 mW m-2 in an alkaline electrolyte at a pH value of 11 compared to 93.48 mW m-2 under neutral conditions at 0.05 M ion concentration.",maximum output power,maximum output power density,TP_1637a181f72d,TG,1,1,0,2023,2023,P0056,10.1002/aenm.202302011,Self-Assembled Asymmetric Electrodes for High-Efficiency Thermogalvanic Cells,"It is demonstrated that the electrodes have high catalytic activity and high specific surface area, enabling the construction of a high-efficiency TGC with a Carnot-relative efficiency (& eta;r) of 14.8% and a maximum output power density (Pmax) of 24.5 W m-2.",maximum output power,maximum output power density,same_normalized_pair_observed_independently_in_both_layers
XO_31675fa6d9e3,IP_31675fa6d9e3,iTE,GC_49990adc781e::GC_842144ce90c3,GC_49990adc781e,energy conversion,GC_842144ce90c3,energy conversion efficiency,2,2,0,2025,2026,P0361; P0421,10.1007/s42765-025-00529-6; 10.1093/nsr/nwag227,Rational Design of Robust and Efficient Natural Leather-Based Ionic Thermoelectric Detectors for Energy-Autonomous and Anti-scalding; Figure of merit for ionic thermoelectric materials,"Including numerous and suitable nano-/micro-channels together with fast-moving cations, the leather-based i-TEs (LITE), LITE-SC0.75 M, possess excellent thermoelectric properties, achieving a Seebeck coefficient of 6.23 mV/K, a figure of merit of 0.084, and an energy conversion efficiency of 2.12%.",energy conversion,energy conversion efficiency,TP_31675fa6d9e3,TG,2,2,0,2014,2019,P0207; P0303,10.1039/c9ee01930h; 10.1007/s10800-013-0638-y,Simultaneous energy harvesting and storage via solar-driven regenerative electrochemical cycles; Design and optimization of thermo-electrochemical cells,"A high energy conversion efficiency (1.23%, and 11.9% versus the Carnot efficiency) is achieved under a low temperature gradient of 35 degrees C.",energy conversion,energy conversion efficiency,same_normalized_pair_observed_independently_in_both_layers
XO_27e7ec00d4c4,IP_27e7ec00d4c4,iTE,GC_4a92e5f4fe38::GC_6cdb23f33c74,GC_4a92e5f4fe38,hydrogel,GC_6cdb23f33c74,seebeck coefficient,2,2,0,2023,2025,P0364; P0379,10.1002/smll.202502884; 10.1016/j.carbpol.2023.121310,P-N Series Integrated Ionic Thermoelectric Generator Based on Cation/Anion-Selective Hydrogels for Body Heat Harvesting; Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors,"This regulates the thermal mobility of ions in the hydrogel without polymer modification or the addition of some additives, thus enhancing or changing the Seebeck coefficient (S).",hydrogel,Seebeck coefficient,TP_27e7ec00d4c4,TG,2,2,0,2021,2024,P0027; P1493,10.1016/j.mtener.2024.101546; 10.1021/acsami.1c07266,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-; Rational Design of Thermocells Driven by the Volume Phase Transition of Hydrogel Nanoparticles,"However, the influence of hydrogel nanostructure on Seebeck coefficient remains underexplored.",hydrogel,Seebeck coefficient,same_normalized_pair_observed_independently_in_both_layers
XO_c44314d0629d,IP_c44314d0629d,iTE,GC_4b155e3c784d::GC_6cdb23f33c74,GC_4b155e3c784d,thermoelectric conversion,GC_6cdb23f33c74,seebeck coefficient,2,2,0,2024,2025,P0514; P1180,10.1016/j.enbuild.2024.114390; 10.1016/j.jcis.2025.137344,"Thermoelectric engineered cementitious composites with low thermal conductivity for efficiency improvement of buildings; Multifunctional carbon nanotubes based hydrogel integrates photothermal water desalination, photothermal power generation, sensing, and flame retardancy, with a multi purpose and adjustable thermoelectric effect","Thermoelectric conversion efficiency varied with CF length and dosage, with a peak improvement in the Seebeck coefficient reaching 5.9 mV/degrees C.",Thermoelectric conversion,Seebeck coefficient,TP_c44314d0629d,TG,1,1,0,2021,2021,P1493,10.1021/acsami.1c07266,Rational Design of Thermocells Driven by the Volume Phase Transition of Hydrogel Nanoparticles,"Recently, we reported that a liquid-state thermocell driven by the volume phase transition of hydrogel nanoparticles showed highly efficient thermoelectric conversion with Seebeck coefficient (S-e) of -6.7 mV K-1.",thermoelectric conversion,Seebeck coefficient,same_normalized_pair_observed_independently_in_both_layers
XO_6aa8aeeb53e7,IP_6aa8aeeb53e7,iTE,GC_6cdb23f33c74::GC_f99f14bc2e66,GC_6cdb23f33c74,seebeck coefficient,GC_f99f14bc2e66,thermoelectric voltage,2,2,0,2022,2023,P1053; P1665,10.1016/j.ijheatmasstransfer.2023.124454; 10.3390/nano12162774,Effect of hydrodynamic slip on thermoelectric response in negatively-charged nanofluidic channels; Charge Regulation and pH Effects on Thermo-Osmotic Conversion,"The slip-enhancement of the Seebeck coefficient, i.e., the thermoelectric voltage at open-circuit condition, is not significant due to the increase in surface conductivity caused by slip-amplified electroosmosis, es-pecially at low electrolyte concentrations.",Seebeck coefficient,thermoelectric voltage,TP_6aa8aeeb53e7,TG,1,1,0,2018,2018,P0299,10.1039/c7se00470b,Thermo-electrochemical cells empowered by selective inclusion of redox-active ions by polysaccharides,Thermo-electrochemical cells (TECs) are a class of thermoelectric materials that offer high thermoelectric voltage (Seebeck coefficient) with potentially lower costs compared to the conventional thermoelectric materials.,Seebeck coefficient,thermoelectric voltage,same_normalized_pair_observed_independently_in_both_layers
