mapping_candidate_id,candidate_edge_id,edge_role,ite_endpoint_global_concept_id,ite_endpoint_label,ite_endpoint_category,ite_endpoint_layer_node_id,tg_endpoint_global_concept_id,tg_endpoint_label,tg_endpoint_category,tg_endpoint_layer_node_id,unordered_group_id,path_count,distinct_shared_route_count,candidate_path_ids,shared_global_concept_ids,shared_labels,ite_pair_ids,tg_pair_ids,source_closure_group_ids,best_evidence_grade,best_evidence_grade_order,worst_evidence_grade,worst_evidence_grade_order,best_grade_path_count,best_grade_distinct_shared_route_count,best_path_ids,R2_path_count,R1_path_count,R0_path_count,unclassified_path_count,representative_best_path_id,representative_best_shared_global_concept_id,representative_best_shared_label,representative_best_minimum_pair_paper_count,representative_best_minimum_pair_sentence_count,representative_best_shared_route_hubness,ite_semantic_status_signature,tg_semantic_status_signature,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,discovery_bucket,human_confirmation_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed_signature,novelty_claim_allowed,scientific_claim_status,candidate_edge_status,graph_eligible,orientation_count,is_mirrored,mirror_mapping_candidate_id,discovery_bucket_order,identity_blind_evidence_audit_order,discovery_queue_order_within_bucket,evidence_order_policy_id,discovery_queue_policy_id
CM_e8cf450abb78,CM_e8cf450abb78,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_3c432d56645d,thermal gradient,mechanism_or_process,LN_44bf675ae30c,GC_6624fb8cc64b,temperature dependent host guest interaction,mechanism_or_process,LN_a242c5999247,UG_e8cf450abb78,1,1,TC_6b6af2caadc5,GC_cf402379d512,concentration gradient,IP_e121590ef3d9,TP_671a0fd969af,CL_96817e7a88e6,R2_dual_direct_sentence_relations,1,R2_dual_direct_sentence_relations,1,1,1,TC_6b6af2caadc5,1,0,0,0,TC_6b6af2caadc5,GC_cf402379d512,concentration gradient,1,1,60,direct_sentence_relation_accepted,direct_sentence_relation_accepted,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,1,1,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_0786baeb27bb,CM_0786baeb27bb,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_5ce88e5ad7e0,thermal migration,mechanism_or_process,LN_616c10d3c38a,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,LN_8eadb5699f95,UG_0786baeb27bb,1,1,TC_da24175205a5,GC_f50bbe3cdc5d,temperature gradient,IP_a7bc3e27e342,TP_3d10de20fa31,CL_edc8a601a452,R1_single_direct_sentence_relation,2,R1_single_direct_sentence_relation,2,1,1,TC_da24175205a5,0,1,0,0,TC_da24175205a5,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,direct_sentence_relation_accepted,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,2,37,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_087002f70f17,CM_087002f70f17,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_7b481902f9fd,resulting reconstructed lignocellulose ion,material_or_structure,LN_484e361211eb,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,LN_8eadb5699f95,UG_c420a3517487,1,1,TC_6fa2db4e973c,GC_f50bbe3cdc5d,temperature gradient,IP_b6ff6572b288,TP_3d10de20fa31,CL_7894b15226cf,R1_single_direct_sentence_relation,2,R1_single_direct_sentence_relation,2,1,1,TC_6fa2db4e973c,0,1,0,0,TC_6fa2db4e973c,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,direct_sentence_relation_accepted,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,3,38,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_09eb03e04863,CM_09eb03e04863,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_7fb4fd8a0af1,thermal ionic diffusion,mechanism_or_process,LN_c05e7560b1ee,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,LN_8eadb5699f95,UG_d49902cd2c9c,1,1,TC_e5ddae313288,GC_f50bbe3cdc5d,temperature gradient,IP_e3c5c8861a33,TP_3d10de20fa31,CL_138b8d80797d,R1_single_direct_sentence_relation,2,R1_single_direct_sentence_relation,2,1,1,TC_e5ddae313288,0,1,0,0,TC_e5ddae313288,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,direct_sentence_relation_accepted,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,4,39,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_0c77c60748a6,CM_0c77c60748a6,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_3c432d56645d,thermal gradient,mechanism_or_process,LN_44bf675ae30c,GC_f33dfec886d8,synergistically enlarges solvation entropy,mechanism_or_process,LN_2cbf6d6a8c3f,UG_0c77c60748a6,2,2,TC_682dd75bc308; TC_de62589b4dd5,GC_4a92e5f4fe38; GC_cf402379d512,concentration gradient; hydrogel,IP_66e32a932a9e; IP_e121590ef3d9,TP_5a017709ea4c; TP_6558e5f528e4,CL_36d1eb607954,R1_single_direct_sentence_relation,2,R0_cooccurrence_only_or_rejected,3,1,1,TC_de62589b4dd5,0,1,1,0,TC_de62589b4dd5,GC_cf402379d512,concentration gradient,1,1,60,cooccurrence_only; direct_sentence_relation_accepted,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable; pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,5,10,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_0da8b5001fdd,CM_0da8b5001fdd,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_f34a82d9630d,steady temperature gradient,mechanism_or_process,LN_26a948497b0d,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,LN_8eadb5699f95,UG_ddb98c6aba91,1,1,TC_219663b4e1c6,GC_f50bbe3cdc5d,temperature gradient,IP_34d2ee7d65f7,TP_3d10de20fa31,CL_953fcede433c,R1_single_direct_sentence_relation,2,R1_single_direct_sentence_relation,2,1,1,TC_219663b4e1c6,0,1,0,0,TC_219663b4e1c6,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,direct_sentence_relation_accepted,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,6,40,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_0eb7e25c053b,CM_0eb7e25c053b,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_1f740b9fe27e,oh-,literal_formula,LN_7b0fcc7dcef2,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,LN_8eadb5699f95,UG_0eb7e25c053b,1,1,TC_9b5fba6bdc3c,GC_f50bbe3cdc5d,temperature gradient,IP_31a4aafd9c5d,TP_3d10de20fa31,CL_2b482614db48,R1_single_direct_sentence_relation,2,R1_single_direct_sentence_relation,2,1,1,TC_9b5fba6bdc3c,0,1,0,0,TC_9b5fba6bdc3c,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,direct_sentence_relation_accepted,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7,41,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_17c6ed7d0f0d,CM_17c6ed7d0f0d,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_c8efb46bae52,suppressing cation,material_or_structure,LN_3a9442487115,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,LN_8eadb5699f95,UG_c5fd0579241e,1,1,TC_61c1a239ef0b,GC_f50bbe3cdc5d,temperature gradient,IP_7c41d8851eb8,TP_3d10de20fa31,CL_229e68a8f065,R1_single_direct_sentence_relation,2,R1_single_direct_sentence_relation,2,1,1,TC_61c1a239ef0b,0,1,0,0,TC_61c1a239ef0b,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,direct_sentence_relation_accepted,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,8,42,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_1b624377e317,CM_1b624377e317,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_96687fd1b877,anion adsorption,mechanism_or_process,LN_e6d41c823d5d,GC_5f9395c3b80a,entropy,mechanism_or_process,LN_b26f52a5bd6b,UG_854b40b3f344,1,1,TC_37161d1b5d0e,GC_720e69b53d5a,concentration difference,IP_8836d6fae355,TP_b3aa5f6c861b,CL_078b8bf4a739,R1_single_direct_sentence_relation,2,R1_single_direct_sentence_relation,2,1,1,TC_37161d1b5d0e,0,1,0,0,TC_37161d1b5d0e,GC_720e69b53d5a,concentration difference,1,1,15,direct_sentence_relation_accepted,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,9,5,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_1cb6ceba36ed,CM_1cb6ceba36ed,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_f06335f211de,spatially confined fixed anion,material_or_structure,LN_3bf781b101d5,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,LN_8eadb5699f95,UG_928432ea1bee,1,1,TC_cb46d2cb8786,GC_f50bbe3cdc5d,temperature gradient,IP_099742d98033,TP_3d10de20fa31,CL_908ce9c466be,R1_single_direct_sentence_relation,2,R1_single_direct_sentence_relation,2,1,1,TC_cb46d2cb8786,0,1,0,0,TC_cb46d2cb8786,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,direct_sentence_relation_accepted,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,pending,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,10,43,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
