pair_id,edge_id,edge_type,analysis_layer,pair_key,left_global_concept_id,left_label,left_layer_node_id,right_global_concept_id,right_label,right_layer_node_id,source_node_id,target_node_id,directed,paper_count,sentence_count,strict_syntax_relation_paper_count,first_year,last_year,atomic_evidence_record_count,unique_sentence_support_count,authoritative_provenance_fk,relation_candidate_ids,strict_relation_candidate_ids,semantic_accepted_relation_ids,semantic_rejected_relation_ids,semantic_pending_relation_ids,production_relation_ids,pair_evidence_status,is_direct_exact_pair_overlap,direct_pair_overlap_id,cross_layer_partner_pair_id,observed_evidence,causal_claim,graph_edge_status
TP_0001d6e775f2,TP_0001d6e775f2,same_sentence_pair,TG,GC_935c8a2c0bed::GC_c48ae8c07dcc,GC_935c8a2c0bed,ternary composite,LN_9a59ea0260a6,GC_c48ae8c07dcc,ternary composite electrode,LN_0bbf123f6518,LN_9a59ea0260a6,LN_0bbf123f6518,False,1,1,0,2023,2023,1,1,TP_0001d6e775f2,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_002bfeabcd50,TP_002bfeabcd50,same_sentence_pair,TG,GC_82322e409c3c::GC_bbb29d51b9cd,GC_82322e409c3c,light emitting,LN_11c6f614c940,GC_bbb29d51b9cd,output voltage,LN_db640c97f25a,LN_11c6f614c940,LN_db640c97f25a,False,1,1,0,2023,2023,1,1,TP_002bfeabcd50,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_003a2fa092d8,TP_003a2fa092d8,same_sentence_pair,TG,GC_b922063cd003::GC_e25dfa9dcbd3,GC_b922063cd003,anti freezing,LN_3be04fdf9063,GC_e25dfa9dcbd3,composite hydrogel,LN_0ebbd4caef83,LN_3be04fdf9063,LN_0ebbd4caef83,False,1,1,0,2024,2024,1,1,TP_003a2fa092d8,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_00700f039199,TP_00700f039199,same_sentence_pair,TG,GC_d3aef9f1ae1f::GC_f7553cd07f36,GC_d3aef9f1ae1f,marginal solvation entropy,LN_b793cb5adc8e,GC_f7553cd07f36,hydrogel electrolyte,LN_2c5e4280419c,LN_b793cb5adc8e,LN_2c5e4280419c,False,1,1,0,2026,2026,1,1,TP_00700f039199,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_00a39ea274ec,TP_00a39ea274ec,same_sentence_pair,TG,GC_30808d38707c::GC_957f98196552,GC_30808d38707c,thermoelectrochemical cell,LN_62ec7a77567a,GC_957f98196552,and/or tertiary ammonium cation,LN_418f37d517f2,LN_62ec7a77567a,LN_418f37d517f2,False,1,1,0,2016,2016,1,1,TP_00a39ea274ec,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_00aa7872b862,TP_00aa7872b862,same_sentence_pair,TG,GC_234b2810632d::GC_3cb102b9bb3d,GC_234b2810632d,open circuit voltage,LN_e6367d223636,GC_3cb102b9bb3d,normalized power density,LN_41f6d6698a57,LN_e6367d223636,LN_41f6d6698a57,False,1,1,0,2023,2023,1,1,TP_00aa7872b862,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_00cc9b56a1bf,TP_00cc9b56a1bf,same_sentence_pair,TG,GC_7abe572670fb::GC_b6eb3d8cea98,GC_7abe572670fb,output power,LN_6dbfbf8b965d,GC_b6eb3d8cea98,ultrafast cooling,LN_87c14607cafd,LN_6dbfbf8b965d,LN_87c14607cafd,False,1,1,0,2024,2024,1,1,TP_00cc9b56a1bf,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_00db6800198e,TP_00db6800198e,same_sentence_pair,TG,GC_398527940ee6::GC_65d1061f2500,GC_398527940ee6,excellent photothermal property,LN_219a525bf3e3,GC_65d1061f2500,composite electrode,LN_4cba8af466d0,LN_219a525bf3e3,LN_4cba8af466d0,False,1,1,0,2024,2024,1,1,TP_00db6800198e,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_00def45957b7,TP_00def45957b7,same_sentence_pair,TG,GC_61ee27fd0843::GC_b8bc6d5be518,GC_61ee27fd0843,specific output power density,LN_02565c6fbcc0,GC_b8bc6d5be518,sthtcs,LN_492f25c7baf3,LN_02565c6fbcc0,LN_492f25c7baf3,False,1,1,0,2022,2022,1,1,TP_00def45957b7,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_016910fe346a,TP_016910fe346a,same_sentence_pair,TG,GC_3ea8786de366::GC_560009ffc2e4,GC_3ea8786de366,thermogalvanic cell,LN_e5b6c67a0e2e,GC_560009ffc2e4,electrode dependent,LN_49e978fee04c,LN_e5b6c67a0e2e,LN_49e978fee04c,False,1,1,0,2024,2024,1,1,TP_016910fe346a,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
