pair_id,analysis_layer,pair_key,left_global_concept_id,left_label,right_global_concept_id,right_label,paper_count,sentence_count,strict_syntax_relation_paper_count,first_year,last_year,supporting_paper_ids,supporting_dois,supporting_titles,example_evidence_sentence,example_left_surface,example_right_surface
IP_38c83c0ff80a,iTE,GC_5efc27b241e5::GC_e7888ba5e114,GC_5efc27b241e5,power factor,GC_e7888ba5e114,ionogel,3,3,1,2024,2026,P0502; P0536; P0686,10.1002/adfm.202402823; 10.1016/j.cej.2024.155789; 10.1002/adfm.75062,"Stable, Self-Adhesive, and High-Performance Graphene-Oxide-Modified Flexible Ionogel Thermoelectric Films; Stretchable and thermo-mechanical stable ionogels with high thermoelectric properties for respiratory sensing and energy harvesting; Highly Hydrophobic, Self-Healing, and Stretchable N-type Ionogels for High-Performance Wearable Thermoelectrics",Detailed structural characterizations confirm that the uniform dispersion of GO particles in the ionogel structure enables a power factor of 753.0 mu W m-1 K-2 and a promising ZT value of 0.19.,power factor,ionogel
IP_74c7586b48eb,iTE,GC_05203ac208f7::GC_9f138d3cd94d,GC_05203ac208f7,host guest complexation,GC_9f138d3cd94d,diffusion,1,1,1,2025,2025,P0337,10.1002/aenm.202405502,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis.",host-guest complexation,diffusion
IP_8ca0d090c29e,iTE,GC_174473113892::GC_5240a8a256de,GC_174473113892,confinement,GC_5240a8a256de,ion mobility difference,1,1,1,2025,2025,P0337,10.1002/aenm.202405502,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,"This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",confinement,ion mobility difference
IP_9ac23ec4ecc2,iTE,GC_1b4bd81e3b05::GC_dcc12f3294ea,GC_1b4bd81e3b05,conical pore,GC_dcc12f3294ea,ionic concentration gradient,1,1,1,2025,2025,P0530,10.1016/j.ijheatmasstransfer.2025.126758,Effects of thermoosmosis and thermophoresis of finite-sized ions along with a pressure-driven flow on the thermoelectric field in a conical hydrophobic nanopore,"In addition, the geometric asymmetry of the conical pore also generates an ionic concentration gradient.",conical pore,ionic concentration gradient
IP_9baca2698cd3,iTE,GC_1b7421b4dbc1::GC_b2a3d8e3f4cd,GC_1b7421b4dbc1,reversible hydrogen bonding interaction,GC_b2a3d8e3f4cd,good mechanical strength,1,1,1,2024,2024,P0368,10.1016/j.cej.2024.157823,"Conductive ionic thermoelectric hydrogel with negative Seebeck coefficient, self-healing and highly sensitive to temperature for photothermoelectric conversion and non-contact sensing device","Moreover, reversible hydrogen bonding interactions provides ionic hydrogels with good mechanical strength and self-healing capabilities.",reversible hydrogen bonding interactions,good mechanical strength
IP_3bb8cbc9522b,iTE,GC_1e03a3994ac6::GC_af946b4a8209,GC_1e03a3994ac6,mobility,GC_af946b4a8209,ion/polymer interaction,1,1,1,2022,2022,P0406,10.1039/d2tc01130a,An ionic thermoelectric ratchet effect in polymeric electrolytes,"Here, we show that the ion/polymer interaction in PEG based electrolytes does not only affect the mobility of the ions, but also has a great impact on the Seebeck coefficient.",mobility,ion/polymer interaction
IP_95919fe1896a,iTE,GC_21e736157249::GC_56695b051557,GC_21e736157249,unstable thermoelectric voltage,GC_56695b051557,coupled thermal migration,1,1,1,2026,2026,P0359,10.1016/j.jobe.2025.114806,Polyvinyl alcohol/sodium alginate double network hydrogels design for high-performance p-type ionic thermoelectric cement-based composites,"However, their internal ionic complexity and the coupled thermal migration behavior between cations and anions often lead to insufficient thermoelectric performance and unstable thermoelectric voltage, hindering their further development.",unstable thermoelectric voltage,coupled thermal migration
IP_9477aedd06a1,iTE,GC_2276a756595b::GC_fa728d0896cb,GC_2276a756595b,srtio3,GC_fa728d0896cb,ion selective anchoring,1,1,1,2026,2026,P0589,10.1016/j.cej.2026.177118,Decoupling ion transport and mechanical robustness in ionic thermoelectrics via defect-rich SrTiO3 nanofibers,"The ferroelectric polarization and oxygenvacancy-rich surfaces of SrTiO3 generate built-in local electric fields and ion-selective anchoring sites, which promote ion dissociation and amplify cation-anion migration asymmetry.",SrTiO3,ion-selective anchoring
IP_99e18ee308b7,iTE,GC_27998e08b8e3::GC_7320e2b5d0b7,GC_27998e08b8e3,hydration,GC_7320e2b5d0b7,regulation,1,1,1,2025,2025,P0497,10.1002/smll.202412336,Enhancing the Thermoelectric Performance of Sustainable Cellulose-Based Ionogels Through Water Content Regulation,"Experimental characterizations and molecular dynamic simulation studies elucidate that the regulation of water content induces the hydration of 1-butyl-3-methylimidazolium cation and the swelling of CIG, which greatly promotes the ions diffusion and expands the difference in mobility between anions and cations.",hydration,regulation
IP_4882ca492717,iTE,GC_2d3def110786::GC_ccf65ea14aef,GC_2d3def110786,zn2+,GC_ccf65ea14aef,coordination interaction,1,1,1,2023,2023,P1345,10.1039/d2ta09068f,Rarely negative-thermovoltage cellulose ionogel with simultaneously boosted mechanical strength and ionic conductivity via ion-molecular engineering,"Doping Zn2+ induces coordination interactions with cellulose molecules (Zn2+-COO-) through coupling hydrogen bonding and ion-dipole interactions, resulting in a robust CZ ionogel with 15- and 10-times improvement in the elastic modulus and toughness, respectively.",Zn2+,coordination interactions
IP_14b609635d89,iTE,GC_3398e8cea34a::GC_ceb835af27aa,GC_3398e8cea34a,differential interaction,GC_ceb835af27aa,cl- diffusion,1,1,1,2026,2026,P1719,10.1002/adfm.202532004,Regulated Ion-Diffusion Hydrogels for Subtle and Multimodal Temperature-Strain Sensing in Wound Monitoring,"Differential interactions between the polymeric network and infused ions give rise to distinct Li+ and Cl- diffusion rates, generating a thermodiffusion-induced voltage in response to subtle temperature gradients down to 0.1 K.",Differential interactions,Cl- diffusion
IP_f5fe22db6ce0,iTE,GC_3ac0632d429e::GC_7a689ab39691,GC_3ac0632d429e,ion preferential association,GC_7a689ab39691,rapid transport,1,1,1,2023,2023,P0537,10.1126/sciadv.adk2098,Exceptional n-type thermoelectric ionogels enabled by metal coordination and ion-selective association,"Strong coordination of lithium ion with ether oxygen and the anion-rich clusters generated by ion-preferential association promote rapid transport of the anions and boost Eastman entropy change, resulting in a huge negative ionic Seebeck coefficient (-15 millivolts per kelvin) and a high electrical conductivity (1.86 millisiemens per centimeter) at 50% relative humidity.",ion-preferential association,rapid transport
