pair_evidence_id,pair_id,analysis_layer,pair_key,sentence_pair_id,relation_id,paper_id,source_record_ids,doi,title,abstract_sha256,sentence_id,evidence_sentence,left_global_concept_id,left_surface,left_char_start,left_char_end,right_global_concept_id,right_surface,right_char_start,right_char_end,relation_source_surface,relation_source_char_start,relation_source_char_end,predicate_surface,predicate_char_start,predicate_char_end,relation_target_surface,relation_target_char_start,relation_target_char_end,strict_syntax_eligible,graph_eligible,evidence_scope
PE_b2d5eec3f81a,TP_0001d6e775f2,TG,GC_935c8a2c0bed::GC_c48ae8c07dcc,SP_8a0ef185551a,,P0154,TG_0153,10.1002/adfm.202209806,Constructing Flexible Film Electrode with Porous Layered Structure by MXene/SWCNTs/PANI Ternary Composite for Efficient Low-Grade Thermal Energy Harvest,0f8d812a83c2561fffb1134cc91756e9e68252e31cd6f8b740ed73a840ee8918,4,The ternary composite electrodes form a porous layered structure with a large electrochemical-active surface area.,GC_935c8a2c0bed,ternary composite,627,644,GC_c48ae8c07dcc,ternary composite electrodes,627,655,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_449b0ea92471,TP_002bfeabcd50,TG,GC_82322e409c3c::GC_bbb29d51b9cd,SP_a8875cd1494f,,P0200,TG_0199,10.1021/acs.nanolett.3c02870,Stretchable and Durable Bacterial Cellulose-Based Thermocell with Improved Thermopower Density for Low-Grade Heat Harvesting,dc1bde5831352e4ec96c7070fbf9ad29033d261c4ec00e245e267ab07a0ae1a3,5,"Further connecting 15 units of BC-GTCs, the output voltage of 3.35 V can be obtained at a temperature gradient of 65 K, which can directly power electronic devices such as electronic calculators, thermohydrometers, fans, and light-emitting diodes (LEDs).",GC_82322e409c3c,light-emitting,898,912,GC_bbb29d51b9cd,output voltage,717,731,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_06b79ea0277f,TP_003a2fa092d8,TG,GC_b922063cd003::GC_e25dfa9dcbd3,SP_5c3df12d4855,,P0166,TG_0165,10.1002/aenm.202402226,Electrolyte Engineering of Quasi-Solid-State Thermocells for Low-Grade Heat Harvest at Sub-Zero Temperatures,fa7034355f239ec72733ea6152546de40b1cf648446d9a8d373a7613e9c6d0ce,10,"A composite hydrogel electrolyte is rationally engineered for thermocells to achieve multiple objectives: increasing thermopower, enhancing mechanical strength, and improving anti-freezing and moisture-retaining capabilities.",GC_b922063cd003,anti-freezing,1678,1691,GC_e25dfa9dcbd3,composite hydrogel,1505,1523,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_5f39ba68fd97,TP_00700f039199,TG,GC_d3aef9f1ae1f::GC_f7553cd07f36,SP_51b3ed727695,,P0172,TG_0171,10.1039/d6sc03942a,Engineering asymmetric solvation structures for synergistically boosted quasi-solid thermocells,11de2e0c4fcd636a3f57dbb3daf97cd94461a54708f2830485ee9d486491fe71,2,"Introducing a single solvent into hydrogel electrolytes, a common strategy to enhance thermopower, often yields a marginal solvation entropy difference between redox ions and provides limited gains in ion transport.",GC_d3aef9f1ae1f,marginal solvation entropy,277,303,GC_f7553cd07f36,hydrogel electrolytes,197,218,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_a9f77e8dbfeb,TP_00a39ea274ec,TG,GC_30808d38707c::GC_957f98196552,SP_ad258b5c12bd,,P0660,iTE1_0351,10.1039/c5ra24835c,Synthesis and characterization of protic ionic liquids as thermoelectrochemical materials,c394809297d0f905bd30521977ecb41ced4d88e6d63c5248e4cf7ffa5d81aa0b,2,"Two series of protic ionic liquids based on secondary and/or tertiary ammonium cations with the trifluoroacetate, methanesulfonate, trifluoromethanesulfonate and tosylate anions were synthesized for thermoelectrochemical cells.",GC_30808d38707c,thermoelectrochemical cells,352,379,GC_957f98196552,and/or tertiary ammonium cations,207,239,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_6af850ff0a3d,TP_00aa7872b862,TG,GC_234b2810632d::GC_3cb102b9bb3d,SP_ba526db6e91d,,P0211,TG_0210,10.1149/1945-7111/acd4ed,Investigation of the Effective Voltage and Performance of Thermocells,d4f81d9ba2a847e8d9690db24cd8086c163d94e2eb33ea609267eb945af426ef,7,We also verified the validity of normalized power density estimated from the open-circuit voltage.,GC_234b2810632d,open-circuit voltage,982,1002,GC_3cb102b9bb3d,normalized power density,938,962,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_e455efeaedd7,TP_00cc9b56a1bf,TG,GC_7abe572670fb::GC_b6eb3d8cea98,SP_37ad01429dce,,P0053,TG_0052,10.1002/aenm.202303358,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,b088dc9ac79980cdc18210ab57492904beff0dab597fd578f394ca2b8c744bec,7,Stretchable thermogalvanic hydrogels with high output power densities are fabricated by ultrafast cooling with liquid nitrogen quenching.,GC_7abe572670fb,output power,1098,1110,GC_b6eb3d8cea98,ultrafast cooling,1139,1156,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_ebe802c8af77,TP_00db6800198e,TG,GC_398527940ee6::GC_65d1061f2500,SP_4cd9e9360e14,,P0050,TG_0049,10.1016/j.solener.2024.112939,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,795d6c194b056a9fbc7f73fc9490da01a447055d93e5815fe9d91907df43e00d,5,"This study developed composite electrodes with high conductivity, excellent photothermal properties, and heat storage capabilities, and applied them in thermogalvanic cells.",GC_398527940ee6,excellent photothermal properties,494,527,GC_65d1061f2500,composite electrodes,449,469,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_83cb178a225a,TP_00def45957b7,TG,GC_61ee27fd0843::GC_b8bc6d5be518,SP_8e53283d8a36,,P0039,TG_0038,10.1039/d2ee00738j,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,523f391f221a566095e424cd505e39b66a703aca9736d759930cd7d8d4aab422,2,"We demonstrated a highly ionic conductive, anti-freezing stretchable thermogalvanic hydrogel thermocell (STHTC) with a record-high specific output power density of 1780 mu W m(-2) K-2, which is similar to 3 times the maximum value of previously reported STHTCs.",GC_61ee27fd0843,specific output power density,304,333,GC_b8bc6d5be518,STHTCs,427,433,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_6044d58d3aec,TP_016910fe346a,TG,GC_3ea8786de366::GC_560009ffc2e4,SP_04b5790e0133,,P0044,TG_0043,10.1039/d4ee01642d,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,2ed630cddfdabe4489d21209d0491c5ad94a10d20744a81a9633767b1592ffd1,1,Thermogalvanic cells offer scalable low-grade waste heat recovery using tunable electrode-dependent thermopower and electrolyte-dependent thermal conductivities.,GC_3ea8786de366,Thermogalvanic cells,0,20,GC_560009ffc2e4,electrode-dependent,80,99,,,,,,,,,,False,False,same_sentence_cooccurrence_only
