sentence_pair_id,paper_id,analysis_layer,source_membership,year,title,doi,sentence_id,evidence_sentence,left_global_concept_id,left_layer_node_id,left_label,left_surface,left_char_start,left_char_end,right_global_concept_id,right_layer_node_id,right_label,right_surface,right_char_start,right_char_end,pair_key,evidence_scope,strict_syntax_relation_supported
SP_993a242222cf,P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,1,Current smart dressings with wound monitoring and electrical stimulation capabilities rely on flexible electronics comprising various sensors and external power sources.,GC_2087c0b71e9e,LN_cdd5a19e1655,external power,external power,146,160,GC_44d3ce0e17ea,LN_5863c88869c7,electronics comprising various sensor,electronics comprising various sensors,103,141,GC_2087c0b71e9e::GC_44d3ce0e17ea,same_sentence_cooccurrence_not_causal,False
SP_3c8842359936,P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,GC_6eb439c118a7,LN_3c5402cfba32,fe2+/fe3+ cross linked alginate hydrogel,Fe2+/Fe3+ cross-linked alginate hydrogel,649,689,GC_9b75b319b0a5,LN_b8d0351492f2,fe2+/fe3+,Fe2+/Fe3+,649,658,GC_6eb439c118a7::GC_9b75b319b0a5,same_sentence_cooccurrence_not_causal,False
SP_efb8f7b99cbc,P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,GC_6eb439c118a7,LN_3c5402cfba32,fe2+/fe3+ cross linked alginate hydrogel,Fe2+/Fe3+ cross-linked alginate hydrogel,649,689,GC_e89d14e00520,LN_be6b7f3fc957,cross linked,cross-linked,659,671,GC_6eb439c118a7::GC_e89d14e00520,same_sentence_cooccurrence_not_causal,False
SP_6745314983dc,P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,GC_3ea8786de366,LN_e5b6c67a0e2e,thermogalvanic cell,thermogalvanic cell,602,621,GC_6eb439c118a7,LN_3c5402cfba32,fe2+/fe3+ cross linked alginate hydrogel,Fe2+/Fe3+ cross-linked alginate hydrogel,649,689,GC_3ea8786de366::GC_6eb439c118a7,same_sentence_cooccurrence_not_causal,False
SP_f1435653dd74,P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,GC_9b75b319b0a5,LN_b8d0351492f2,fe2+/fe3+,Fe2+/Fe3+,649,658,GC_e89d14e00520,LN_be6b7f3fc957,cross linked,cross-linked,659,671,GC_9b75b319b0a5::GC_e89d14e00520,same_sentence_cooccurrence_not_causal,False
SP_b2ffe4f98fb5,P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,GC_3ea8786de366,LN_e5b6c67a0e2e,thermogalvanic cell,thermogalvanic cell,602,621,GC_9b75b319b0a5,LN_b8d0351492f2,fe2+/fe3+,Fe2+/Fe3+,649,658,GC_3ea8786de366::GC_9b75b319b0a5,same_sentence_cooccurrence_not_causal,False
SP_e5d032c57824,P0001,TG,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,4,This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.,GC_3ea8786de366,LN_e5b6c67a0e2e,thermogalvanic cell,thermogalvanic cell,602,621,GC_e89d14e00520,LN_be6b7f3fc957,cross linked,cross-linked,659,671,GC_3ea8786de366::GC_e89d14e00520,same_sentence_cooccurrence_not_causal,False
SP_d416367f891b,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,2,"However, their fundamental electrolytes meet challenges toward high cooling performance due to the absence of rational design principles.",GC_06d2021f6ae3,LN_4cf2010ba68b,fundamental electrolyte,fundamental electrolytes,137,161,GC_37ed05d8d43e,LN_a71320e3bce0,cooling,cooling,190,197,GC_06d2021f6ae3::GC_37ed05d8d43e,same_sentence_cooccurrence_not_causal,False
SP_d1f1985070fb,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,3,Developing thermogalvanic electrolytes with high-temperature coefficients and low heat capacity is the key to efficient electrochemical refrigeration.,GC_79e64bdeeac6,LN_7905aba65a79,developing thermogalvanic electrolyte,Developing thermogalvanic electrolytes,260,298,GC_eea53d0b3908,LN_c69a61e2a9af,heat capacity,heat capacity,342,355,GC_79e64bdeeac6::GC_eea53d0b3908,same_sentence_cooccurrence_not_causal,False
SP_802612bf561b,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,3,Developing thermogalvanic electrolytes with high-temperature coefficients and low heat capacity is the key to efficient electrochemical refrigeration.,GC_79e64bdeeac6,LN_7905aba65a79,developing thermogalvanic electrolyte,Developing thermogalvanic electrolytes,260,298,GC_cfc79e26d8d5,LN_caf57c8cbe8e,electrochemical refrigeration,electrochemical refrigeration,380,409,GC_79e64bdeeac6::GC_cfc79e26d8d5,same_sentence_cooccurrence_not_causal,False
