pair_id,analysis_layer,pair_key,left_global_concept_id,left_label,right_global_concept_id,right_label,paper_count,sentence_count,strict_syntax_relation_paper_count,first_year,last_year,supporting_paper_ids,supporting_dois,supporting_titles,example_evidence_sentence,example_left_surface,example_right_surface
TP_ac8554d63a3a,TG,GC_118af0040619::GC_abd31bd36d27,GC_118af0040619,thermopower,GC_abd31bd36d27,associated configurational entropy,1,1,1,2024,2024,P0044,10.1039/d4ee01642d,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,Exploiting the entropy of fusion among thermogalvanic devices and the associated configurational entropy change of bulk alkali metal alloys enables significant boosting of the thermopower from 1.5 mV K-1 to 26.1 mV K-1 for Na2+xK alloys.,thermopower,associated configurational entropy
TP_aa2ba82adfa3,TG,GC_234b2810632d::GC_a51be089433c,GC_234b2810632d,open circuit voltage,GC_a51be089433c,maxsorb electrode,1,1,1,1998,1998,P0328,10.1016/s0378-7753(97)02676-1,Effect of non-graphitized carbon electrodes on the electrochemical characteristics of a thermocell with a Br2/Br- redox couple,The Maxsorb electrodes provide a higher open-circuit voltage than graphite (Perma Foil) eletrodes and the maximum discharge current density is 2.4 mA/cm(2) until the voltage reaches 0 V.,open-circuit voltage,Maxsorb electrodes
TP_028338e3be61,TG,GC_266b8cee4008::GC_3430a50e63de,GC_266b8cee4008,fenc,GC_3430a50e63de,redox kinetics,1,1,1,2023,2023,P0277,10.1002/adfm.202304067,FeNC Electrocatalyst for Enhancing Fe(II)/Fe(III) Redox Kinetics in Thermo-Electrochemical Cells,"Moreover, the use of a cost-effective FeNC electrocatalyst shows redox kinetics and a power density comparable to those of state-of-the-art Pt electrodes, economically compensating for the sluggish charge-transfer kinetics of the inner-sphere redox mechanism.",FeNC,redox kinetics
TP_c03006feebb9,TG,GC_345d9b2416ca::GC_eb1ae6ca699a,GC_345d9b2416ca,ion crystallization,GC_eb1ae6ca699a,guanidine ion,1,1,1,2022,2022,P0039,10.1039/d2ee00738j,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,The guanidine ion induces [Fe(CN)(6)](4-) ion crystallization and significantly enhances the thermogalvanic effect.,ion crystallization,guanidine ion
TP_3437e2b50c6d,TG,GC_34a9543f05f6::GC_e49423da4792,GC_34a9543f05f6,doped cnt electrode,GC_e49423da4792,short circuit current,1,1,1,2012,2012,P0316,10.1149/2.043205jes,Nitrogen- and Boron-Doped Carbon Nanotube Electrodes in a Thermo-Electrochemical Cell,"In TEC test, accumulation of potassium ions at doped CNT electrodes was found to reduce short-circuit current.",doped CNT electrodes,short-circuit current
TP_46ec6d90fab8,TG,GC_3c0cb933cdf7::GC_bc536166f47d,GC_3c0cb933cdf7,ion pair,GC_bc536166f47d,ionic conductivity,1,1,1,2020,2020,P0285,10.1016/j.electacta.2020.135651,Unravelling ionic speciation and hydration structure of Fe(III/II) redox couples for thermoelectrochemical cells,"Herein, we unravel that the excellent performance of the Fe(III)/(II) perchlorate is ascribed to the non-coordinating nature of its perchlorate anion, which suppresses the formation of the ion pairs that reduce the S-e and ionic conductivity.",ion pairs,ionic conductivity
TP_f7730f01f0f7,TG,GC_4b258d6f5671::GC_e998988ab136,GC_4b258d6f5671,rapid h 2/h+ redox reaction,GC_e998988ab136,hot electrode,1,1,1,2019,2019,P0109,10.1021/acsenergylett.9b00944,Powerful Thermogalvanic Cells Based on a Reversible Hydrogen Electrode and Gas-Containing Electrolytes,We choose the rapid H-2/H+ redox reaction that generates H-2 gas at the hot electrode while consuming it at the cool electrode.,rapid H-2/H+ redox reaction,hot electrode
TP_32df6b43c115,TG,GC_4e7b45cbe60d::GC_dad97d797387,GC_4e7b45cbe60d,thermogalvanic ion,GC_dad97d797387,redox reaction,1,1,1,2022,2022,P0185,10.1002/adfm.202201021,Anti-Fatigue and Highly Conductive Thermocells for Continuous Electricity Generation,"Distinct from existing batteries relying on periodic recharging, thermocells added with thermogalvanic ions are a promising candidate because they enable continuous electricity generation through redox reactions driven by ubiquitous waste heat.",thermogalvanic ions,redox reactions
TP_671a0fd969af,TG,GC_6624fb8cc64b::GC_cf402379d512,GC_6624fb8cc64b,temperature dependent host guest interaction,GC_cf402379d512,concentration gradient,1,1,1,2016,2016,P0283,10.1021/jacs.6b04923,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,"This temperature-dependent host-guest interaction provides a concentration gradient of redox ion pairs between two electrodes, leading to the eminent performance of the thermo-electrochemical cells.",temperature-dependent host-guest interaction,concentration gradient
TP_2cc037465bff,TG,GC_691eb258b626::GC_967653ea5f9f,GC_691eb258b626,persistent cu2+ concentration gradient,GC_967653ea5f9f,thermosensitive crystallization,1,1,1,2026,2026,P0255,10.1007/s40820-025-01977-w,High-Performance Cu-Based Liquid Thermocells Enabled by Thermosensitive Crystallization and Etched Carbon Cloth Electrode,"The thermosensitive crystallization process establishes a persistent Cu2+ concentration gradient, boosting the thermopower from 1.47 to 2.93 mV K-1.",persistent Cu2+ concentration gradient,thermosensitive crystallization
TP_3d10de20fa31,TG,GC_71c1faf6fa71::GC_f50bbe3cdc5d,GC_71c1faf6fa71,favourable electrochemical redox reaction,GC_f50bbe3cdc5d,temperature gradient,1,1,1,2023,2023,P0065,10.1039/d2cc05413b,"High Seebeck coefficient thermogalvanic cells via the solvent-sensitive charge additivity of cobalt 1,8-diaminosarcophagine","A temperature gradient across the device drives an entropically favourable electrochemical redox reaction, resulting in continuous current production.",favourable electrochemical redox reaction,temperature gradient
TP_55487e46c75c,TG,GC_81050fa131f1::GC_cf542d621742,GC_81050fa131f1,limited heat transfer,GC_cf542d621742,thermal conductivity,1,1,1,2023,2023,P0076,10.1002/eom2.12302,Regenerable aerogel-based thermogalvanic cells for efficient low-grade heat harvesting from solar radiation and interfacial solar evaporation systems,"The low thermal conductivity of the porous cellulose aerogel enables limited heat transfer from the hot side to the cold side, and thermal energy management effectively reduces heat loss from the hot side to the environment.",limited heat transfer,thermal conductivity
TP_3072bc015b6f,TG,GC_82ec4743fdbe::GC_ca0e9aaf82f2,GC_82ec4743fdbe,robust eutectogel network,GC_ca0e9aaf82f2,nonvolatile deep eutectic solvent,1,1,1,2026,2026,P0155,10.1093/nsr/nwaf518,3D printable shape-customized hydrogel thermocells,"Nonvolatile deep eutectic solvents in the photopolymer ink precursors form robust eutectogel networks through ultraviolet-initiated polymerization, ensuring high structural fidelity (down to 130 mu m).",robust eutectogel networks,Nonvolatile deep eutectic solvents
