concept,doc_freq,first_year,last_year,concept_type,graph_role,x,y,degree,weighted_degree
seebeck coefficient,527,1995,2026,property_metric,background,8.359261,2.8192697,635,4599
thermal conductivity,413,2000,2026,property_metric,background,5.553205,1.7276145,522,3642
electrical conductivity,315,1992,2026,property_metric,background,4.649722,2.9674702,503,2414
ionic thermoelectric,296,2009,2026,material_system,background,8.040833,9.535954,414,2856
ionic liquid,205,2007,2026,material_system,background,9.133116,9.644299,355,1289
ionic conductivity,188,1994,2026,property_metric,background,5.123484,2.6084096,387,1620
room temperature,162,1995,2026,material_system,background,11.653039,3.900544,424,1295
lattice thermal conductivity,155,2004,2026,property_metric,background,5.208263,0.35131535,318,1491
density functional theory,142,1999,2026,computational_method,background,6.1432867,7.9828267,307,1282
ionic radius,129,1995,2026,material_system,background,10.244398,6.7075434,271,1015
energy conversion,119,1998,2026,material_system,background,6.1069593,10.36309,366,1027
thermoelectric applications,116,1994,2026,material_system,background,6.908396,11.207781,336,984
carrier concentration,112,1992,2026,material_system,background,3.7061462,6.5885754,274,937
temperature range,111,1995,2026,material_system,background,11.609348,3.3545086,318,895
low thermal conductivity,109,2009,2026,property_metric,background,5.428939,1.6760643,352,1093
temperature gradient,109,1992,2026,material_system,background,11.574351,4.1322536,309,903
seebeck coefficients,108,1996,2026,property_metric,background,7.9737124,2.5535214,369,1020
temperature difference,99,2008,2026,material_system,background,11.786333,4.69372,315,899
high ionic,99,1995,2026,material_system,background,7.738138,3.5688138,282,1147
ionic bonding,99,2003,2026,material_system,background,11.958903,8.639704,220,819
ionic seebeck,91,2004,2026,property_metric,background,7.551671,3.1889575,260,1000
power density,87,2016,2026,property_metric,background,5.9037137,8.395221,275,818
high seebeck,85,2006,2026,property_metric,background,7.689199,3.1505637,330,954
ion transport,73,1995,2026,transport_mechanism,background,3.9078367,5.0188317,248,613
thermoelectric conversion,71,1995,2026,material_system,background,6.510084,10.177929,270,603
ionic seebeck coefficient,67,2004,2026,property_metric,background,8.347247,2.7642798,225,814
boltzmann transport,66,2009,2026,material_system,background,2.6106033,4.741437,194,732
ionic thermoelectric materials,66,2017,2026,material_system,background,7.482415,8.70331,229,654
power generation,61,2003,2026,material_system,background,6.9332757,9.208903,240,514
high seebeck coefficient,60,2006,2026,property_metric,background,8.286895,2.7128465,274,682
thermal transport,59,2003,2026,material_system,background,3.9182603,5.016957,217,549
ionic radii,59,1995,2026,material_system,background,9.524987,7.073796,179,447
high thermopower,57,2014,2026,property_metric,background,9.082648,4.4022264,206,564
electronic transport,56,1992,2026,material_system,background,4.25877,4.998659,205,406
high temperature,55,2000,2026,material_system,background,11.971871,4.101721,225,471
conversion efficiency,52,2014,2026,property_metric,background,6.40763,10.250434,237,470
low lattice thermal conductivity,51,2007,2026,property_metric,background,5.206539,0.24413328,195,562
electron microscopy,51,2007,2026,characterization_method,background,7.27874,5.055991,182,411
thermoelectric transport,50,2003,2026,material_system,background,3.8989768,5.0425634,194,444
temperature gradients,49,2009,2026,material_system,background,11.696561,4.032846,185,412
soret effect,49,2005,2026,transport_mechanism,background,7.4544497,2.6717684,186,461
phase transition,49,2003,2026,phase_or_species_transition,background,6.2686534,6.0244136,185,359
ionic thermopower,49,2005,2026,property_metric,background,9.136927,4.4330783,196,513
charge transport,48,1996,2026,material_system,background,4.2422547,5.439918,196,338
ionic conduction,47,1992,2026,material_system,background,5.566169,3.379754,160,360
high ionic conductivity,47,1995,2026,property_metric,background,5.0806,2.6395805,188,525
ionic transport,46,1992,2026,material_system,background,3.9499915,5.0637817,210,407
temperature dependence,45,1994,2026,material_system,background,11.747005,4.1770887,166,291
activation energy,45,1992,2026,material_system,background,6.0866833,9.3819895,162,314
seebeck effect,44,2008,2026,property_metric,background,7.4846363,2.9431357,193,374
ionic conductors,43,1995,2026,material_system,background,5.654399,4.5215373,164,358
relative humidity,42,2002,2026,material_system,background,8.565548,3.849855,172,459
debye temperature,41,2005,2026,material_system,background,11.586266,3.8820524,168,406
low temperature,40,2002,2026,material_system,background,11.694819,4.01407,214,367
high temperatures,40,1995,2026,material_system,background,12.305416,4.2003813,168,301
temperature thermoelectric,39,1995,2026,material_system,recommendation_candidate,11.882992,4.097432,166,374
transport theory,39,2013,2026,material_system,background,3.505155,4.9092917,156,458
electronic conductivity,37,1992,2026,property_metric,recommendation_candidate,5.1487412,3.8078918,143,223
thermal expansion,36,1993,2026,material_system,background,7.706681,2.2085867,158,326
ionic hydrogel,36,2021,2026,material_system,background,9.522713,10.164054,157,372
high electrical conductivity,35,2006,2025,property_metric,background,4.699443,2.9193735,166,307
scanning electron microscopy,35,2007,2026,characterization_method,background,7.257147,5.050865,151,297
impedance spectroscopy,35,1996,2026,characterization_method,background,7.7286654,4.9465485,118,220
boltzmann transport theory,34,2014,2026,material_system,background,2.684592,4.713022,150,429
electrical transport,34,1995,2026,material_system,recommendation_candidate,3.956712,4.876042,149,296
absorption coefficient,34,1992,2026,material_system,recommendation_candidate,8.343112,5.1831946,125,356
ion migration,33,2006,2026,transport_mechanism,background,6.8371005,4.3644648,155,297
output power density,33,2020,2026,property_metric,background,5.9810863,8.439531,153,325
elevated temperatures,32,2002,2026,material_system,recommendation_candidate,12.278692,4.232444,155,252
ionic thermoelectrics,32,2021,2026,material_system,recommendation_candidate,8.068639,9.532978,165,340
ionic conductor,32,1994,2026,material_system,recommendation_candidate,5.623585,4.577145,136,256
solid solution,30,1999,2026,material_system,recommendation_candidate,5.350623,9.566005,133,273
n-type ionic,30,2017,2026,material_system,recommendation_candidate,6.436612,3.4228244,153,329
optical conductivity,30,2012,2026,property_metric,recommendation_candidate,4.94606,2.5192637,104,267
phonon dispersion,29,2015,2026,material_system,recommendation_candidate,6.2586436,9.977398,161,316
gradient approximation,29,1999,2026,material_system,recommendation_candidate,4.3542843,6.9568057,109,276
conduction band,29,2006,2026,material_system,recommendation_candidate,5.6104665,3.4362311,122,225
ultralow thermal conductivity,28,2014,2026,property_metric,recommendation_candidate,5.5590544,1.638051,130,265
redox couple,28,2013,2026,redox_chemistry,background,11.145708,7.390544,143,258
large seebeck,28,2014,2026,property_metric,recommendation_candidate,7.7840037,3.4547899,141,264
ionic size,28,1998,2026,material_system,recommendation_candidate,9.267487,7.0913277,118,196
low temperatures,28,2000,2025,material_system,recommendation_candidate,12.218405,4.141371,120,195
phonon transport,27,2016,2026,material_system,recommendation_candidate,3.8747835,4.980939,130,264
optical absorption,27,2001,2026,material_system,recommendation_candidate,8.304164,5.317255,134,243
electronic conduction,27,1992,2026,material_system,recommendation_candidate,5.2647457,4.092295,122,190
thermoelectric hydrogel,27,2022,2026,material_system,recommendation_candidate,9.419587,10.149153,132,295
dynamics simulations,27,2007,2026,material_system,recommendation_candidate,5.132483,7.366937,148,251
generalized gradient approximation,27,2014,2026,material_system,recommendation_candidate,4.345406,7.004021,109,270
molecular dynamics simulations,26,2007,2026,material_system,recommendation_candidate,5.1377873,7.3688107,144,245
ionic character,26,2012,2026,material_system,recommendation_candidate,9.038498,7.069034,110,212
solid solutions,26,1996,2026,material_system,recommendation_candidate,5.4015083,9.542912,100,170
systematically investigated,26,1997,2026,material_system,recommendation_candidate,8.490057,7.9594994,131,201
mobile ions,26,1998,2026,material_system,recommendation_candidate,7.5455165,6.4156966,127,211
structure calculations,26,2003,2026,material_system,recommendation_candidate,5.595445,7.2266026,109,226
harvesting applications,25,2020,2026,material_system,recommendation_candidate,6.7565737,11.138697,170,271
superionic conductors,25,1993,2026,material_system,recommendation_candidate,5.780622,5.017357,101,191
transmission electron,25,2007,2026,material_system,recommendation_candidate,6.905987,5.099224,88,180
ultralow lattice thermal conductivity,25,2016,2026,property_metric,recommendation_candidate,5.2386465,0.3219048,117,237
ionic bonds,25,1997,2026,material_system,recommendation_candidate,9.315916,7.2748065,99,175
optoelectronic applications,25,2018,2026,material_system,recommendation_candidate,6.860241,11.223118,113,263
charge transfer,24,1993,2026,electrode_interface,recommendation_candidate,4.4057803,5.6305723,108,145
performance ionic,24,2022,2026,material_system,recommendation_candidate,8.728456,8.870191,125,265
deep eutectic,24,2015,2026,material_system,recommendation_candidate,10.936327,5.582385,115,260
dimensionless figure,24,2009,2026,material_system,recommendation_candidate,8.871514,7.8424273,119,202
ion diffusion,24,1999,2026,transport_mechanism,recommendation_candidate,7.414376,2.194039,119,182
high conductivity,23,2015,2026,property_metric,recommendation_candidate,5.0563855,2.3962548,108,175
transition metal,23,2002,2026,material_system,recommendation_candidate,6.632098,6.087505,115,155
semiconducting behavior,23,2008,2026,material_system,recommendation_candidate,5.5938153,3.9493191,146,267
thermoelectric energy conversion,23,1998,2026,material_system,recommendation_candidate,6.3071837,10.327848,136,212
ionic bond,23,1995,2025,material_system,recommendation_candidate,9.477435,7.3887234,102,188
ionic figure,22,2017,2025,material_system,recommendation_candidate,9.143134,7.629633,104,244
ionic/covalent bonding,22,2001,2026,material_system,recommendation_candidate,11.977144,8.634957,104,198
density functional theory calculations,22,2014,2026,computational_method,background,5.7156463,7.562798,106,203
high ionic seebeck,22,2017,2026,property_metric,recommendation_candidate,7.7089276,3.1713235,133,334
dielectric function,22,2014,2025,material_system,recommendation_candidate,6.421507,7.9518147,91,215
theory calculations,22,2014,2026,material_system,recommendation_candidate,5.468158,7.369437,106,203
thermal diffusion,22,1999,2026,material_system,recommendation_candidate,7.416277,2.1584792,118,213
heat transport,21,2003,2026,material_system,background,3.955242,4.9367404,97,162
large seebeck coefficient,21,2014,2026,property_metric,recommendation_candidate,8.389398,2.924463,120,213
n-type ionic thermoelectric,21,2020,2026,material_system,recommendation_candidate,8.141702,9.648091,119,244
high-temperature thermoelectric,21,1995,2026,material_system,recommendation_candidate,11.97007,4.1071143,125,222
increasing temperature,21,2007,2026,material_system,recommendation_candidate,9.820358,5.958505,108,148
formation energy,21,2008,2026,material_system,recommendation_candidate,6.5383873,6.676251,112,209
chemical composition,21,2010,2025,material_system,recommendation_candidate,7.8131495,4.1641345,82,134
pedot:pss films,21,2012,2025,material_system,recommendation_candidate,9.238476,8.452119,87,171
energy applications,20,2006,2026,material_system,recommendation_candidate,6.646722,11.050347,111,183
successive ionic,20,2001,2025,material_system,recommendation_candidate,8.916621,6.123582,58,206
electron localization,20,2011,2026,material_system,recommendation_candidate,6.536446,7.4717355,114,202
ionic thermoelectric hydrogel,20,2022,2026,material_system,recommendation_candidate,9.398974,10.140101,124,248
hole concentration,20,1995,2026,material_system,recommendation_candidate,3.7546346,6.7524323,104,159
transition temperature,20,1994,2026,material_system,recommendation_candidate,11.176215,4.2322054,112,168
transmission electron microscopy,20,2007,2026,characterization_method,background,7.1780972,5.082127,77,152
increasing ionic,20,1995,2026,material_system,recommendation_candidate,9.757348,6.0856504,121,193
eutectic solvent,20,2022,2026,material_system,recommendation_candidate,10.874208,5.655193,102,237
ionic layer,20,2001,2025,material_system,recommendation_candidate,8.755804,5.835384,59,208
ionic nature,20,1994,2026,material_system,recommendation_candidate,9.456013,7.0492473,88,165
temperature differences,20,2005,2026,material_system,recommendation_candidate,11.841447,4.567572,99,162
thermoelectric systems,19,2010,2026,material_system,background,8.402093,8.389685,91,139
energy harvesting applications,19,2022,2026,material_system,recommendation_candidate,6.644417,11.020356,128,207
high seebeck coefficients,19,2008,2026,property_metric,recommendation_candidate,7.994769,2.6882339,123,225
carrier transport,19,2013,2026,material_system,recommendation_candidate,3.8249185,5.354837,107,173
ambient conditions,19,2006,2026,material_system,recommendation_candidate,7.7475467,5.9631705,101,148
uv absorption,19,2018,2026,material_system,recommendation_candidate,8.279935,5.342804,99,190
wide temperature,19,1994,2025,material_system,recommendation_candidate,11.725574,3.5021815,88,152
successive ionic layer adsorption,19,2001,2025,material_system,recommendation_candidate,8.833976,5.9180546,57,205
ionic layer adsorption,19,2001,2025,material_system,recommendation_candidate,8.803197,5.871036,57,205
successive ionic layer,19,2001,2025,material_system,recommendation_candidate,8.871962,5.962555,57,205
polymer matrix,19,2019,2026,material_system,recommendation_candidate,10.049992,9.023278,140,233
electronic conductor,19,1996,2026,material_system,background,5.438319,4.5430865,72,130
raman spectroscopy,19,2008,2026,characterization_method,background,7.7452703,4.9680333,86,128
negative thermopower,19,1996,2026,property_metric,recommendation_candidate,8.87524,4.1406345,94,157
layer adsorption,19,2001,2025,material_system,recommendation_candidate,8.746862,5.808797,57,205
deep eutectic solvent,19,2022,2026,material_system,recommendation_candidate,10.902451,5.608651,99,225
ionic thermoelectric performance,18,2023,2026,material_system,recommendation_candidate,8.433658,9.138709,110,195
pedot:pss film,18,2012,2025,material_system,recommendation_candidate,9.269948,8.437816,80,143
principles investigation,18,2018,2026,material_system,recommendation_candidate,8.542402,7.8471465,116,211
