concept,doc_freq,first_year,last_year,concept_type,graph_role,x,y,degree,weighted_degree,tile_x,tile_y
seebeck coefficient,527,1995,2026,property_metric,background,8.359261,2.8192697,635,4599,2,1
thermal conductivity,413,2000,2026,property_metric,background,5.553205,1.7276145,522,3642,1,0
electrical conductivity,315,1992,2026,property_metric,background,4.649722,2.9674702,503,2414,1,1
room temperature,162,1995,2026,material_system,background,11.653039,3.900544,424,1295,4,1
ionic thermoelectric,296,2009,2026,material_system,background,8.040833,9.535954,414,2856,2,4
energy conversion,119,1998,2026,material_system,background,6.1069593,10.36309,366,1027,1,5
ionic liquid,205,2007,2026,material_system,background,9.133116,9.644299,355,1289,3,4
thermoelectric applications,116,1994,2026,material_system,background,6.908396,11.207781,336,984,2,5
temperature difference,99,2008,2026,material_system,background,11.786333,4.69372,315,899,4,2
density functional theory,142,1999,2026,computational_method,background,6.1432867,7.9828267,307,1282,1,3
power density,87,2016,2026,property_metric,background,5.9037137,8.395221,275,818,1,4
carrier concentration,112,1992,2026,material_system,background,3.7061462,6.5885754,274,937,0,3
ionic radius,129,1995,2026,material_system,background,10.244398,6.7075434,271,1015,3,3
ion transport,73,1995,2026,transport_mechanism,background,3.9078367,5.0188317,248,613,0,2
ionic bonding,99,2003,2026,material_system,background,11.958903,8.639704,220,819,4,4
high thermopower,57,2014,2026,property_metric,background,9.082648,4.4022264,206,564,3,2
phase transition,49,2003,2026,phase_or_species_transition,background,6.2686534,6.0244136,185,359,1,2
electron microscopy,51,2007,2026,characterization_method,background,7.27874,5.055991,182,411,2,2
relative humidity,42,2002,2026,material_system,background,8.565548,3.849855,172,459,3,1
ionic hydrogel,36,2021,2026,material_system,background,9.522713,10.164054,157,372,3,5
redox couple,28,2013,2026,redox_chemistry,background,11.145708,7.390544,143,258,4,3
systematically investigated,26,1997,2026,material_system,recommendation_candidate,8.490057,7.9594994,131,201,2,3
diffraction analysis,13,2013,2026,characterization_method,background,9.905629,1.3876122,83,117,3,0
diffusion coefficient,16,2004,2026,material_system,recommendation_candidate,7.5957503,2.1301558,81,126,2,0
electrical property,3,2021,2025,property_metric,background,4.230497,4.157023,21,22,0,1
