paper_id,source,year,title,doi,concept,concept_type
iTE1_0000,iTE1,2025,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,10.1093/nsr/nwae411,iodide/triiodide redox chemistry,redox_chemistry
iTE1_0001,iTE1,2025,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,10.1039/d4ee04247f,high-entropy redox/ion coupling,solvation_entropy
iTE1_0001,iTE1,2025,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,10.1039/d4ee04247f,entropy change,material_system
iTE1_0001,iTE1,2025,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,10.1039/d4ee04247f,redox reaction,material_system
iTE1_0001,iTE1,2025,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,10.1039/d4ee04247f,redox reaction entropy change,material_system
iTE1_0001,iTE1,2025,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,10.1039/d4ee04247f,redox entropy tuning,solvation_entropy
iTE1_0002,iTE1,2025,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,10.1002/adma.202510199,electrochemical refrigeration thermocell,device_function
iTE1_0002,iTE1,2025,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,10.1002/adma.202510199,exceptional n-type,material_system
iTE1_0002,iTE1,2025,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,10.1002/adma.202510199,n-type ionic thermoelectric hydrogel,material_system
iTE1_0002,iTE1,2025,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,10.1002/adma.202510199,ion-pair complexation control,solvation_entropy
iTE1_0003,iTE1,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,10.1002/aenm.202405502,iodide/triiodide redox chemistry,redox_chemistry
iTE1_0003,iTE1,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,10.1002/aenm.202405502,supramolecular host-guest redox entropy,solvation_entropy
iTE1_0003,iTE1,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,10.1002/aenm.202405502,ion-pair complexation control,solvation_entropy
iTE1_0004,iTE1,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,fe2+/fe3+ redox couple,redox_chemistry
iTE1_0004,iTE1,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,Fe2+/Fe3+ solvation redox chemistry,redox_chemistry
iTE1_0004,iTE1,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,fe2+/fe3+ redox,redox_chemistry
iTE1_0004,iTE1,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,gel-confined redox transport,gel_microstructure
iTE1_0004,iTE1,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,n-type ionic thermoelectric hydrogel,material_system
iTE1_0004,iTE1,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,ion-pair complexation control,solvation_entropy
iTE1_0005,iTE1,2025,Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability,10.1002/smll.202501960,moisture-gradient ion transport,transport_mechanism
iTE1_0005,iTE1,2025,Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability,10.1002/smll.202501960,gel-confined redox transport,gel_microstructure
iTE1_0005,iTE1,2025,Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability,10.1002/smll.202501960,nanochannel-confined ion transport,transport_mechanism
iTE1_0006,iTE1,2025,Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,10.1038/s41467-025-64054-1,redox reaction,material_system
iTE1_0006,iTE1,2025,Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,10.1038/s41467-025-64054-1,phase transition,phase_or_species_transition
iTE1_0006,iTE1,2025,Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,10.1038/s41467-025-64054-1,phase-transition entropy amplification,phase_or_species_transition
iTE1_0006,iTE1,2025,Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,10.1038/s41467-025-64054-1,cation/anion thermodiffusion asymmetry,transport_mechanism
iTE1_0006,iTE1,2025,Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,10.1038/s41467-025-64054-1,volume phase transition generates,phase_or_species_transition
iTE1_0006,iTE1,2025,Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,10.1038/s41467-025-64054-1,hydrogel volume-phase transition thermocell,phase_or_species_transition
iTE1_0006,iTE1,2025,Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,10.1038/s41467-025-64054-1,gel-confined redox transport,gel_microstructure
iTE1_0006,iTE1,2025,Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,10.1038/s41467-025-64054-1,entropy difference,material_system
iTE1_0007,iTE1,2025,Wearable Solar Ionic Thermoelectric Detectors for Human Motion Monitoring and Language Recognition Conversion,10.1002/adfm.202422592,light absorption,material_system
iTE1_0007,iTE1,2025,Wearable Solar Ionic Thermoelectric Detectors for Human Motion Monitoring and Language Recognition Conversion,10.1002/adfm.202422592,photothermal conversion,device_function
iTE1_0008,iTE1,2025,Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties,10.1039/d5ta00744e,chaotropic polymer-water disruption,gel_microstructure
iTE1_0008,iTE1,2025,Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties,10.1039/d5ta00744e,ion-dipole interaction transport,transport_mechanism
iTE1_0008,iTE1,2025,Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties,10.1039/d5ta00744e,moisture-gradient ion transport,transport_mechanism
iTE1_0008,iTE1,2025,Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties,10.1039/d5ta00744e,cellulose nanofiber scaffold,gel_microstructure
iTE1_0008,iTE1,2025,Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties,10.1039/d5ta00744e,ion-dipole interactions,material_system
iTE1_0009,iTE1,2025,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,10.1002/aenm.202500584,hydrogel electrolyte,material_system
iTE1_0009,iTE1,2025,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,10.1002/aenm.202500584,redox electrode,electrode_interface
iTE1_0009,iTE1,2025,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,10.1002/aenm.202500584,n-type ionic hydrogel,material_system
iTE1_0009,iTE1,2025,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,10.1002/aenm.202500584,dynamic crosslinked gel network,gel_microstructure
iTE1_0009,iTE1,2025,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,10.1002/aenm.202500584,cation/anion thermodiffusion asymmetry,transport_mechanism
iTE1_0009,iTE1,2025,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,10.1002/aenm.202500584,gel-confined redox transport,gel_microstructure
iTE1_0009,iTE1,2025,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,10.1002/aenm.202500584,ion-pair complexation control,solvation_entropy
iTE1_0009,iTE1,2025,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,10.1002/aenm.202500584,bidirectional cationic anchoring thermodiffusion,transport_mechanism
iTE1_0009,iTE1,2025,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,10.1002/aenm.202500584,hexacyanoferrate redox electrode,electrode_interface
