cutoff_year,concept_u,concept_v,u_type,v_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,dprev,future_edge_label,future_example_title,future_window,ml_score,graph_score,hybrid_score
2022,Fe2+/Fe3+ solvation redox chemistry,anti-freezing organohydrogel design,redox_chemistry,gel_microstructure,7,13,0,0,7,13,2,0.9320024018394177,91,2,0.0,1,0,1,0,0,2,1,Liquid thermoelectric conversion devices composed of several organic solvents,2023-2026,0.5115367933313031,1.4361910994764395,0.6416230366492147
2022,Fe2+/Fe3+ solvation redox chemistry,carbon-electrode redox interface,redox_chemistry,electrode_interface,7,3,0,0,7,3,1,0.35295612386476116,21,2,0.06798547175798131,1,0,1,0,0,2,0,,2023-2026,0.3699387798348158,0.7901832460732985,0.35261780104712037
2022,Fe2+/Fe3+ solvation redox chemistry,cation/anion thermodiffusion asymmetry,redox_chemistry,transport_mechanism,7,4,0,0,7,4,2,0.6636235911445671,28,2,0.06917443969806121,1,0,1,0,0,2,1,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,2023-2026,0.545423030365674,1.0,0.599869109947644
2022,Fe2+/Fe3+ solvation redox chemistry,cellulose nanofiber scaffold,redox_chemistry,gel_microstructure,7,12,0,0,7,12,2,0.7276998587040522,84,2,0.0,1,0,1,0,0,2,1,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,2023-2026,0.5142029876166412,1.3709424083769632,0.6346858638743456
2022,Fe2+/Fe3+ solvation redox chemistry,chaotropic polymer-water disruption,redox_chemistry,gel_microstructure,7,7,0,0,7,7,3,1.4294106717377917,49,2,0.027369278026072134,1,0,1,0,0,2,1,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,2023-2026,0.7895718022644642,1.350589005235602,0.9132198952879582
2022,Fe2+/Fe3+ solvation redox chemistry,convection-resolved resistance decomposition,redox_chemistry,transport_mechanism,7,2,0,0,7,2,1,0.35295612386476116,14,2,0.06081931573657343,1,0,1,0,0,2,1,Concentration dependence of resistance components in solutions containing dissolved Fe2+/Fe3+,2023-2026,0.5435555942790945,0.6985602094240837,0.5295811518324608
2022,Fe2+/Fe3+ solvation redox chemistry,deep-eutectic eutogel electrolyte,redox_chemistry,material_system,7,4,0,0,7,4,0,0.0,28,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.55818741000827,0.5717931937172774,0.5244764397905759
2022,Fe2+/Fe3+ solvation redox chemistry,dynamic crosslinked gel network,redox_chemistry,gel_microstructure,7,12,0,0,7,12,3,1.0806559825688133,84,2,0.0,1,0,1,0,0,2,1,High seebeck coefficient flexible thermoelectric hydrogels based on PVA-PAA/PAANa for efficient low-grade heat harvesting,2023-2026,0.5930497957791686,1.456544502617801,0.799607329842932
2022,Fe2+/Fe3+ solvation redox chemistry,electrochemical refrigeration thermocell,redox_chemistry,device_function,7,7,0,0,7,7,2,0.7276998587040522,49,2,0.09669251695573107,1,0,1,0,0,2,1,"Sunlight-Triggered Polymerization of Anti-Freezing PADOCFe Ionogels for Low-Grade Heat Harvesting, Device Cooling, and Energy Storage",2023-2026,0.5398766654114733,1.256937172774869,0.6454188481675392
2022,Fe2+/Fe3+ solvation redox chemistry,gel-confined redox transport,redox_chemistry,gel_microstructure,7,10,0,0,7,10,4,1.8041544065770827,70,2,0.07934130925593369,1,0,1,0,0,2,1,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,2023-2026,0.5656663269273465,1.5420157068062827,0.7689790575916231
