cutoff_year,concept_u,concept_v,u_type,v_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,dprev,future_edge_label,future_example_title,future_window,ml_score,graph_score,hybrid_score
2022,Fe2+/Fe3+ solvation redox chemistry,anti-freezing organohydrogel design,redox_chemistry,gel_microstructure,7,13,0,0,7,13,2,0.9320024018394177,91,2,0.0,1,0,1,0,0,2,1,Liquid thermoelectric conversion devices composed of several organic solvents,2023-2026,0.49964233400261826,1.4293449197860963,0.66524064171123
2022,Fe2+/Fe3+ solvation redox chemistry,carbon-electrode redox interface,redox_chemistry,electrode_interface,7,3,0,0,7,3,1,0.35295612386476116,21,2,0.06798547175798131,1,0,1,0,0,2,0,,2023-2026,0.3561132031131128,0.768048128342246,0.3387700534759358
2022,Fe2+/Fe3+ solvation redox chemistry,cation/anion thermodiffusion asymmetry,redox_chemistry,transport_mechanism,7,4,0,0,7,4,2,0.6636235911445671,28,2,0.06917443969806121,1,0,1,0,0,2,1,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,2023-2026,0.5360986799953771,0.9823529411764707,0.6295454545454546
2022,Fe2+/Fe3+ solvation redox chemistry,cellulose nanofiber scaffold,redox_chemistry,gel_microstructure,7,12,0,0,7,12,2,0.7276998587040522,84,2,0.0,1,0,1,0,0,2,1,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,2023-2026,0.5002394161356659,1.3627005347593584,0.6529411764705881
2022,Fe2+/Fe3+ solvation redox chemistry,chaotropic polymer-water disruption,redox_chemistry,gel_microstructure,7,7,0,0,7,7,3,1.4294106717377917,49,2,0.027369278026072134,1,0,1,0,0,2,1,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,2023-2026,0.7833010688153927,1.3415106951871658,0.9096256684491979
2022,Fe2+/Fe3+ solvation redox chemistry,convection-resolved resistance decomposition,redox_chemistry,transport_mechanism,7,2,0,0,7,2,1,0.35295612386476116,14,2,0.06081931573657343,1,0,1,0,0,2,1,Concentration dependence of resistance components in solutions containing dissolved Fe2+/Fe3+,2023-2026,0.5010408702643646,0.6744652406417112,0.5021390374331551
2022,Fe2+/Fe3+ solvation redox chemistry,deep-eutectic eutogel electrolyte,redox_chemistry,material_system,7,4,0,0,7,4,0,0.0,28,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.5067044382675634,0.5528743315508021,0.47366310160427816
2022,Fe2+/Fe3+ solvation redox chemistry,dynamic crosslinked gel network,redox_chemistry,gel_microstructure,7,12,0,0,7,12,3,1.0806559825688133,84,2,0.0,1,0,1,0,0,2,1,High seebeck coefficient flexible thermoelectric hydrogels based on PVA-PAA/PAANa for efficient low-grade heat harvesting,2023-2026,0.6132932581684173,1.4501336898395722,0.8405080213903744
2022,Fe2+/Fe3+ solvation redox chemistry,electrochemical refrigeration thermocell,redox_chemistry,device_function,7,7,0,0,7,7,2,0.7276998587040522,49,2,0.09669251695573107,1,0,1,0,0,2,1,"Sunlight-Triggered Polymerization of Anti-Freezing PADOCFe Ionogels for Low-Grade Heat Harvesting, Device Cooling, and Energy Storage",2023-2026,0.5543665180023554,1.2445187165775402,0.709090909090909
2022,Fe2+/Fe3+ solvation redox chemistry,gel-confined redox transport,redox_chemistry,gel_microstructure,7,10,0,0,7,10,4,1.8041544065770827,70,2,0.07934130925593369,1,0,1,0,0,2,1,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,2023-2026,0.5204305747275384,1.5356951871657754,0.7310160427807486
2022,Fe2+/Fe3+ solvation redox chemistry,hierarchical porous electrode interface,redox_chemistry,electrode_interface,7,7,0,0,7,7,3,1.2466854275562125,49,2,0.0,1,0,1,0,0,2,0,,2023-2026,0.680793085519205,1.2877673796791445,0.8652406417112299
2022,Fe2+/Fe3+ solvation redox chemistry,high-entropy redox/ion coupling,redox_chemistry,solvation_entropy,7,1,0,0,7,1,1,0.35295612386476116,7,2,0.05831444904324237,1,0,1,0,0,2,0,,2023-2026,0.29859944335254907,0.5065508021390375,0.19999999999999998
2022,Fe2+/Fe3+ solvation redox chemistry,imidazolium ionic-liquid phase transition electrolyte,redox_chemistry,material_system,7,7,0,0,7,7,2,0.6636235911445671,49,2,0.0210769796547197,1,0,1,0,0,2,1,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,2023-2026,0.7116530400103616,1.1762032085561498,0.8618983957219252
2022,Fe2+/Fe3+ solvation redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,7,6,0,0,7,6,1,0.31066746727980593,42,2,0.2824639636960268,0,0,1,0,0,2,0,,2023-2026,0.3829389810282692,0.9856283422459894,0.4132352941176471
2022,Fe2+/Fe3+ solvation redox chemistry,ion-dipole interaction transport,redox_chemistry,transport_mechanism,7,1,0,0,7,1,0,0.0,7,3,0.027929961696199736,1,0,1,0,0,3,0,,2023-2026,0.21240488029386756,0.25581550802139036,0.05681818181818181
2022,Fe2+/Fe3+ solvation redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,7,15,0,0,7,15,1,0.31066746727980593,105,2,0.0029528013008874175,1,0,1,0,0,2,1,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,2023-2026,0.2820647435319802,1.2433823529411765,0.35013368983957216
2022,Fe2+/Fe3+ solvation redox chemistry,microfluidic redox-solvation thermocell,redox_chemistry,device_function,7,1,0,0,7,1,0,0.0,7,3,0.20214097331692427,1,0,1,0,0,3,1,Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,2023-2026,0.3018394363083682,0.2913770053475936,0.16925133689839572
2022,Fe2+/Fe3+ solvation redox chemistry,moisture-gradient ion transport,redox_chemistry,transport_mechanism,7,11,0,0,7,11,2,0.6636235911445671,77,2,0.017979366178962012,1,0,1,0,0,2,1,High thermoelectric conversion through an optimal contribution of electronic carriers in polymeric mixed ionic-electronic conducting films,2023-2026,0.48928287950343896,1.3235294117647058,0.6199197860962566
2022,Fe2+/Fe3+ solvation redox chemistry,nanochannel-confined ion transport,redox_chemistry,transport_mechanism,7,5,0,0,7,5,1,0.31066746727980593,35,2,0.009961159253242403,1,0,1,0,0,2,0,,2023-2026,0.3779720554430896,0.8591577540106952,0.3790106951871658
2022,Fe2+/Fe3+ solvation redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,7,7,0,0,7,7,1,0.31066746727980593,49,2,0.07024814259443342,0,0,1,0,0,2,0,,2023-2026,0.6514629032381515,1.0497994652406417,0.7966577540106952
2022,Fe2+/Fe3+ solvation redox chemistry,phase-transition entropy amplification,redox_chemistry,phase_or_species_transition,7,12,0,0,7,12,3,1.2085982056670401,84,2,0.0614295503749337,1,0,1,0,0,2,0,,2023-2026,0.5587924455571807,1.5465909090909091,0.7885026737967915
