experiment,policy,min_count,dprev,n,positive,positive_rate,hybrid_auc,hybrid_ap,hybrid_p_at_10,hybrid_hits_at_10,hybrid_p_at_25,hybrid_hits_at_25,hybrid_p_at_50,hybrid_hits_at_50
curated,broad,2,2,278,120,0.4316546762589928,0.6570411392405063,0.5820714153190198,0.6,6,0.6,15,0.58,29
curated,broad,2,3,96,13,0.1354166666666666,0.5528266913809082,0.173538764688128,0.2,2,0.2,5,0.16,8
curated,broad,2,4,8,1,0.125,0.0,0.125,0.125,1,0.125,1,0.125,1
open300,broad,2,2,6205,337,0.0543110394842868,0.7687275349478842,0.1965028592510075,0.5,5,0.44,11,0.34,17
open300,broad,2,3,11708,205,0.017509395285275,0.7137164642097608,0.0551016785244755,0.2,2,0.12,3,0.08,4
open300,broad,2,4,5303,48,0.0090514802941731,0.6640838090707263,0.0612382462692068,0.3,3,0.2,5,0.14,7
open300,broad,2,5,1358,6,0.0044182621502209,0.6745562130177515,0.0306536910177767,0.0,0,0.04,1,0.04,2
open300,broad,2,12,261,7,0.0268199233716475,0.9482564679415072,0.4945809865164703,0.4,4,0.2,5,0.12,6
curated,frontier,2,2,278,120,0.4316546762589928,0.6585970464135021,0.5784925567874671,0.6,6,0.6,15,0.58,29
curated,frontier,2,3,96,13,0.1354166666666666,0.5676552363299352,0.1744112100475179,0.2,2,0.16,4,0.18,9
curated,frontier,2,4,8,1,0.125,0.4285714285714286,0.2,0.125,1,0.125,1,0.125,1
open600,frontier,2,2,12372,370,0.0299062398965405,0.8000547206096282,0.153483638714241,0.5,5,0.36,9,0.34,17
open600,frontier,2,3,8956,86,0.0096025011165698,0.7859239401169346,0.0357027692307217,0.0,0,0.0,0,0.0,0
open600,frontier,2,4,3255,16,0.0049155145929339,0.8900895338067304,0.0340925355479867,0.0,0,0.0,0,0.02,1
open600,frontier,2,5,342,1,0.0029239766081871,0.9442815249266864,0.05,0.0,0,0.04,1,0.02,1
open600,frontier,2,12,45,1,0.0222222222222222,1.0,1.0,0.1,1,0.04,1,0.0222222222222222,1
open300,dprev23,2,2,6205,337,0.0543110394842868,0.771943690973929,0.199842816946739,0.5,5,0.44,11,0.34,17
open300,dprev23,2,3,11708,205,0.017509395285275,0.7109207990280372,0.0518546616030958,0.2,2,0.08,2,0.06,3
open300,frontier,2,2,6205,337,0.0543110394842868,0.7703252464202566,0.1981686730986922,0.5,5,0.4,10,0.36,18
open300,frontier,2,3,11708,205,0.017509395285275,0.7137175243785819,0.0541962764171195,0.1,1,0.12,3,0.08,4
open300,frontier,2,4,5303,48,0.0090514802941731,0.6640124484617823,0.060890460025839,0.3,3,0.2,5,0.12,6
open300,frontier,2,5,116,3,0.0258620689655172,0.7551622418879056,0.3888888888888888,0.1,1,0.08,2,0.04,2
open300,frontier,2,12,239,7,0.0292887029288702,0.9408866995073892,0.4780508328517696,0.4,4,0.2,5,0.12,6
curated,dprev23,2,2,278,120,0.4316546762589928,0.6606540084388185,0.5889165659861821,0.6,6,0.68,17,0.64,32
curated,dprev23,2,3,96,13,0.1354166666666666,0.540778498609824,0.1563852080541866,0.1,1,0.16,4,0.12,6
