experiment,policy,min_count,model,n_concepts,n_train,train_positive,n_test,test_positive,test_positive_rate,roc_auc,average_precision,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,precision_at_100,hits_at_100
curated,dprev23,2,graph,73,803,143,374,133,0.35561497326203206,0.7322247527532524,0.6063899101865106,0.8,8,0.8,20,0.64,32,0.64,64
curated,frontier,2,graph,73,1031,169,382,134,0.3507853403141361,0.7342772026961963,0.6020290392831122,0.8,8,0.8,20,0.64,32,0.64,64
curated,broad,2,graph,73,1102,173,382,134,0.3507853403141361,0.7342772026961963,0.6020290392831122,0.8,8,0.8,20,0.64,32,0.64,64
curated,dprev23,2,hybrid,73,803,143,374,133,0.35561497326203206,0.7051602034130968,0.5641040450971975,0.6,6,0.68,17,0.64,32,0.61,61
curated,broad,2,hybrid,73,1102,173,382,134,0.3507853403141361,0.7059310303322098,0.5553859771552678,0.6,6,0.6,15,0.58,29,0.57,57
curated,frontier,2,hybrid,73,1031,169,382,134,0.3507853403141361,0.7079321136254213,0.5524322721741326,0.6,6,0.6,15,0.58,29,0.59,59
curated,dprev23,2,ml,73,803,143,374,133,0.35561497326203206,0.6692509281502512,0.5098791413633909,0.4,4,0.56,14,0.58,29,0.56,56
curated,broad,2,ml,73,1102,173,382,134,0.3507853403141361,0.6621780211844006,0.48776515524315706,0.5,5,0.56,14,0.5,25,0.51,51
curated,frontier,2,ml,73,1031,169,382,134,0.3507853403141361,0.6665412855079441,0.4889901421973642,0.4,4,0.48,12,0.5,25,0.54,54
open300,dprev23,2,hybrid,300,47612,655,17913,542,0.030257354993580083,0.7788515277933852,0.14940479017195182,0.5,5,0.44,11,0.34,17,0.36,36
open300,broad,2,hybrid,300,75452,819,25000,603,0.02412,0.7919667147722469,0.13828522680846572,0.5,5,0.44,11,0.34,17,0.37,37
open300,frontier,2,hybrid,300,68135,791,23596,600,0.02542803865061875,0.7859452730909724,0.1399736691686105,0.5,5,0.4,10,0.36,18,0.36,36
open300,dprev23,2,ml,300,47612,655,17913,542,0.030257354993580083,0.7710293973010538,0.11680341451686782,0.6,6,0.4,10,0.36,18,0.25,25
open300,frontier,2,ml,300,68135,791,23596,600,0.02542803865061875,0.7777526163970545,0.10646101540918969,0.5,5,0.4,10,0.32,16,0.22,22
open300,broad,2,ml,300,75452,819,25000,603,0.02412,0.7828805923246822,0.10197515706558621,0.5,5,0.32,8,0.3,15,0.2,20
open300,dprev23,2,graph,300,47612,655,17913,542,0.030257354993580083,0.7318318629620008,0.12106273427978917,0.2,2,0.28,7,0.24,12,0.25,25
open300,frontier,2,graph,300,68135,791,23596,600,0.02542803865061875,0.7369086652751202,0.11022022309436065,0.2,2,0.2,5,0.26,13,0.25,25
open300,broad,2,graph,300,75452,819,25000,603,0.02412,0.7452740192956601,0.10914543732623207,0.2,2,0.2,5,0.26,13,0.26,26
