cutoff_year,concept_u,concept_v,u_type,v_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,dprev,future_edge_label,future_example_title,future_window,ml_score,graph_score,hybrid_score
2022,Fe2+/Fe3+ solvation redox chemistry,anion substitution,redox_chemistry,material_system,14,6,0,0,14,6,0,0.0,84,3,0.02969528182488071,1,0,1,0,0,3,0,,2023-2026,0.23821853575636176,1.0191969519343493,0.6802824764137777
2022,Fe2+/Fe3+ solvation redox chemistry,anisotropic transport,redox_chemistry,material_system,14,2,0,0,14,2,0,0.0,28,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.19764607146359797,0.5423114497850723,0.48573801150002793
2022,Fe2+/Fe3+ solvation redox chemistry,anti-freezing organohydrogel design,redox_chemistry,gel_microstructure,14,30,0,0,14,30,1,0.4170323914242463,420,2,0.0,1,0,1,0,0,2,1,Liquid thermoelectric conversion devices composed of several organic solvents,2023-2026,0.43955415174440093,1.627607045162731,0.9498018199073298
2022,Fe2+/Fe3+ solvation redox chemistry,aqueous solutions,redox_chemistry,material_system,14,6,0,0,14,6,0,0.0,84,3,0.04736642871221405,1,0,1,0,0,3,0,,2023-2026,0.3227688960763208,1.024891140512477,0.7689248032155418
2022,Fe2+/Fe3+ solvation redox chemistry,bacterial cellulose,redox_chemistry,gel_microstructure,14,7,0,0,14,7,1,0.32351545314867247,98,2,0.0,1,0,1,0,0,2,0,,2023-2026,0.3317212070599585,1.3720914977948973,0.8537472785128118
2022,Fe2+/Fe3+ solvation redox chemistry,boltzmann transport,redox_chemistry,material_system,14,10,0,0,14,10,1,0.3898712452512801,140,2,0.0,1,0,1,0,0,2,0,,2023-2026,0.33531829863711754,1.4872787919388153,0.8744096466253559
2022,Fe2+/Fe3+ solvation redox chemistry,boltzmann transport give,redox_chemistry,material_system,14,2,0,0,14,2,0,0.0,28,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.19764607146359797,0.5423114497850723,0.48573801150002793
2022,Fe2+/Fe3+ solvation redox chemistry,calculations to,redox_chemistry,material_system,14,4,0,0,14,4,0,0.0,56,3,0.031001952602388506,1,0,1,0,0,3,0,,2023-2026,0.20888562781803352,0.8734815497124993,0.6041952771730028
2022,Fe2+/Fe3+ solvation redox chemistry,calculations to investigate,redox_chemistry,material_system,14,4,0,0,14,4,0,0.0,56,3,0.02147379050191859,1,0,1,0,0,3,0,,2023-2026,0.20780734212973698,0.8681111483280298,0.6008122592530564
2022,Fe2+/Fe3+ solvation redox chemistry,carbon-electrode redox interface,redox_chemistry,electrode_interface,14,5,0,0,14,5,1,0.5138983423697507,70,2,0.0858948700008558,1,0,1,0,0,2,0,,2023-2026,0.34745628402344814,1.3461787528610505,0.8642215151007648
2022,Fe2+/Fe3+ solvation redox chemistry,carrier concentration,redox_chemistry,material_system,14,25,0,0,14,25,2,0.64447566797514,350,2,0.036076370682811415,1,0,1,0,0,2,0,,2023-2026,0.4684746547150709,1.7339906771618376,0.9684809914587171
2022,Fe2+/Fe3+ solvation redox chemistry,carrier transport,redox_chemistry,material_system,14,5,0,0,14,5,1,0.33380820069533407,70,2,0.0,1,0,1,0,0,2,0,,2023-2026,0.2969816742748719,1.2556313850276333,0.8056913973092168
2022,Fe2+/Fe3+ solvation redox chemistry,cation/anion thermodiffusion asymmetry,redox_chemistry,transport_mechanism,14,7,0,0,14,7,0,0.0,98,3,0.05973844906664731,1,0,1,0,0,3,1,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,2023-2026,0.6324020943259332,1.0764737899849273,0.8741137721208061
2022,Fe2+/Fe3+ solvation redox chemistry,cellulose nanofiber scaffold,redox_chemistry,gel_microstructure,14,20,0,0,14,20,1,0.32351545314867247,280,2,0.0,1,0,1,0,0,2,1,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,2023-2026,0.31752165132768895,1.581101713839111,0.8748408976720816
2022,Fe2+/Fe3+ solvation redox chemistry,chaotropic polymer-water disruption,redox_chemistry,gel_microstructure,14,9,0,0,14,9,2,0.7276998587040522,126,2,0.01851652865292721,1,0,1,0,0,2,1,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,2023-2026,0.3871594621420763,1.5809886674482219,0.925757829509295
2022,Fe2+/Fe3+ solvation redox chemistry,characterization of,redox_chemistry,material_system,14,18,0,0,14,18,1,0.32351545314867247,252,2,0.04374933183178862,1,0,1,0,0,2,0,,2023-2026,0.3155084672012632,1.631486908948808,0.8803941271702116
2022,Fe2+/Fe3+ solvation redox chemistry,charge compensation,redox_chemistry,material_system,14,3,0,0,14,3,0,0.0,42,3,0.04299262451670365,1,0,1,0,0,3,0,,2023-2026,0.21024924697183528,0.7601392843186513,0.5698068441913694
2022,Fe2+/Fe3+ solvation redox chemistry,charge transport,redox_chemistry,material_system,14,14,0,0,14,14,2,0.6573236538440066,196,2,0.0129470467040231,1,0,1,0,0,2,0,,2023-2026,0.3163553372816797,1.6559537765868364,0.8845363702339083
2022,Fe2+/Fe3+ solvation redox chemistry,charge transport in,redox_chemistry,material_system,14,9,0,0,14,9,2,0.6573236538440066,126,2,0.012596296639179728,1,0,1,0,0,2,0,,2023-2026,0.3104731967518203,1.5696421593256291,0.8665075643387483
2022,Fe2+/Fe3+ solvation redox chemistry,chloride/malonic acid ionic liquid,redox_chemistry,material_system,14,6,0,0,14,6,0,0.0,84,3,0.008418238898978626,1,0,1,0,0,3,0,,2023-2026,0.2132993144686056,0.9991947189192206,0.6475911349299391
2022,Fe2+/Fe3+ solvation redox chemistry,choline chloride/malonic acid ionic liquid,redox_chemistry,material_system,14,6,0,0,14,6,0,0.0,84,3,0.01393363390715682,1,0,1,0,0,3,0,,2023-2026,0.21658390610180936,1.0069879417183052,0.6534332607603416
2022,Fe2+/Fe3+ solvation redox chemistry,coefficient of pedot:pss,redox_chemistry,material_system,14,10,0,0,14,10,0,0.0,140,3,0.006926119918443412,1,0,1,0,0,3,0,,2023-2026,0.24010781761752575,1.1424649695751687,0.716186568414001
2022,Fe2+/Fe3+ solvation redox chemistry,concentration gradients,redox_chemistry,material_system,14,5,0,0,14,5,1,0.5138983423697507,70,2,0.03258281740718704,1,0,1,0,0,2,0,,2023-2026,0.38150131002542187,1.335248143806174,0.884924356612516
2022,Fe2+/Fe3+ solvation redox chemistry,conducting polymer,redox_chemistry,material_system,14,8,0,0,14,8,0,0.0,112,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.24523298424036152,1.058919499804611,0.6987062468598224
2022,Fe2+/Fe3+ solvation redox chemistry,conduction in,redox_chemistry,material_system,14,10,0,0,14,10,0,0.0,140,3,0.03936119136185015,1,0,1,0,0,3,0,,2023-2026,0.23007903128410456,1.168055322949813,0.7138223636465137
2022,Fe2+/Fe3+ solvation redox chemistry,conductivity in,redox_chemistry,material_system,14,29,0,0,14,29,0,0.0,406,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.39720104030379144,1.2466881594372803,0.8782281024953944
2022,Fe2+/Fe3+ solvation redox chemistry,conductivity of,redox_chemistry,material_system,14,18,0,0,14,18,0,0.0,252,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.372353546650156,1.211964774186345,0.8596201083012338
2022,Fe2+/Fe3+ solvation redox chemistry,convection-resolved resistance decomposition,redox_chemistry,transport_mechanism,14,2,0,0,14,2,0,0.0,28,3,0.05449043843420779,1,0,1,0,0,3,1,Concentration dependence of resistance components in solutions containing dissolved Fe2+/Fe3+,2023-2026,0.323675328054621,0.6050508010941774,0.6411656338971696
2022,Fe2+/Fe3+ solvation redox chemistry,conversion in,redox_chemistry,material_system,14,3,0,0,14,3,1,0.32351545314867247,42,2,0.011921671959107732,1,0,1,0,0,2,0,,2023-2026,0.28721297154470926,1.1002693574498965,0.754047339920728
2022,Fe2+/Fe3+ solvation redox chemistry,conversion of,redox_chemistry,material_system,14,4,0,0,14,4,0,0.0,56,3,0.011967190316919884,1,0,1,0,0,3,0,,2023-2026,0.20153420682975812,0.8581630659297717,0.5890317088148272
2022,Fe2+/Fe3+ solvation redox chemistry,correlation between,redox_chemistry,material_system,14,1,0,0,14,1,0,0.0,14,3,0.033415569182652705,1,0,1,0,0,3,0,,2023-2026,0.19886410679047126,0.4195821470440463,0.45354491151677556
2022,Fe2+/Fe3+ solvation redox chemistry,cu migration,redox_chemistry,material_system,14,7,0,0,14,7,0,0.0,98,3,0.04942015930851963,1,0,1,0,0,3,0,,2023-2026,0.38636534386239374,1.074324512923575,0.8301066264723944
2022,Fe2+/Fe3+ solvation redox chemistry,cu2se superionic conductor,redox_chemistry,material_system,14,4,0,0,14,4,0,0.0,56,3,0.0016667571952272532,1,0,1,0,0,3,0,,2023-2026,0.20013701404043432,0.837083403115056,0.5781611120415342
2022,Fe2+/Fe3+ solvation redox chemistry,deep eutectic,redox_chemistry,material_system,14,10,0,0,14,10,0,0.0,140,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.25145004189932985,1.1091344275107462,0.7209135823145202
2022,Fe2+/Fe3+ solvation redox chemistry,deep eutectic solvents,redox_chemistry,material_system,14,10,0,0,14,10,0,0.0,140,3,0.07930482002115744,1,0,1,0,0,3,0,,2023-2026,0.2961706900148433,1.1758262155976107,0.7865963266901133
2022,Fe2+/Fe3+ solvation redox chemistry,deep-eutectic eutogel electrolyte,redox_chemistry,material_system,14,14,0,0,14,14,0,0.0,196,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.3564306170454561,1.1748408976720819,0.841113995422319
2022,Fe2+/Fe3+ solvation redox chemistry,density functional,redox_chemistry,material_system,14,5,0,0,14,5,0,0.0,70,3,0.008488155476397509,1,0,1,0,0,3,0,,2023-2026,0.22055685569081607,0.9285086250209345,0.6340813934014403
2022,Fe2+/Fe3+ solvation redox chemistry,density functional theory,redox_chemistry,material_system,14,5,0,0,14,5,0,0.0,70,3,0.019994650915538738,1,0,1,0,0,3,0,,2023-2026,0.2052536563787933,0.9424538044995254,0.6194914308044437
2022,Fe2+/Fe3+ solvation redox chemistry,determination of,redox_chemistry,material_system,14,5,0,0,14,5,0,0.0,70,3,0.03811730447315904,1,0,1,0,0,3,0,,2023-2026,0.22639155109596681,0.9514305253168089,0.6487495115279406
2022,Fe2+/Fe3+ solvation redox chemistry,dopant ionic radius,redox_chemistry,material_system,14,5,0,0,14,5,0,0.0,70,3,0.0018094017161434284,1,0,1,0,0,3,0,,2023-2026,0.20280138573146267,0.9129556746496957,0.6060375146541619
2022,Fe2+/Fe3+ solvation redox chemistry,dynamic crosslinked gel network,redox_chemistry,gel_microstructure,14,13,0,0,14,13,1,0.32351545314867247,182,2,0.0,1,0,1,0,0,2,1,High seebeck coefficient flexible thermoelectric hydrogels based on PVA-PAA/PAANa for efficient low-grade heat harvesting,2023-2026,0.31364895737933174,1.5308030480656505,0.8624462680734662
2022,Fe2+/Fe3+ solvation redox chemistry,eastman entropy,redox_chemistry,material_system,14,9,0,0,14,9,2,0.7276998587040522,126,2,0.0,1,0,1,0,0,2,0,,2023-2026,0.4069824795542104,1.5329034779210626,0.9244347680455536
2022,Fe2+/Fe3+ solvation redox chemistry,electrical conductivity,redox_chemistry,material_system,14,41,0,0,14,41,1,0.31066746727980593,574,2,0.0,1,0,1,0,0,2,0,,2023-2026,0.3549661511629119,1.6089669513760956,0.9121168983419863
2022,Fe2+/Fe3+ solvation redox chemistry,electrical conductivity in,redox_chemistry,material_system,14,7,0,0,14,7,0,0.0,98,3,0.0,1,0,1,0,0,3,0,,2023-2026,0.20780930981705087,1.0127239993300954,0.6438689778373249
