cutoff_year,concept_u,concept_v,u_type,v_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,dprev,future_edge_label,future_example_title,future_window,ml_score,graph_score,hybrid_score
2022,electrical conductivity,moisture-gradient ion transport,material_system,transport_mechanism,59,55,0,0,59,55,15,5.31527054001121,3245,2,0.0,1,0,1,0,0,2,0,,2023-2026,0.38367701328562276,1.7222149999999998,0.954886
2022,in superionic,phase-transition entropy amplification,material_system,phase_or_species_transition,23,70,0,0,23,70,13,4.65828171322585,1610,2,0.00453656601163772,1,0,1,0,0,2,0,,2023-2026,0.49747144130502735,1.7346629999999998,0.986436
2022,in pedot:pss,of pedot:pss,material_system,material_system,19,25,0,0,19,25,7,2.454177032319576,475,2,0.9209411046423224,0,0,1,0,0,2,0,,2023-2026,0.43614467233944376,1.7703179999999998,0.9765820000000001
2022,ion-selectivity membrane transport,phase-transition entropy amplification,transport_mechanism,phase_or_species_transition,37,70,0,0,37,70,10,3.462332263950837,2590,2,0.03429547815240609,1,0,1,0,0,2,1,A near-infrared light responsive temperature-sensing switch in a submicro-channel heterogeneous membrane,2023-2026,0.8094800966549134,1.756457,0.9988060000000001
2022,bisbte films electrodeposited,electrochemical deposition,material_system,material_system,11,13,0,0,11,13,9,3.684195259348564,143,2,0.26030401576214984,0,0,1,0,0,2,0,,2023-2026,0.34402598752663305,1.549393,0.903536
2022,conductivity in,conductivity of,material_system,material_system,40,25,0,0,40,25,6,2.1459767749935623,1000,2,0.8939825341146361,0,0,1,0,0,2,0,,2023-2026,0.37352199164282285,1.8036029999999998,0.9508719999999999
2022,ion-selectivity membrane transport,mixed ionic-electronic,transport_mechanism,material_system,37,39,0,0,37,39,9,2.767881664248387,1443,2,0.05680604149564012,1,0,1,0,0,2,1,Size-Selective Ionic Crosslinking Provides Stretchable Mixed Ionic-Electronic Conductors,2023-2026,0.8473721855899152,1.7648510000000002,0.999158
2022,conductivity in,thermal charging redox storage,material_system,device_function,40,45,0,0,40,45,9,3.2052726951701374,1800,2,0.0,1,0,1,0,0,2,1,Extreme phonon anharmonicity underpins superionic diffusion and ultralow thermal conductivity in argyrodite Ag8SnSe6,2023-2026,0.630164215233939,1.7209889999999999,0.9949920000000001
2022,electrical conductivity,transport in,material_system,material_system,59,40,0,0,59,40,9,2.813184646706499,2360,2,0.0,0,0,1,0,0,2,1,Investigation of Charge Transport in Thermoelectric Power Generation Performance-Based Nanocomposite of PEG-Coated Nanostructured NiO Synthesized in Ionic Liquid,2023-2026,0.4715665267451704,1.721733,0.981906
2022,cellulose nanofiber scaffold,transport in,gel_microstructure,material_system,25,40,0,0,25,40,9,2.9127486351418166,1000,2,0.0,1,0,1,0,0,2,1,Ion-selective transport in surface-modified cellulose membranes for aqueous ionic thermoelectrics,2023-2026,0.784681937147193,1.713867,0.996618
2022,electrical conductivity,electrochemical refrigeration thermocell,material_system,device_function,59,20,0,0,59,20,8,3.201893433383149,1180,2,0.1579445926198456,1,0,1,0,0,2,0,,2023-2026,0.38393300433564304,1.789195,0.9569639999999999
2022,electrical conductivity,lattice thermal conductivity,material_system,material_system,59,52,0,0,59,52,7,2.7507538801429687,3068,2,0.3658492442437942,0,0,1,0,0,2,1,Boosting Thermoelectric Properties of High-Entropy Chalcogenides through Local Structural Distortion and Tailored Chemical Bonding,2023-2026,0.415793885062876,1.80592,0.971296
