entry_id,paper_id,source,year,title,doi,role,text,label,x,y
iTE1_0000_material,iTE1_0000,iTE1,2025,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,10.1093/nsr/nwae411,material,waterborne polyurethane/potassium iodide ionogel,waterborne polyurethane/potassium iodide...,15.089927,1.0750256
iTE1_0000_mechanism,iTE1_0000,iTE1,2025,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,10.1093/nsr/nwae411,mechanism,SMILES-based machine learning predicts ionic Seebeck coefficient; ion rotatable-bond number and octanol-water partition coefficient negatively affect the Seebeck coefficient,SMILES-based machine learning predicts io...,11.514224,-3.3743443
iTE1_0001_material,iTE1_0001,iTE1,2025,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,10.1039/d4ee04247f,material,high-entropy gel thermocell with multi-ion gel composition,high-entropy gel thermocell with multi-io...,13.159062,-1.8076612
iTE1_0001_mechanism,iTE1_0001,iTE1,2025,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,10.1039/d4ee04247f,mechanism,"multi-ion coupling, especially anion coupling, increases redox reaction entropy change, exchange current density, and ionic conductivity","multi-ion coupling, especially anion coup...",13.083625,-1.9594082
iTE1_0002_material,iTE1_0002,iTE1,2025,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,10.1002/adma.202510199,material,"PVA/CuCl2/PMNT n-type ionic thermoelectric hydrogel; PMNT = poly(3-(3'-N,N,N-triethylammonium-1'-propyloxy)-4-methyl-2,5-thiophene chloride)",PVA/CuCl2/PMNT n-type ionic thermoelectri...,14.032129,-0.14700305
iTE1_0002_mechanism,iTE1_0002,iTE1,2025,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,10.1002/adma.202510199,mechanism,"PVA hydroxyl groups coordinate with Cu2+; PVA and PMNT form hydrophobic associations and pi-pi stacking, enhancing thermophoretic difference between chloride anions and cations",PVA hydroxyl groups coordinate with...,12.918977,-2.28013
iTE1_0003_material,iTE1_0003,iTE1,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,10.1002/aenm.202405502,material,PVA/alpha-cyclodextrin/NaI hydrogel containing triiodide ions,PVA/alpha-cyclodextrin/NaI hydrogel conta...,14.406881,-0.018679306
iTE1_0003_mechanism,iTE1_0003,iTE1,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,10.1002/aenm.202405502,mechanism,host-guest complexation between alpha-CD and I3- confines I3- diffusion inside alpha-CD cavities and increases mobility difference between I3- and sodium ions,host-guest complexation between alpha-CD...,12.757436,-2.375748
iTE1_0004_material,iTE1_0004,iTE1,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,material,n-type ionic thermoelectric hydrogel with Fe2+/Fe3+ redox couple; Gel-Fe24,n-type ionic thermoelectric hydrogel with...,14.289552,-0.7486962
iTE1_0004_mechanism,iTE1_0004,iTE1,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,mechanism,Fe2+/Fe3+ concentration modulates thermodiffusion and thermogalvanic effects; Fe2+/Fe3+ complexation with Cl- affects thermopower and electron transfer resistance,Fe2+/Fe3+ concentration modulates thermod...,13.445508,-1.8686513
