cutoff_year,concept_u,concept_v,u_type,v_type,dprev_ite,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,future_edge_label,future_example_title,future_window,ml_score,graph_score,hybrid_score
2022,ion-pair complexation control,redox entropy tuning,solvation_entropy,solvation_entropy,2,11,11,11,11,11,11,7,3.9120606740017965,121,2,0.030681580076474382,0,12,1,0,0,1,Selective tuning cation coordination variations for developing high-performance N-type solid-state ionic thermoelectric materials,2023-2026,0.7829471035893896,1.7118167202572347,0.9988745980707396
2022,anti-freezing organohydrogel design,redox entropy tuning,gel_microstructure,solvation_entropy,2,13,11,13,11,13,11,4,1.7727586339225592,143,2,0.027805233225300457,1,16,1,0,0,0,,2023-2026,0.764563504913779,1.6979099678456593,0.9945337620578778
2022,ion-pair complexation control,moisture-gradient ion transport,solvation_entropy,transport_mechanism,2,11,11,11,11,11,11,4,1.4684827999082564,121,2,0.026425606441095453,1,12,1,0,0,1,Exceptional n-type thermoelectric ionogels enabled by metal coordination and ion-selective association,2023-2026,0.7441216392202534,1.6617363344051446,0.9824758842443729
2022,ion-selectivity membrane transport,phase-transition entropy amplification,transport_mechanism,phase_or_species_transition,2,15,12,15,12,15,12,5,2.253906587912223,180,2,0.04084639676627929,1,24,1,0,0,1,A near-infrared light responsive temperature-sensing switch in a submicro-channel heterogeneous membrane,2023-2026,0.7136064663753205,1.7532154340836013,0.9811897106109324
2022,anti-freezing organohydrogel design,cellulose nanofiber scaffold,gel_microstructure,gel_microstructure,2,13,12,13,12,13,12,5,1.9018284405365966,156,2,0.008986963212502143,0,16,1,0,0,1,"Highly stretchable, low-hysteresis, and antifreeze hydrogel for low-grade thermal energy harvesting in ionic thermoelectric Supercapacitors",2023-2026,0.7099140087516898,1.7020900321543408,0.9747588424437299
2022,ion-pair complexation control,ion-selectivity membrane transport,solvation_entropy,transport_mechanism,2,11,15,11,15,11,15,3,1.1155266760434952,165,2,0.046266804405057455,1,12,1,0,0,1,Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting,2023-2026,0.7081518459888931,1.6623794212218648,0.9659163987138264
2022,chaotropic polymer-water disruption,ion-pair complexation control,gel_microstructure,solvation_entropy,2,7,11,7,11,7,11,4,1.6447998234632761,77,2,0.028419871644776534,1,5,1,0,0,1,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors,2023-2026,0.7402886024100688,1.5438102893890675,0.9623794212218649
2022,ion-selectivity membrane transport,soft mixed ionic-electronic coupling,transport_mechanism,transport_mechanism,2,15,5,15,5,15,5,4,1.5325590674677416,75,2,0.04395641442747854,0,24,1,0,0,1,Size-Selective Ionic Crosslinking Provides Stretchable Mixed Ionic-Electronic Conductors,2023-2026,0.733658345825463,1.527893890675241,0.9569131832797428
2022,anti-freezing organohydrogel design,phase-transition entropy amplification,gel_microstructure,phase_or_species_transition,2,13,12,13,12,13,12,6,2.480751891740744,156,2,0.0,1,16,1,0,0,1,Anti-freezing hydrogel thermocells with confined microcrystallization for enhanced low-grade heat harvest,2023-2026,0.6905264816751269,1.6886655948553053,0.9557877813504824
2022,anti-freezing organohydrogel design,organic redox molecular design,gel_microstructure,redox_chemistry,2,13,7,13,7,13,7,3,1.2269954140314012,91,2,0.28601487966865835,1,16,1,0,0,1,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,2023-2026,0.6961674371670765,1.6066720257234726,0.947266881028939
2022,cellulose nanofiber scaffold,hierarchical porous electrode interface,gel_microstructure,electrode_interface,2,12,7,12,7,12,7,3,1.0823664447305057,84,2,0.0,1,6,1,0,0,0,,2023-2026,0.748884024130861,1.465514469453376,0.9463022508038585
2022,gel-confined redox transport,hierarchical porous electrode interface,gel_microstructure,electrode_interface,2,10,7,10,7,10,7,4,1.5580879302263493,70,2,0.007767894233273077,1,3,1,0,0,0,,2023-2026,0.7220362591056211,1.4772508038585208,0.9426045016077171
2022,dynamic crosslinked gel network,organic redox molecular design,gel_microstructure,redox_chemistry,2,12,7,12,7,12,7,3,1.1155266760434952,84,2,0.008207500695005445,1,4,1,0,0,1,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors,2023-2026,0.7123379595053567,1.4987138263665594,0.9408360128617363
2022,anti-freezing organohydrogel design,ferri/ferrocyanide redox chemistry,gel_microstructure,redox_chemistry,2,13,9,13,9,13,9,4,1.7727586339225592,117,2,0.0,1,16,1,0,0,0,,2023-2026,0.6852253725964912,1.6154340836012862,0.9360128617363344
