cutoff_year,concept_u,concept_v,u_type,v_type,dprev_ite,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,future_edge_label,future_example_title,future_window
2014,Fe2+/Fe3+ solvation redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,12,2,0,2,0,2,0,0,0.0,0,12,0.259010498980488,0,22,1,0,0,0,,2015-2017
2014,Fe2+/Fe3+ solvation redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,4,2,1,2,1,2,1,0,0.0,2,4,0.006382520722839142,1,22,1,0,0,0,,2015-2017
2014,Fe2+/Fe3+ solvation redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,2,3,2,3,2,3,0,0.0,6,12,0.09021030920073912,0,22,1,0,0,0,,2015-2017
2014,Fe2+/Fe3+ solvation redox chemistry,phase-transition entropy amplification,redox_chemistry,phase_or_species_transition,12,2,1,2,1,2,1,0,0.0,2,12,0.1247622867837015,1,22,1,0,0,0,,2015-2017
2014,Fe2+/Fe3+ solvation redox chemistry,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,3,2,2,2,2,2,2,0,0.0,4,3,0.009621307785878754,1,22,1,0,0,0,,2015-2017
2014,anti-freezing organohydrogel design,organic redox molecular design,gel_microstructure,redox_chemistry,2,1,3,1,3,1,3,1,0.9102392266268373,3,2,0.2607841003375495,1,8,1,0,0,0,,2015-2017
2014,anti-freezing organohydrogel design,phase-transition entropy amplification,gel_microstructure,phase_or_species_transition,2,1,1,1,1,1,1,1,0.9102392266268373,1,2,0.0,1,8,1,0,0,0,,2015-2017
2014,charge-transfer resistance engineering,phase-transition entropy amplification,electrode_interface,phase_or_species_transition,12,0,1,0,1,0,1,0,0.0,0,12,0.08205526668727992,1,21,1,0,0,0,,2015-2017
2014,ferri/ferrocyanide redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,12,3,0,3,0,3,0,0,0.0,0,12,0.27839922819079804,0,22,1,0,0,0,,2015-2017
2014,ferri/ferrocyanide redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,3,3,1,3,1,3,1,0,0.0,3,3,0.0,1,22,1,0,0,0,,2015-2017
2014,ferri/ferrocyanide redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,3,3,3,3,3,3,0,0.0,9,12,0.09533034586052165,0,22,1,0,0,0,,2015-2017
2014,ferri/ferrocyanide redox chemistry,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,2,3,2,3,2,3,2,1,1.4426950408889634,6,2,0.0,1,22,1,0,0,0,,2015-2017
2014,iodide/triiodide redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,0,3,0,3,0,3,0,0.0,0,12,0.08016102260194764,0,5,1,0,0,0,,2015-2017
2014,ion-selectivity membrane transport,moisture-gradient ion transport,transport_mechanism,transport_mechanism,12,1,0,1,0,1,0,0,0.0,0,12,0.24973997116835076,0,16,1,0,0,1,Ionic thermoelectric paper,2015-2017
2014,moisture-gradient ion transport,phase-transition entropy amplification,transport_mechanism,phase_or_species_transition,12,0,1,0,1,0,1,0,0.0,0,12,0.08021841627790545,1,13,1,0,0,0,,2015-2017
2014,organic redox molecular design,phase-transition entropy amplification,redox_chemistry,phase_or_species_transition,2,3,1,3,1,3,1,1,0.9102392266268373,3,2,0.0,1,2,1,0,0,0,,2015-2017
2014,organic redox molecular design,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,12,3,2,3,2,3,2,0,0.0,6,12,0.07071779320763312,1,2,1,0,0,0,,2015-2017
2015,Fe2+/Fe3+ solvation redox chemistry,carbon-electrode redox interface,redox_chemistry,electrode_interface,12,2,2,2,2,2,2,0,0.0,4,12,0.07050378992982184,1,23,1,0,0,0,,2016-2018
