cutoff_year,concept_u,concept_v,u_type,v_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,dprev,future_edge_label,future_example_title,future_window,ml_score,graph_score,hybrid_score
2022,charge transfer,electrical transport,electrode_interface,material_system,66,83,0,0,66,83,31,6.85319406185768,5478,2,0.16450034787407494,1,0,1,0,0,2,1,Dual-Cation CuAgSe-Based Material: Rapid Mass Transfer in Synthesis and High Thermoelectric Performance Realization,2023-2026,0.6115318016343716,1.745529542703167,0.9985277463193658
2022,ambient conditions,ionic conductor,material_system,material_system,57,99,0,0,57,99,26,5.7030464269073695,5643,2,0.08131390389560512,0,0,1,0,0,2,0,,2023-2026,0.6219583578484673,1.7394735814425741,0.9985004100441286
2022,absorption coefficient,temperature dependent,material_system,material_system,74,89,0,0,74,89,26,5.708569751869588,6586,2,0.03184787839643123,0,0,1,0,0,2,0,,2023-2026,0.5986815793045416,1.7424161362127542,0.998215331745226
2022,transition temperature,ultralow thermal conductivity,material_system,property_metric,84,81,0,0,84,81,28,5.932151885647963,6804,2,0.012985162318521717,1,0,1,0,0,2,1,Anharmonic lattice dynamics and the origin of intrinsic ultralow thermal conductivity in AgI materials,2023-2026,0.6186844099916603,1.7322128714804546,0.9982016636076073
2022,conduction band,ionic bond,material_system,material_system,62,82,0,0,62,82,29,6.613433794972673,5084,2,0.1010801564829359,0,0,1,0,0,2,1,First-principles calculations to investigate doping effects on electrical conductivity and interfacial contact resistance of TiO2,2023-2026,0.6724763080638388,1.7261295739446245,0.9981997110165189
2022,superionic conductors,wide temperature,material_system,material_system,72,80,0,0,72,80,28,6.096440583204896,5760,2,0.01307198684821585,0,0,1,0,0,2,0,,2023-2026,0.7208708840713988,1.7196850470574452,0.9980864607333932
2022,ionic character,ionic/covalent bonding,material_system,material_system,73,72,0,0,73,72,29,6.261122565336397,5256,2,0.048175646640616354,0,0,1,0,0,2,0,,2023-2026,0.6708342064612162,1.72265200921623,0.9979829734057093
2022,heat-to-electricity conversion,ionic conductor,material_system,material_system,74,99,0,0,74,99,31,6.664524152890031,7326,2,0.027515276292282013,0,0,1,0,0,2,0,,2023-2026,0.5708146120090088,1.7462715273167493,0.9977935720701372
2022,absorption coefficient,carrier concentrations,material_system,material_system,74,84,0,0,74,84,26,5.653850675074362,6216,2,0.027816039310474303,0,0,1,0,0,2,0,,2023-2026,0.5819979675416527,1.735853477564728,0.9977330417463974
2022,carrier concentrations,transport behavior,material_system,material_system,84,70,0,0,84,70,25,5.168796344274143,5880,2,0.011044946795691714,0,0,1,0,0,2,0,,2023-2026,0.5762405458526176,1.716818643339712,0.9964872886320146
2022,semiconducting nature,ultralow lattice thermal conductivity,material_system,property_metric,59,78,0,0,59,78,25,5.37146991304917,4602,2,0.11326336033876973,1,0,1,0,0,2,0,,2023-2026,0.6351367550912052,1.704741867458117,0.9963623228023588
2022,chemical composition,electrical transport,material_system,material_system,64,83,0,0,64,83,25,5.269778052885583,5312,2,0.09497430222994643,0,0,1,0,0,2,0,,2023-2026,0.5376840325847506,1.7297623696645448,0.9963291287538564
2022,superionic conductor,ultralow thermal conductivity,material_system,property_metric,63,81,0,0,63,81,26,5.439532552753268,5103,2,0.13286149094531016,1,0,1,0,0,2,0,,2023-2026,0.5375159709212858,1.728318428554692,0.9962627406568516
2022,hole concentration,temperature thermoelectric,material_system,material_system,71,78,0,0,71,78,25,5.225410026888787,5538,2,0.011086773779981542,0,0,1,0,0,2,1,"Carrier optimization and reduced thermal conductivity leading to enhanced thermoelectric performance in (Mg, S) co-doped AgSbTe2",2023-2026,0.5793097583869173,1.7092562580544381,0.9960167141797165
2022,hole concentration,ultralow thermal conductivity,material_system,property_metric,71,81,0,0,71,81,24,4.940312179334321,5751,2,0.032741743405919135,1,0,1,0,0,2,0,,2023-2026,0.5343613243499232,1.7280265161869799,0.9958780802124418
2022,phase transitions,ultralow thermal conductivity,phase_or_species_transition,property_metric,63,81,0,0,63,81,30,6.499821559248758,5103,2,0.013133314146303712,1,0,1,0,0,2,0,,2023-2026,0.5980071285406574,1.7007585816378332,0.9955109930878275
2022,carrier concentrations,solid-state reaction,material_system,material_system,84,66,0,0,84,66,22,4.600183917366679,5544,2,0.01166044281465309,0,0,1,0,0,2,0,,2023-2026,0.5693892407993689,1.7051206701292614,0.9953528332096692
2022,device applications,ultralow lattice thermal conductivity,material_system,property_metric,69,78,0,0,69,78,22,4.835790132535796,5382,2,0.04380551714212164,1,0,1,0,0,2,0,,2023-2026,0.5339894944317914,1.7190719334556956,0.9953059710235481
2022,transition temperature,ultralow lattice thermal conductivity,material_system,property_metric,84,78,0,0,84,78,25,5.2758023941627,6552,2,0.011371865563300608,1,0,1,0,0,2,1,Anharmonic lattice dynamics and the origin of intrinsic ultralow thermal conductivity in AgI materials,2023-2026,0.5266949329892303,1.7259196704026243,0.9951771000117156
2022,hole concentration,wide temperature,material_system,material_system,71,80,0,0,71,80,22,4.710298511856041,5680,2,0.012158224454697254,0,0,1,0,0,2,0,,2023-2026,0.5370808768643274,1.7095120474870154,0.9949525520365525
2022,hole concentration,theory calculations,material_system,material_system,71,79,0,0,71,79,21,4.374266306070508,5609,2,0.04310114026174113,0,0,1,0,0,2,0,,2023-2026,0.5247378581501803,1.721233451790526,0.9947651032920685
2022,superionic conductors,ultralow lattice thermal conductivity,material_system,property_metric,72,78,0,0,72,78,22,4.595226491767716,5616,2,0.10955283660609734,1,0,1,0,0,2,0,,2023-2026,0.506044185670688,1.7355264185574257,0.9945210294060217
2022,conduction band,ultralow lattice thermal conductivity,material_system,property_metric,62,78,0,0,62,78,24,4.956846895271119,4836,2,0.1709029259464861,1,0,1,0,0,2,0,,2023-2026,0.523686541052373,1.7183240910688482,0.9944878353575195
