cutoff_year,concept_u,concept_v,u_type,v_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,dprev,future_edge_label,future_example_title,future_window,ml_score,graph_score,hybrid_score
2022,charge transfer,electrical transport,electrode_interface,material_system,66,83,0,0,66,83,31,6.85319406185768,5478,2,0.16450034787407494,1,0,1,0,0,2,1,Dual-Cation CuAgSe-Based Material: Rapid Mass Transfer in Synthesis and High Thermoelectric Performance Realization,2023-2026,0.5896599610249962,1.7455336223055296,0.9982232114964074
2022,ambient conditions,ionic conductor,material_system,material_system,57,99,0,0,57,99,26,5.7030464269073695,5643,2,0.08131390389560512,0,0,1,0,0,2,0,,2023-2026,0.6015802545493952,1.7394778975320213,0.9981958762886598
2022,transition temperature,ultralow thermal conductivity,material_system,property_metric,84,81,0,0,84,81,28,5.932151885647963,6804,2,0.012985162318521717,1,0,1,0,0,2,1,Anharmonic lattice dynamics and the origin of intrinsic ultralow thermal conductivity in AgI materials,2023-2026,0.6086590735308088,1.7322174711027805,0.9981255857544518
2022,ionic character,ionic/covalent bonding,material_system,material_system,73,72,0,0,73,72,29,6.261122565336397,5256,2,0.048175646640616354,0,0,1,0,0,2,0,,2023-2026,0.6764034193482704,1.7226569821930646,0.9981099656357388
2022,superionic conductors,wide temperature,material_system,material_system,72,80,0,0,72,80,28,6.096440583204896,5760,2,0.01307198684821585,0,0,1,0,0,2,0,,2023-2026,0.7137594995788465,1.7196901358950327,0.9980357700718525
2022,conduction band,ionic bond,material_system,material_system,62,82,0,0,62,82,29,6.613433794972673,5084,2,0.1010801564829359,0,0,1,0,0,2,1,First-principles calculations to investigate doping effects on electrical conductivity and interfacial contact resistance of TiO2,2023-2026,0.6456904678774708,1.7261344111215244,0.9979967197750703
2022,absorption coefficient,temperature dependent,material_system,material_system,74,89,0,0,74,89,26,5.708569751869588,6586,2,0.03184787839643123,0,0,1,0,0,2,0,,2023-2026,0.5784146452899996,1.7424203373945644,0.9977585129646984
2022,absorption coefficient,carrier concentrations,material_system,material_system,74,84,0,0,74,84,26,5.653850675074362,6216,2,0.027816039310474303,0,0,1,0,0,2,0,,2023-2026,0.5797208308861286,1.7358579350203063,0.9976823648859732
2022,heat-to-electricity conversion,ionic conductor,material_system,material_system,74,99,0,0,74,99,31,6.664524152890031,7326,2,0.027515276292282013,0,0,1,0,0,2,0,,2023-2026,0.5565536250950243,1.7462755779443926,0.9974129178381756
2022,hole concentration,temperature thermoelectric,material_system,material_system,71,78,0,0,71,78,25,5.225410026888787,5538,2,0.011086773779981542,0,0,1,0,0,2,1,"Carrier optimization and reduced thermal conductivity leading to enhanced thermoelectric performance in (Mg, S) co-doped AgSbTe2",2023-2026,0.5904664948745021,1.7092617541393313,0.9963214620431116
2022,carrier concentrations,transport behavior,material_system,material_system,84,70,0,0,84,70,25,5.168796344274143,5880,2,0.011044946795691714,0,0,1,0,0,2,0,,2023-2026,0.561499101339659,1.7168238441112151,0.9961320681037176
2022,semiconducting nature,ultralow lattice thermal conductivity,material_system,property_metric,59,78,0,0,59,78,25,5.37146991304917,4602,2,0.11326336033876973,1,0,1,0,0,2,0,,2023-2026,0.6049371135508398,1.7047475398313026,0.9960578725398314
2022,hole concentration,ultralow thermal conductivity,material_system,property_metric,71,81,0,0,71,81,24,4.940312179334321,5751,2,0.032741743405919135,1,0,1,0,0,2,0,,2023-2026,0.5321795971867895,1.7280312792877226,0.9958528584817244
2022,superionic conductor,ultralow thermal conductivity,material_system,property_metric,63,81,0,0,63,81,26,5.439532552753268,5103,2,0.13286149094531016,1,0,1,0,0,2,0,,2023-2026,0.5305072605839602,1.72832318025617,0.9958313808184942
2022,chemical composition,electrical transport,material_system,material_system,64,83,0,0,64,83,25,5.269778052885583,5312,2,0.09497430222994643,0,0,1,0,0,2,0,,2023-2026,0.5296738136190571,1.7297670649796937,0.9958216182442987
2022,carrier concentrations,solid-state reaction,material_system,material_system,84,66,0,0,84,66,22,4.600183917366679,5544,2,0.01166044281465309,0,0,1,0,0,2,0,,2023-2026,0.5745106087343085,1.7051263277100908,0.9954799281474538
2022,phase transitions,ultralow thermal conductivity,phase_or_species_transition,property_metric,63,81,0,0,63,81,30,6.499821559248758,5103,2,0.013133314146303712,1,0,1,0,0,2,0,,2023-2026,0.5868665214910911,1.7007644095595127,0.9953842549203373
2022,heat-to-electricity conversion,high conductivity,material_system,property_metric,74,70,0,0,74,70,21,4.61843768601568,5180,2,0.05453437378060913,1,0,1,0,0,2,0,,2023-2026,0.5441843851040653,1.7119347469540767,0.9952671040299905
2022,device applications,ultralow lattice thermal conductivity,material_system,property_metric,69,78,0,0,69,78,22,4.835790132535796,5382,2,0.04380551714212164,1,0,1,0,0,2,0,,2023-2026,0.5298894628136428,1.7190770462355516,0.995204623555139
2022,transition temperature,ultralow lattice thermal conductivity,material_system,property_metric,84,78,0,0,84,78,25,5.2758023941627,6552,2,0.011371865563300608,1,0,1,0,0,2,1,Anharmonic lattice dynamics and the origin of intrinsic ultralow thermal conductivity in AgI materials,2023-2026,0.5215108719739181,1.72592451577632,0.9951265229615744
2022,hole concentration,theory calculations,material_system,material_system,71,79,0,0,71,79,21,4.374266306070508,5609,2,0.04310114026174113,0,0,1,0,0,2,0,,2023-2026,0.5257744596787165,1.7212384801624494,0.9950952827241486
2022,conduction band,phonon dispersion,material_system,material_system,62,82,0,0,62,82,23,5.130821743370304,5084,2,0.027043122065647393,0,0,1,0,0,2,1,First-principles study of Sr2CeBiO6 and Ba2CeBiO6 double perovskites for optoelectronic applications,2023-2026,0.5386752639861031,1.7062197360199938,0.994665729459544
2022,carrier concentrations,dielectric function,material_system,material_system,84,64,0,0,84,64,25,5.385863435140814,5376,2,0.014169210689192564,0,0,1,0,0,2,0,,2023-2026,0.5295074472726349,1.7084319353327084,0.9943611371446424
2022,high seebeck coefficients,p-type semiconducting,property_metric,material_system,77,65,0,0,77,65,25,5.297910479258426,5005,2,0.010767246178972203,1,0,1,0,0,2,1,"Multifunctional Pb-free double perovskites M2MoRuO6 (M = Ba, Sr) with narrow band gaps for advanced electronic and optoelectronic applications: Insights from first-principles calculations",2023-2026,0.5848393055597342,1.6912400421743206,0.9942010309278351
2022,electrical transport,electronic conduction,material_system,material_system,83,81,0,0,83,81,30,6.781492557686138,6723,2,0.16365231408531464,0,0,1,0,0,2,1,Hybridization of n-type Bi2Te3 crystals with liquid-like copper chalcogenide elicits record-high thermoelectric performance,2023-2026,0.4909743177402984,1.7639126444860982,0.9939960168697282
2022,ionic bond,lowers lattice thermal conductivity,material_system,property_metric,82,58,0,0,82,58,25,5.201541733484883,4756,2,0.013527174737353034,1,0,1,0,0,2,0,,2023-2026,0.6069027276509542,1.6855230787253983,0.9937421899406436
2022,superionic conductors,ultralow lattice thermal conductivity,material_system,property_metric,72,78,0,0,72,78,22,4.595226491767716,5616,2,0.10955283660609734,1,0,1,0,0,2,0,,2023-2026,0.4978257381500314,1.735530888784755,0.9937089971883786
2022,ionic bond,semiconducting nature,material_system,material_system,82,59,0,0,82,59,25,5.6550035551010716,4838,2,0.015335955878700219,0,0,1,0,0,2,0,,2023-2026,0.5581501655104155,1.6916559278350514,0.9936113714464231
2022,absorption coefficient,transition metal,material_system,material_system,74,69,0,0,74,69,18,4.170663883183708,5106,2,0.039616239474479245,0,0,1,0,0,2,1,"Ab initio Investigation of quasi-one-dimensional ternary chalcogenides Sr2ZnX3 (X = S, Se, Te) for efficient photovoltaic and thermoelectric applications",2023-2026,0.5334316038385212,1.6974588019368948,0.993576226179319
2022,superionic conductor,ultralow lattice thermal conductivity,material_system,property_metric,63,78,0,0,63,78,25,5.312179620525484,4914,2,0.11635457274297306,1,0,1,0,0,2,0,,2023-2026,0.505410609047007,1.7186103951890035,0.9935391283973758
2022,gradient approximation,temperature dependent,material_system,material_system,57,89,0,0,57,89,22,4.748947098481907,5073,2,0.027938305327752624,0,0,1,0,0,2,0,,2023-2026,0.5213493799637368,1.702909247110278,0.9934083099031552
2022,hole concentration,wide temperature,material_system,material_system,71,80,0,0,71,80,22,4.710298511856041,5680,2,0.012158224454697254,0,0,1,0,0,2,0,,2023-2026,0.5119703698234774,1.7095175335832553,0.9933790221805685
2022,generalized gradient approximation,temperature dependent,material_system,material_system,57,89,0,0,57,89,22,4.748947098481907,5073,2,0.02779968274036797,0,0,1,0,0,2,0,,2023-2026,0.5213428949867398,1.702835051546392,0.993369259606373
2022,carrier concentrations,substitution changes,material_system,material_system,84,58,0,0,84,58,21,4.409500014267422,4872,2,0.011480992904061377,0,0,1,0,0,2,0,,2023-2026,0.648413977626807,1.6789626288659794,0.9928401280849735
2022,conduction band,ultralow lattice thermal conductivity,material_system,property_metric,62,78,0,0,62,78,24,4.956846895271119,4836,2,0.1709029259464861,1,0,1,0,0,2,0,,2023-2026,0.49808988037569324,1.7183292330521711,0.9927874101843175
2022,lowers lattice thermal conductivity,theory calculations,property_metric,material_system,58,79,0,0,58,79,23,4.765196456781256,4582,2,0.034393648059119916,1,0,1,0,0,2,0,,2023-2026,0.5605350648475762,1.6856812324273664,0.9926897844423619
2022,reduce thermal conductivity,temperature thermoelectric,property_metric,material_system,55,78,0,0,55,78,27,5.516505668989475,4290,2,0.08563911867979804,1,0,1,0,0,2,0,,2023-2026,0.5727062479913709,1.6841221493283347,0.9926546391752578
2022,cubic phase,ionic bond,material_system,material_system,72,82,0,0,72,82,21,4.522780912974898,5904,2,0.010873325362201473,0,0,1,0,0,2,0,,2023-2026,0.4994563854866776,1.7100408075601374,0.9923149015932521
2022,hole concentration,transport behavior,material_system,material_system,71,70,0,0,71,70,21,4.518060947384416,4970,2,0.01265708827397089,0,0,1,0,0,2,1,Insight into Scattering Mechanisms and Transport Properties of AgCuS for Flexible Thermoelectric Applications,2023-2026,0.5483681743603767,1.6844960559200248,0.9921782255545142
2022,phonon dispersion,wide temperature,material_system,material_system,82,80,0,0,82,80,23,4.823570114491292,6560,2,0.012046975006379933,0,0,1,0,0,2,0,,2023-2026,0.4860161837408661,1.7239309981255857,0.992139175257732
2022,electrical transport,lower thermal conductivity,material_system,property_metric,83,55,0,0,83,55,24,4.887751544282286,4565,2,0.012243952652071793,1,0,1,0,0,2,0,,2023-2026,0.667153673306005,1.6726872461730709,0.9921001249609498
2022,ionic bond,ionic character,material_system,material_system,82,73,0,0,82,73,32,7.291484065440909,5986,2,0.14011769988182132,0,0,1,0,0,2,0,,2023-2026,0.4750751572289945,1.754363870665417,0.992088409871915
2022,transport behavior,ultralow lattice thermal conductivity,material_system,property_metric,70,78,0,0,70,78,27,5.5067898384286815,5460,2,0.009743223300072278,1,0,1,0,0,2,1,Unveiling bonding heterogeneity-driven anharmonicity and ultralow lattice thermal conductivity in NbSe2Br2: A machine learning accelerated discovery,2023-2026,0.497848845077997,1.7068884723523898,0.9919439237738208
2022,absorption coefficient,ionic character,material_system,material_system,74,73,0,0,74,73,35,7.925250762652275,5402,2,0.003141656585485219,0,0,1,0,0,2,1,"Isostructural transition metal diselenide lead-free semiconductors with coupled optical, piezoelectric and energy conversion functionalities",2023-2026,0.5098970158484212,1.695088448922212,0.9917623398937832
2022,generalized gradient approximation,ultralow lattice thermal conductivity,material_system,property_metric,57,78,0,0,57,78,25,5.513720175150783,4446,2,0.015582452252198542,1,0,1,0,0,2,0,,2023-2026,0.6611926948344383,1.6712414089347079,0.9917115745079663
2022,absorption coefficient,solid solutions,material_system,material_system,74,83,0,0,74,83,20,4.165152128494832,6142,2,0.015150063331059215,0,0,1,0,0,2,0,,2023-2026,0.4878657502312824,1.713943884723524,0.9915709934395502
2022,heat-to-electricity conversion,polymer matrix,material_system,material_system,74,68,0,0,74,68,25,5.17594774778897,5032,2,0.008676722044348663,0,0,1,0,0,2,1,Epichlorohydrin-Crosslinked Lignin-Polyvinyl Alcohol Hydrogel for Ionic Thermoelectric Applications,2023-2026,0.5183915165614363,1.6883874179943765,0.9915475632614809
2022,superionic conductors,wide temperature range,material_system,material_system,72,70,0,0,72,70,25,5.300552029808356,5040,2,0.010507970963509333,0,0,1,0,0,2,0,,2023-2026,0.5097860567203925,1.691716455795064,0.9913815995001563
2022,high-temperature thermoelectric,ultralow lattice thermal conductivity,material_system,property_metric,56,78,0,0,56,78,24,4.93335031522548,4368,2,0.05146428661390405,1,0,1,0,0,2,1,"High-Temperature Thermoelectric Potential of Ba2XReO6 (X = Li, Rb, Cs) Double Perovskites: A First-Principles Study",2023-2026,0.5477032432393941,1.6796167213370823,0.9912117307091535
2022,ionic bond,ultralow thermal conductivity,material_system,property_metric,82,81,0,0,82,81,25,5.310758766220605,6642,2,0.013967086688929245,1,0,1,0,0,2,1,"Two-dimensional Nowotny-Juza NaZnX (X = P, As, Sb) as high-performance thermoelectric materials",2023-2026,0.4717403836898464,1.7302649562636674,0.9910145267104029
2022,solid-state reaction,transition temperature,material_system,material_system,66,84,0,0,66,84,20,4.281351806404895,5544,2,0.03419127005332749,0,0,1,0,0,2,0,,2023-2026,0.48067519819567806,1.7154258434864107,0.990979381443299
