_source,年份,文章名,DOI
iTE1,2025,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,10.1039/d4ee04247f
iTE1,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288
iTE1,2025,Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,10.1002/anie.202511293
iTE1,2024,Remarkable high-temperature ionic thermoelectric performance induced by graphene in gel thermocells,10.1039/d3ee03818a
iTE1,2025,Phase-Transitional Ionic Thermocells for the Enhanced Thermoelectric Efficiency,10.1021/acsami.5c04042
iTE1,2024,A novel concentrated photovoltaic and ionic thermocells hybrid system for full-spectrum solar cascade utilization,10.1016/j.apenergy.2024.123033
iTE1,2022,Quasi-solid n-type thermogalvanic thermocells with enhanced ionic conductivity for continuous low-grade heat harvesting,10.1063/5.0120728
iTE1,2017,Diffuse charge dynamics in ionic thermoelectrochemical systems,10.1103/PhysRevE.96.022604
iTE1,2016,Synthesis and characterization of protic ionic liquids as thermoelectrochemical materials,10.1039/c5ra24835c
iTE1,2014,Development of Flexible Micro-Thermo-electrochemical Generators Based on Ionic Liquids,10.1007/s11664-014-3126-1
iTE1,2013,Towards ionic liquid-based thermoelectrochemical cells for the harvesting of thermal energy,10.1016/j.electacta.2013.08.087
iTE1,2024,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,10.1016/j.jpowsour.2024.234647
iTE1,2026,Data driven screening of electrolyte matrix-ion pairs with enhanced seebeck coefficients in thermoelectrochemical cells,10.1016/j.mtcomm.2026.115585
iTE1,2011,Seebeck coefficients in ionic liquids -prospects for thermo-electrochemical cells,10.1039/c1cc11501d
iTE1,2018,Selective Ionic Conduction in Choline Iodide/Triiodide Solid Electrolyte and Its Application to Thermocells,10.1246/cl.171069
iTE1,2024,From Academia to Industry: Criteria for Upscaling Ionic Liquid-Based Thermo-Electrochemical Cells for Large-Scale Applications,10.3390/en17010001
iTE1,2023,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,10.1016/j.nanoen.2022.108077
iTE1,2026,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,10.1016/j.cej.2026.175294
iTE1,2023,Anti-freezing hydrogel thermocells with confined microcrystallization for enhanced low-grade heat harvest,10.1016/j.cej.2023.147380
iTE1,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573
iTE1,2022,Adaptable and Wearable Thermocell Based on Stretchable Hydrogel for Body Heat Harvesting,10.1002/aenm.202201542
iTE1,2026,Antisolvent engineering enhanced high-entropy liquid flow thermocells with giant power densities for low-grade heat harvesting,10.1039/d5ee04880j
iTE1,2021,Gel-based thermocells for low-grade heat harvesting,10.1209/0295-5075/ac2075
iTE1,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,10.1016/j.cej.2024.150816
iTE1,2024,Liquid-flow thermocells with high hybrid entropy for low-grade heat harvesting,10.1016/j.nanoen.2024.109992
iTE1,2025,Research progress and perspects of thermal conductivity regulation in ionic thermocells,10.7498/aps.74.20250503
iTE1,2024,Significantly enhanced properties of micro-ionic thermocells through the microstructure interfacial effect,10.1039/d4ta03996c
iTE1,2026,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,10.1021/acsaem.6c01130
iTE1,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189
iTE1,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,10.1002/adma.202300696
iTE1,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,10.1021/acs.nanolett.5c02774
iTE2,2025,Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,10.1016/j.cej.2025.168815
iTE2,2021,Stretchable and Freeze-Tolerant Organohydrogel Thermocells with Enhanced Thermoelectric Performance Continually Working at Subzero Temperatures,10.1002/adfm.202104071
iTE2,2025,Simultaneously Modulating Solvation and Water Structure for High-Performance Antifreezing n-Type Liquid Thermocells,10.1021/acsmaterialslett.4c02193
iTE2,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,10.1016/j.jpowsour.2025.239060
