concept,concept_type,doc_freq,score
zwitterionic hydrogel ion regulation,gel_microstructure,4,999999.0
fe2+/fe3+ solvation redox chemistry,redox_chemistry,82,999999.0
eumelanin. photothermal water transpiration creates thermal gradients,device_function,1,999999.0
evaporation charged nanochannel drive ionic thermoelectric,transport_mechanism,1,999999.0
evaporation-assisted concentration gradient,transport_mechanism,2,999999.0
facilitates anion thermodiffusion,transport_mechanism,1,999999.0
facilitating anion thermodiffusion,transport_mechanism,1,999999.0
fe(cn)6 3-/4-. guanidinium-induced ferri/ferrocyanide crystallization,redox_chemistry,1,999999.0
fe2+/3+ n-type thermocells. hollow mxene microspheres reduce restacking,redox_chemistry,1,999999.0
fe2+/fe3+ redox couple gel-fe24. fe2+/fe3+ concentration modulates thermodiffusion,redox_chemistry,1,999999.0
fe3+/fe2+. dmso-eg hydrogen bonding prevents crystallization/evaporation,redox_chemistry,1,999999.0
/k3 redox electrolyte. photothermal layer creates temperature gradient,device_function,1,999999.0
fecl3/fecl2 electrolyte. guanidinium enhances ion separation/thermodiffusion,transport_mechanism,1,999999.0
fecl3/fecl2. bmim+/h2po4- thermodiffusion,transport_mechanism,1,999999.0
fenc accelerates inner-sphere redox kinetics at low cost,electrode_interface,1,999999.0
ferri/ferrocyanide redox chemistry,redox_chemistry,118,999999.0
gdm+-ferrocyanide crystallization improve n/p thermogalvanic performance,phase_or_species_transition,1,999999.0
ge/te ionic-size/charge-transfer effects form site-disordered alloys correlated,electrode_interface,1,999999.0
gel-confined redox transport,gel_microstructure,114,999999.0
gelma ion-induced crystallization,phase_or_species_transition,2,999999.0
etched carbon-cloth redox interface,electrode_interface,1,999999.0
entropy-charge coupled transport. symmetric treatment of entropy,material_system,1,999999.0
entropy of transfer,material_system,1,999999.0
entropy difference of thermogalvanic ions at subzero temperatures,material_system,1,999999.0
eastman entropy divalent cations produce stronger n-type thermopower,solvation_entropy,1,999999.0
edge salt crystallization,phase_or_species_transition,1,999999.0
effects heat-flux definition controls interpretation of interfacial heat,material_system,1,999999.0
electric-field thermoelectric treatment promote linbo3 nanocrystallization,phase_or_species_transition,1,999999.0
electrochemical refrigeration thermocell,device_function,62,999999.0
electrolyte-filled nanochannel,transport_mechanism,1,999999.0
electrostatic-interaction cationic hydrogel,gel_microstructure,1,999999.0
electrostatic/ion-pi interactions raise redox entropy difference,solvation_entropy,1,999999.0
eliminates soret effect,transport_mechanism,1,999999.0
emim+-i3- interactions increase entropy/potential differences,material_system,1,999999.0
enables low-temperature crystallization of nanoscale n-type lst perovskite,phase_or_species_transition,1,999999.0
enhancing solvation entropy,solvation_entropy,1,999999.0
enhancing soret-effect thermopower,property_metric,1,999999.0
enhancing thermodiffusion,transport_mechanism,1,999999.0
enhancing thermodiffusion-driven ion transport,transport_mechanism,1,999999.0
enlarge redox-ion entropy difference for subzero thermocell output,material_system,1,999999.0
entropy carried,material_system,1,999999.0
gete under high pressure. pressure-driven phase transitions,phase_or_species_transition,1,999999.0
graphene oxide nanochannel membranes,transport_mechanism,1,999999.0
gutmann-donor ionic-cluster thermodiffusion,transport_mechanism,5,999999.0
increases charge-carrier thermal-diffusion entropy difference,material_system,1,999999.0
increases eastman entropy of cation transport,solvation_entropy,1,999999.0
increases fe(cn)6 redox entropy difference,solvation_entropy,1,999999.0
increases fe3+-water redox solvation entropy,solvation_entropy,1,999999.0
increases fe3+-water redox solvation entropy/ionic kinetics,solvation_entropy,1,999999.0
increases polymer entropy elasticity,gel_microstructure,1,999999.0
increases redox entropy change,solvation_entropy,1,999999.0
increases redox entropy difference,solvation_entropy,1,999999.0
increases redox reaction entropy change,redox_chemistry,1,999999.0
increases solvation entropy/disorder,solvation_entropy,1,999999.0
increasing configurational entropy difference,phase_or_species_transition,1,999999.0
increasing redox entropy,solvation_entropy,1,999999.0
inhibits thermosensitive crystal precipitation,phase_or_species_transition,1,999999.0
interfacial entropy tune electrochemical thermopower within tio2,property_metric,1,999999.0
interfacially modified ion diffusion channels,transport_mechanism,1,999999.0
interpenetrating-network thermogalvanic hydrogel,gel_microstructure,5,999999.0
iodide/triiodide redox chemistry,redox_chemistry,40,999999.0
ion accumulation variation/soret effect,transport_mechanism,1,999999.0
increases configurational entropy contribution to ionic migration entropy,phase_or_species_transition,1,999999.0
increase redox entropy difference despite higher viscosity,solvation_entropy,1,999999.0
hap/sio2/zno/zro2 nanoparticles. solid-liquid phase transition stores heat,phase_or_species_transition,1,999999.0
increase polymer entropy elasticity,gel_microstructure,1,999999.0
hexacyanoferrate redox electrode,electrode_interface,9,999999.0
hierarchical porous electrode interface,electrode_interface,6,999999.0
high-entropy agmnsn1-xpbxsbte4 solid solutions,solvation_entropy,1,999999.0
high-entropy chalcogenide alloys (ge,solvation_entropy,1,999999.0
high-entropy chalcogenides agmnpbsbte4,solvation_entropy,1,999999.0
high-entropy gel thermocell,solvation_entropy,1,999999.0
high-entropy redox/ion coupling,solvation_entropy,20,999999.0
high-temperature thermal charging cells,device_function,1,999999.0
hofmeister effects create dual thermoelectric behavior ion channels,transport_mechanism,1,999999.0
hybrid entropy increase,material_system,1,999999.0
hydrogel nanochannel control greatly increase seebeck coefficient,property_metric,1,999999.0
hydrogel volume-phase transition thermocell,phase_or_species_transition,3,999999.0
hydrogen bonding enable p-type thermodiffusion,transport_mechanism,1,999999.0
i2/ki/emim bf4 electrolyte. bf4- chaotropicity,gel_microstructure,1,999999.0
imidazolium ionic-liquid phase transition electrolyte,material_system,30,999999.0
improve fe2+/3+ redox kinetics,redox_chemistry,1,999999.0
improving li+ thermodiffusion,transport_mechanism,1,999999.0
dynamic crosslinked gel network,gel_microstructure,47,999999.0
dual-ion complexation,material_system,1,999999.0
double-network hydrogel mechanics,gel_microstructure,7,999999.0
antisolvent. ethanol antisolvent alters fe(cn)6 4- solvation shell,solvation_entropy,1,999999.0
beta-cyclodextrin. beta-cyclodextrin host-guest interaction changes redox entropy,solvation_entropy,1,999999.0
bidirectional cationic anchoring thermodiffusion,transport_mechanism,2,999999.0
binder-free ti3c2tx mxene mxene ppy electrode. acid,material_system,1,999999.0
biomass-derived porous carbon electrode,electrode_interface,4,999999.0
biomimetic conical nanochannel membrane. directed ionic flow,transport_mechanism,1,999999.0
biphase-solvation liquid thermocell,solvation_entropy,3,999999.0
boost thermal charging,device_function,1,999999.0
butler-volmer behavior cscl alters solvation,material_system,1,999999.0
