graph_role,concept_type,unique_concepts,paper_concept_rows,papers
background,material_system,358,6025,1844
background,property_metric,99,3438,1355
background,characterization_method,16,298,171
background,transport_mechanism,13,271,232
background,electrode_interface,6,39,35
background,computational_method,3,166,144
background,solvation_entropy,3,24,24
background,gel_microstructure,2,17,17
background,phase_or_species_transition,2,63,62
background,redox_chemistry,2,97,95
recommendation_candidate,material_system,231,3816,1561
recommendation_candidate,transport_mechanism,69,130,97
recommendation_candidate,property_metric,68,799,570
recommendation_candidate,solvation_entropy,33,95,65
recommendation_candidate,device_function,25,78,64
recommendation_candidate,phase_or_species_transition,22,45,41
recommendation_candidate,gel_microstructure,17,20,12
recommendation_candidate,redox_chemistry,13,53,50
recommendation_candidate,electrode_interface,9,38,33
