paper_id,source,year,title,doi,concept,concept_type,graph_role
TG_0000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,temperature gradient,material_system,background
TG_0000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,thermogalvanic cell,material_system,background
TG_0000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,thermogalvanic voltage,material_system,background
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,selective fe2+-nitrile solvation enlarge redox entropy change,solvation_entropy,recommendation_candidate
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,entropy change,material_system,recommendation_candidate
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,temperature coefficient,material_system,recommendation_candidate
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,rational design,material_system,recommendation_candidate
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,redox entropy,solvation_entropy,recommendation_candidate
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,solvation entropy,solvation_entropy,recommendation_candidate
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,thermogalvanic systems,material_system,background
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,thermogalvanic electrolyte,material_system,background
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,temperature coefficients,material_system,background
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,solvation shell,solvation_entropy,background
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,ionic thermoelectric,material_system,background
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,redox couple,redox_chemistry,background
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,high thermopower,property_metric,background
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,thermogalvanic effect,material_system,background
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,n-type ionic,material_system,recommendation_candidate
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,n-type ionic thermoelectric,material_system,recommendation_candidate
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,ionic thermoelectric devices,material_system,recommendation_candidate
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,ionic thermoelectric generator,material_system,recommendation_candidate
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,thermodiffusion effect,transport_mechanism,background
TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,ionic thermoelectric generators,material_system,background
TG_0003,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,thermogalvanic hydrogel,material_system,recommendation_candidate
TG_0003,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,ionic conductive,material_system,recommendation_candidate
TG_0003,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,ion conduction,material_system,background
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,chaotropic ions,gel_microstructure,recommendation_candidate
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,radiative-cooling structure. chaotropic effect raises seebeck coefficient,property_metric,recommendation_candidate
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,power density,property_metric,background
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,temperature difference,material_system,background
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,temperature range,material_system,background
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,high seebeck,property_metric,background
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,high seebeck coefficient,property_metric,background
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,power generation,material_system,background
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,wide temperature,material_system,recommendation_candidate
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,wide temperature range,material_system,recommendation_candidate
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,normalized power density,property_metric,recommendation_candidate
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,ionic thermocells,material_system,recommendation_candidate
TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,seebeck coefficient,property_metric,background
TG_0005,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,thermosensitive crystallization,phase_or_species_transition,recommendation_candidate
TG_0005,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,ion-transport highway. thermosensitive crystallization,phase_or_species_transition,recommendation_candidate
TG_0005,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,room temperature,material_system,background
TG_0005,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,near room temperature,material_system,recommendation_candidate
