concept,concept_type,doc_freq,score,graph_role
selective solvation entropy engineering,solvation_entropy,31,999999.0,recommendation_candidate
imidazolium ionic-liquid phase transition electrolyte,material_system,30,999999.0,recommendation_candidate
organic redox molecular design,redox_chemistry,29,999999.0,recommendation_candidate
deep-eutectic eutogel electrolyte,material_system,28,999999.0,recommendation_candidate
nanochannel-confined ion transport,transport_mechanism,28,999999.0,recommendation_candidate
soft mixed ionic-electronic coupling,transport_mechanism,24,999999.0,recommendation_candidate
carbon-electrode redox interface,electrode_interface,23,999999.0,recommendation_candidate
high-entropy redox/ion coupling,solvation_entropy,20,999999.0,recommendation_candidate
ion-dipole interaction transport,transport_mechanism,16,999999.0,recommendation_candidate
mxene-reinforced thermogalvanic gel,material_system,15,999999.0,recommendation_candidate
microfluidic redox-solvation thermocell,device_function,14,999999.0,recommendation_candidate
solvation-shell remodeling,solvation_entropy,13,999999.0,recommendation_candidate
localized photothermal layer,device_function,12,999999.0,recommendation_candidate
hexacyanoferrate redox electrode,electrode_interface,9,999999.0,recommendation_candidate
redox-solvation hybrid entropy,solvation_entropy,9,999999.0,recommendation_candidate
convection-resolved resistance decomposition,transport_mechanism,8,999999.0,recommendation_candidate
thermal-resistance cell architecture,device_function,8,999999.0,recommendation_candidate
double-network hydrogel mechanics,gel_microstructure,7,999999.0,recommendation_candidate
salting-out confined ion gel,gel_microstructure,7,999999.0,recommendation_candidate
hierarchical porous electrode interface,electrode_interface,6,999999.0,recommendation_candidate
supramolecular host-guest redox entropy,solvation_entropy,6,999999.0,recommendation_candidate
gutmann-donor ionic-cluster thermodiffusion,transport_mechanism,5,999999.0,recommendation_candidate
interpenetrating-network thermogalvanic hydrogel,gel_microstructure,5,999999.0,recommendation_candidate
redox-layer ionic-gradient cell,transport_mechanism,5,999999.0,recommendation_candidate
thermoresponsive micellization p/n conversion,phase_or_species_transition,5,999999.0,recommendation_candidate
thermosensitive crystallization salting-out,phase_or_species_transition,5,999999.0,recommendation_candidate
molecular-chaperone redox-gradient stabilization,solvation_entropy,5,999999.0,recommendation_candidate
quasi-solid granular electrolyte matrix,material_system,5,999999.0,recommendation_candidate
zwitterionic hydrogel ion regulation,gel_microstructure,4,999999.0,recommendation_candidate
biomass-derived porous carbon electrode,electrode_interface,4,999999.0,recommendation_candidate
cpv-itec solar cascade coupling,device_function,4,999999.0,recommendation_candidate
cu-based n/p redox thermocell,redox_chemistry,4,999999.0,recommendation_candidate
cu-ethylenediamine chelation entropy,redox_chemistry,4,999999.0,recommendation_candidate
configurational entropy gel design,phase_or_species_transition,4,999999.0,recommendation_candidate
solvent-shell water/des regulation,solvation_entropy,4,999999.0,recommendation_candidate
multimodal interfacial heat-transfer sensing,device_function,4,999999.0,recommendation_candidate
ni-bipyridine hydration-shell entropy,solvation_entropy,4,999999.0,recommendation_candidate
hydrogel volume-phase transition thermocell,phase_or_species_transition,3,999999.0,recommendation_candidate
