concept,concept_type,doc_freq,score,graph_role
photothermal thermogalvanic integration,device_function,324,999999.0,background
p/n thermogalvanic series design,device_function,288,999999.0,background
wearable biointerface thermocell,device_function,176,999999.0,background
soret thermodiffusion coupling,transport_mechanism,166,999999.0,background
ferri/ferrocyanide redox chemistry,redox_chemistry,118,999999.0,background
gel-confined redox transport,gel_microstructure,114,999999.0,background
thermal charging redox storage,device_function,107,999999.0,background
moisture-gradient ion transport,transport_mechanism,97,999999.0,background
phase-transition entropy amplification,phase_or_species_transition,92,999999.0,background
anti-freezing organohydrogel design,gel_microstructure,83,999999.0,background
fe2+/fe3+ solvation redox chemistry,redox_chemistry,82,999999.0,background
ion-selectivity membrane transport,transport_mechanism,76,999999.0,background
cellulose nanofiber scaffold,gel_microstructure,70,999999.0,background
ion-pair complexation control,solvation_entropy,70,999999.0,background
electrochemical refrigeration thermocell,device_function,62,999999.0,background
cation/anion thermodiffusion asymmetry,transport_mechanism,54,999999.0,background
charge-transfer resistance engineering,electrode_interface,50,999999.0,background
dynamic crosslinked gel network,gel_microstructure,47,999999.0,background
chaotropic polymer-water disruption,gel_microstructure,47,999999.0,background
redox entropy tuning,solvation_entropy,47,999999.0,background
iodide/triiodide redox chemistry,redox_chemistry,40,999999.0,background
selective solvation entropy engineering,solvation_entropy,31,999999.0,recommendation_candidate
imidazolium ionic-liquid phase transition electrolyte,material_system,30,999999.0,recommendation_candidate
organic redox molecular design,redox_chemistry,29,999999.0,recommendation_candidate
deep-eutectic eutogel electrolyte,material_system,28,999999.0,recommendation_candidate
nanochannel-confined ion transport,transport_mechanism,28,999999.0,recommendation_candidate
soft mixed ionic-electronic coupling,transport_mechanism,24,999999.0,recommendation_candidate
carbon-electrode redox interface,electrode_interface,23,999999.0,recommendation_candidate
high-entropy redox/ion coupling,solvation_entropy,20,999999.0,recommendation_candidate
ion-dipole interaction transport,transport_mechanism,16,999999.0,recommendation_candidate
mxene-reinforced thermogalvanic gel,material_system,15,999999.0,recommendation_candidate
microfluidic redox-solvation thermocell,device_function,14,999999.0,recommendation_candidate
solvation-shell remodeling,solvation_entropy,13,999999.0,recommendation_candidate
localized photothermal layer,device_function,12,999999.0,recommendation_candidate
hexacyanoferrate redox electrode,electrode_interface,9,999999.0,recommendation_candidate
redox-solvation hybrid entropy,solvation_entropy,9,999999.0,recommendation_candidate
convection-resolved resistance decomposition,transport_mechanism,8,999999.0,recommendation_candidate
thermal-resistance cell architecture,device_function,8,999999.0,recommendation_candidate
double-network hydrogel mechanics,gel_microstructure,7,999999.0,recommendation_candidate
salting-out confined ion gel,gel_microstructure,7,999999.0,recommendation_candidate
hierarchical porous electrode interface,electrode_interface,6,999999.0,recommendation_candidate
supramolecular host-guest redox entropy,solvation_entropy,6,999999.0,recommendation_candidate
gutmann-donor ionic-cluster thermodiffusion,transport_mechanism,5,999999.0,recommendation_candidate
interpenetrating-network thermogalvanic hydrogel,gel_microstructure,5,999999.0,recommendation_candidate
redox-layer ionic-gradient cell,transport_mechanism,5,999999.0,recommendation_candidate
thermoresponsive micellization p/n conversion,phase_or_species_transition,5,999999.0,recommendation_candidate
thermosensitive crystallization salting-out,phase_or_species_transition,5,999999.0,recommendation_candidate
molecular-chaperone redox-gradient stabilization,solvation_entropy,5,999999.0,recommendation_candidate
quasi-solid granular electrolyte matrix,material_system,5,999999.0,recommendation_candidate
zwitterionic hydrogel ion regulation,gel_microstructure,4,999999.0,recommendation_candidate
biomass-derived porous carbon electrode,electrode_interface,4,999999.0,recommendation_candidate
cpv-itec solar cascade coupling,device_function,4,999999.0,recommendation_candidate
cu-based n/p redox thermocell,redox_chemistry,4,999999.0,recommendation_candidate
cu-ethylenediamine chelation entropy,redox_chemistry,4,999999.0,recommendation_candidate
configurational entropy gel design,phase_or_species_transition,4,999999.0,recommendation_candidate
solvent-shell water/des regulation,solvation_entropy,4,999999.0,recommendation_candidate
multimodal interfacial heat-transfer sensing,device_function,4,999999.0,recommendation_candidate
ni-bipyridine hydration-shell entropy,solvation_entropy,4,999999.0,recommendation_candidate
hydrogel volume-phase transition thermocell,phase_or_species_transition,3,999999.0,recommendation_candidate
biphase-solvation liquid thermocell,solvation_entropy,3,999999.0,recommendation_candidate
metal-oxide nanostructured electrode,electrode_interface,3,999999.0,recommendation_candidate
evaporation-assisted concentration gradient,transport_mechanism,2,999999.0,recommendation_candidate
gelma ion-induced crystallization,phase_or_species_transition,2,999999.0,recommendation_candidate
bidirectional cationic anchoring thermodiffusion,transport_mechanism,2,999999.0,recommendation_candidate
antisolvent high-entropy liquid-flow thermocell,solvation_entropy,2,999999.0,recommendation_candidate
3d ion-channel hydration network,gel_microstructure,2,999999.0,recommendation_candidate
alkaline-fuel-cell waste-heat cascade,device_function,2,999999.0,recommendation_candidate
crown-ether cation complexation,solvation_entropy,2,999999.0,recommendation_candidate
coupling- hydrogel thermoelectric effect,material_system,2,999999.0,recommendation_candidate
chaotropic salts,gel_microstructure,2,999999.0,recommendation_candidate
resistance-gated thermogalvanic wearable,device_function,2,999999.0,recommendation_candidate
thermosensitive crystallization,phase_or_species_transition,2,999999.0,recommendation_candidate
water-state regulated mxene hydrogel,gel_microstructure,2,999999.0,recommendation_candidate
zinc-iodine thermal charging cell,device_function,2,999999.0,recommendation_candidate
supporting-electrolyte viscosity/resistance tradeoff,transport_mechanism,2,999999.0,recommendation_candidate
thermal management thermogalvanic gel,device_function,2,999999.0,recommendation_candidate
thermal-potential-induced redox reaction,redox_chemistry,2,999999.0,recommendation_candidate
polymer-electrolyte soret spectroscopy,transport_mechanism,2,999999.0,recommendation_candidate
porous/pin-electrode thermal-gradient architecture,electrode_interface,2,999999.0,recommendation_candidate
pva photothermal hydrogel,device_function,2,999999.0,recommendation_candidate
polarized-membrane ionic thermal potential,transport_mechanism,2,999999.0,recommendation_candidate
eumelanin. photothermal water transpiration creates thermal gradients,device_function,1,999999.0,recommendation_candidate
evaporation charged nanochannel drive ionic thermoelectric,transport_mechanism,1,999999.0,recommendation_candidate
facilitates anion thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
facilitating anion thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
fe(cn)6 3-/4-. guanidinium-induced ferri/ferrocyanide crystallization,redox_chemistry,1,999999.0,recommendation_candidate
fe2+/3+ n-type thermocells. hollow mxene microspheres reduce restacking,redox_chemistry,1,999999.0,recommendation_candidate
fe2+/fe3+ redox couple gel-fe24. fe2+/fe3+ concentration modulates thermodiffusion,redox_chemistry,1,999999.0,recommendation_candidate
fe3+/fe2+. dmso-eg hydrogen bonding prevents crystallization/evaporation,redox_chemistry,1,999999.0,recommendation_candidate
/k3 redox electrolyte. photothermal layer creates temperature gradient,device_function,1,999999.0,recommendation_candidate
fecl3/fecl2 electrolyte. guanidinium enhances ion separation/thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
fecl3/fecl2. bmim+/h2po4- thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
fenc accelerates inner-sphere redox kinetics at low cost,electrode_interface,1,999999.0,recommendation_candidate
gdm+-ferrocyanide crystallization improve n/p thermogalvanic performance,phase_or_species_transition,1,999999.0,recommendation_candidate
ge/te ionic-size/charge-transfer effects form site-disordered alloys correlated,electrode_interface,1,999999.0,recommendation_candidate
