paper_id,source,year,title,doi,concept,concept_type
TG_0000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,thermogalvanic cell,material_system
TG_0000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,thermogalvanic voltage,material_system
TG_0000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,drives thermogalvanic,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,refrigeration,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,selective fe2+-nitrile solvation enlarge redox entropy change,solvation_entropy
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,entropy change,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,rational design,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,redox entropy,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,thermogalvanic systems,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,thermogalvanic electrolyte,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,solvation shell,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,entropy engineering,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,binary solvent,material_system
TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,redox entropy change,material_system
