concept,concept_type,doc_freq,score
photothermal thermogalvanic integration,device_function,324,999999.0
p/n thermogalvanic series design,device_function,288,999999.0
wearable biointerface thermocell,device_function,176,999999.0
soret thermodiffusion coupling,transport_mechanism,166,999999.0
ferri/ferrocyanide redox chemistry,redox_chemistry,118,999999.0
gel-confined redox transport,gel_microstructure,114,999999.0
charging redox storage,device_function,107,999999.0
moisture-gradient ion transport,transport_mechanism,97,999999.0
phase-transition entropy amplification,phase_or_species_transition,92,999999.0
anti-freezing organohydrogel design,gel_microstructure,83,999999.0
fe2+/fe3+ solvation redox chemistry,redox_chemistry,82,999999.0
ion-selectivity membrane transport,transport_mechanism,76,999999.0
cellulose nanofiber scaffold,gel_microstructure,70,999999.0
ion-pair complexation control,solvation_entropy,70,999999.0
electrochemical refrigeration thermocell,device_function,62,999999.0
cation/anion thermodiffusion asymmetry,transport_mechanism,54,999999.0
charge-transfer resistance engineering,electrode_interface,50,999999.0
dynamic crosslinked gel network,gel_microstructure,47,999999.0
chaotropic polymer-water disruption,gel_microstructure,47,999999.0
redox entropy tuning,solvation_entropy,47,999999.0
iodide/triiodide redox chemistry,redox_chemistry,40,999999.0
selective solvation entropy engineering,solvation_entropy,31,999999.0
imidazolium ionic-liquid phase transition electrolyte,material_system,30,999999.0
organic redox molecular design,redox_chemistry,29,999999.0
deep-eutectic eutogel electrolyte,material_system,28,999999.0
nanochannel-confined ion transport,transport_mechanism,28,999999.0
soft mixed ionic-electronic coupling,transport_mechanism,24,999999.0
carbon-electrode redox interface,electrode_interface,23,999999.0
high-entropy redox/ion coupling,solvation_entropy,20,999999.0
ion-dipole interaction transport,transport_mechanism,16,999999.0
mxene-reinforced thermogalvanic gel,material_system,15,999999.0
microfluidic redox-solvation thermocell,device_function,14,999999.0
solvation-shell remodeling,solvation_entropy,13,999999.0
localized photothermal layer,device_function,12,999999.0
hexacyanoferrate redox electrode,electrode_interface,9,999999.0
redox-solvation hybrid entropy,solvation_entropy,9,999999.0
convection-resolved resistance decomposition,transport_mechanism,8,999999.0
thermal-resistance cell architecture,device_function,8,999999.0
double-network hydrogel mechanics,gel_microstructure,7,999999.0
salting-out confined ion gel,gel_microstructure,7,999999.0
hierarchical porous electrode interface,electrode_interface,6,999999.0
supramolecular host-guest redox entropy,solvation_entropy,6,999999.0
interpenetrating-network thermogalvanic hydrogel,gel_microstructure,5,999999.0
gutmann-donor ionic-cluster thermodiffusion,transport_mechanism,5,999999.0
redox-layer ionic-gradient cell,transport_mechanism,5,999999.0
thermoresponsive micellization p/n conversion,phase_or_species_transition,5,999999.0
thermosensitive crystallization salting-out,phase_or_species_transition,5,999999.0
quasi-solid granular electrolyte matrix,material_system,5,999999.0
molecular-chaperone redox-gradient stabilization,solvation_entropy,5,999999.0
zwitterionic hydrogel ion regulation,gel_microstructure,4,999999.0
biomass-derived porous carbon electrode,electrode_interface,4,999999.0
cu-based n/p redox thermocell,redox_chemistry,4,999999.0
cu-ethylenediamine chelation entropy,redox_chemistry,4,999999.0
cpv-itec solar cascade coupling,device_function,4,999999.0
configurational entropy gel design,phase_or_species_transition,4,999999.0
solvent-shell water/des regulation,solvation_entropy,4,999999.0
multimodal interfacial heat-transfer sensing,device_function,4,999999.0
ni-bipyridine hydration-shell entropy,solvation_entropy,4,999999.0
hydrogel volume-phase transition thermocell,phase_or_species_transition,3,999999.0
biphase-solvation liquid thermocell,solvation_entropy,3,999999.0
metal-oxide nanostructured electrode,electrode_interface,3,999999.0
evaporation-assisted concentration gradient,transport_mechanism,2,999999.0
gelma ion-induced crystallization,phase_or_species_transition,2,999999.0
bidirectional cationic anchoring thermodiffusion,transport_mechanism,2,999999.0
antisolvent high-entropy liquid-flow thermocell,solvation_entropy,2,999999.0
3d ion-channel hydration network,gel_microstructure,2,999999.0
alkaline-fuel-cell waste-heat cascade,device_function,2,999999.0
coupling- hydrogel,gel_microstructure,2,999999.0
crown-ether cation complexation,solvation_entropy,2,999999.0
chaotropic salts,gel_microstructure,2,999999.0
refrigeration,material_system,2,999999.0
resistance-gated thermogalvanic wearable,device_function,2,999999.0
thermosensitive crystallization,phase_or_species_transition,2,999999.0
water-state regulated mxene hydrogel,gel_microstructure,2,999999.0
zinc-iodine thermal charging cell,device_function,2,999999.0
supporting-electrolyte viscosity/resistance tradeoff,transport_mechanism,2,999999.0
thermal-potential-induced redox reaction,redox_chemistry,2,999999.0
pva photothermal hydrogel,device_function,2,999999.0
management thermogalvanic gel,device_function,2,999999.0
polarized-membrane ionic thermal potential,transport_mechanism,2,999999.0
polymer-electrolyte soret spectroscopy,transport_mechanism,2,999999.0
porous/pin-electrode thermal-gradient architecture,electrode_interface,2,999999.0
eumelanin. photothermal water transpiration creates thermal gradients,device_function,1,999999.0
evaporation charged nanochannels drive ionic,transport_mechanism,1,999999.0
facilitates anion thermodiffusion,transport_mechanism,1,999999.0
facilitating anion thermodiffusion,transport_mechanism,1,999999.0
