model,params,roc_auc,average_precision,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,precision_at_100,hits_at_100
hybrid_rank_blend,graph_weight=0.3; lr_weight=0.2,0.8420217957059206,0.6410708769305015,0.8,8,0.84,21,0.62,31,0.41,41
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.2,0.8400699414443722,0.6387296516122978,0.8,8,0.84,21,0.62,31,0.4,40
hybrid_rank_blend,graph_weight=0.1; lr_weight=0.2,0.8371014964216006,0.6381684862807309,0.8,8,0.84,21,0.6,30,0.39,39
ml_blend,lr_weight=0.2; lr_C1; rf_n600_leaf8_mf1.0,0.8337670787247885,0.6304348415197438,0.8,8,0.84,21,0.6,30,0.39,39
hybrid_rank_blend,graph_weight=0.0; lr_weight=0.2,0.8337670787247885,0.6304348415197438,0.8,8,0.84,21,0.6,30,0.39,39
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.4,0.8370608327911516,0.6280694414559815,0.8,8,0.84,21,0.6,30,0.4,40
ml_blend,lr_weight=0.3; lr_C1; rf_n600_leaf8_mf1.0,0.8323031880286272,0.6239257303462142,0.8,8,0.84,21,0.6,30,0.39,39
hybrid_rank_blend,graph_weight=0.0; lr_weight=0.3,0.8323031880286272,0.6239257303462142,0.8,8,0.84,21,0.6,30,0.39,39
random_forest,n=300; min_leaf=8; max_features=1.0,0.8314899154196487,0.6222530056325388,0.8,8,0.84,21,0.62,31,0.38,38
random_forest,n=300; min_leaf=2; max_features=sqrt,0.8344990240728691,0.6166637970661969,0.8,8,0.84,21,0.6,30,0.41,41
ml_blend,lr_weight=0.4; lr_C1; rf_n600_leaf8_mf1.0,0.8281554977228368,0.616397550081955,0.8,8,0.84,21,0.6,30,0.4,40
hybrid_rank_blend,graph_weight=0.0; lr_weight=0.4,0.8281554977228368,0.616397550081955,0.8,8,0.84,21,0.6,30,0.4,40
ml_blend,lr_weight=0.5; lr_C1; rf_n600_leaf8_mf1.0,0.8248210800260247,0.6098146975627704,0.8,8,0.84,21,0.58,29,0.4,40
hybrid_rank_blend,graph_weight=0.0; lr_weight=0.5,0.8248210800260247,0.6098146975627704,0.8,8,0.84,21,0.58,29,0.4,40
random_forest,n=600; min_leaf=8; max_features=sqrt,0.8385653871177617,0.6064534271485394,0.8,8,0.84,21,0.6,30,0.4,40
random_forest,n=600; min_leaf=12; max_features=0.6,0.8422251138581652,0.6026742977815439,0.8,8,0.84,21,0.6,30,0.39,39
random_forest,n=300; min_leaf=12; max_features=0.6,0.8415744957709824,0.6012796819549178,0.8,8,0.84,21,0.62,31,0.4,40
hybrid_rank_blend,graph_weight=0.4; lr_weight=0.0,0.8467794404684451,0.644936999153488,0.8,8,0.8,20,0.62,31,0.41,41
hybrid_rank_blend,graph_weight=0.4; lr_weight=0.1,0.8453968770331816,0.6440116181288295,0.8,8,0.8,20,0.62,31,0.41,41
hybrid_rank_blend,graph_weight=0.5; lr_weight=0.0,0.8486499674690956,0.6428974877871138,0.8,8,0.8,20,0.6,30,0.41,41
hybrid_rank_blend,graph_weight=0.3; lr_weight=0.3,0.8422251138581653,0.6410173323019429,0.8,8,0.8,20,0.6,30,0.4,40
hybrid_rank_blend,graph_weight=0.4; lr_weight=0.2,0.8436076772934288,0.6408837230965959,0.8,8,0.8,20,0.6,30,0.41,41
hybrid_rank_blend,graph_weight=0.5; lr_weight=0.1,0.8471454131424854,0.6393635797320458,0.8,8,0.8,20,0.6,30,0.42,42
hybrid_rank_blend,graph_weight=0.5; lr_weight=0.2,0.8461288223812622,0.6390866629169435,0.8,8,0.8,20,0.6,30,0.41,41
hybrid_rank_blend,graph_weight=0.6; lr_weight=0.0,0.849544567338972,0.6387420786514533,0.8,8,0.8,20,0.58,29,0.41,41
hybrid_rank_blend,graph_weight=0.4; lr_weight=0.3,0.8435263500325308,0.6366716632074545,0.8,8,0.8,20,0.6,30,0.42,42
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.3,0.8391346779440468,0.6362641239750917,0.8,8,0.8,20,0.6,30,0.4,40
hybrid_rank_blend,graph_weight=0.6; lr_weight=0.2,0.8472674040338322,0.6357042869108995,0.9,9,0.8,20,0.58,29,0.41,41
hybrid_rank_blend,graph_weight=0.6; lr_weight=0.1,0.8469014313597918,0.634131964586357,0.9,9,0.8,20,0.58,29,0.41,41
