cutoff_year,concept_i_ite_donor,concept_j_tg_anchor,i_type,j_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,future_TG_edge_label,future_example_title,future_window,tuned_ml_score,tuned_hybrid_score
2022,phase-transition entropy amplification,Fe2+/Fe3+ solvation redox chemistry,phase_or_species_transition,redox_chemistry,21,14,12,11,12,7,8,3.0768740591754375,294,2,0.0527713638934925,1,13,1,1,1,1,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,2023-2026,0.9134991059712791,0.9975438596491228
2022,phase-transition entropy amplification,chaotropic polymer-water disruption,phase_or_species_transition,gel_microstructure,21,10,12,9,12,7,8,2.7482924599602176,210,2,0.0474524186165615,1,13,1,1,1,1,Anhydrous Thermogalvanic Gel for Simultaneous Waste Heat Recovery and Thermal Management of Electronics,2023-2026,0.9039046481395294,0.9940350877192982
2022,phase-transition entropy amplification,cellulose nanofiber scaffold,phase_or_species_transition,gel_microstructure,21,14,12,4,12,12,8,2.8541134988381422,294,2,0.0,1,13,1,1,1,1,Wearable Device with High Thermoelectric Performance and Long-Lasting Usability Based on Gel-Thermocells for Body Heat Harvesting,2023-2026,0.8832710322048203,0.9849122807017543
2022,anti-freezing organohydrogel design,Fe2+/Fe3+ solvation redox chemistry,gel_microstructure,redox_chemistry,17,14,7,11,13,7,7,2.5499849777070036,238,2,0.0,1,9,1,1,1,1,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,2023-2026,0.922017286922826,0.9842105263157894
2022,dynamic crosslinked gel network,ferri/ferrocyanide redox chemistry,gel_microstructure,redox_chemistry,13,23,2,23,12,9,10,3.6704645646873457,299,2,0.0,1,3,1,1,1,1,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,2023-2026,0.8540543970439484,0.9796491228070174
2022,cellulose nanofiber scaffold,ferri/ferrocyanide redox chemistry,gel_microstructure,redox_chemistry,14,23,4,23,12,9,7,2.3931861184238095,322,2,0.0,1,1,1,1,1,1,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,2023-2026,0.8541285824077672,0.9789473684210526
2022,imidazolium ionic-liquid phase transition electrolyte,ferri/ferrocyanide redox chemistry,material_system,redox_chemistry,9,23,6,23,7,9,7,2.5434641030157925,207,2,0.0,1,0,1,1,1,0,,2023-2026,0.8988163583971227,0.9757894736842105
2022,ion-pair complexation control,thermal charging redox storage,solvation_entropy,device_function,16,20,8,10,11,12,11,3.8663796911181354,320,2,0.0,1,5,1,1,1,1,Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,2023-2026,0.8347792060472644,0.9757894736842105
2022,ion-pair complexation control,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,16,17,8,7,11,13,8,2.8253634039637756,272,2,0.0,1,5,1,1,1,1,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,2023-2026,0.8256053824075118,0.9670175438596491
2022,imidazolium ionic-liquid phase transition electrolyte,thermal charging redox storage,material_system,device_function,9,20,6,10,7,12,6,2.308956584742505,180,2,0.0,1,0,1,1,1,0,,2023-2026,0.8505107328271667,0.9592982456140351
