cutoff_year,concept_i_ite_donor,concept_j_tg_anchor,i_type,j_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,future_TG_edge_label,future_example_title,future_window
2014,anti-freezing organohydrogel design,Fe2+/Fe3+ solvation redox chemistry,gel_microstructure,redox_chemistry,1,2,0,1,1,2,0,0.0,2,3,0.0,1,8,1,0,1,0,,2015-2017
2014,anti-freezing organohydrogel design,charge-transfer resistance engineering,gel_microstructure,electrode_interface,1,2,0,2,1,0,0,0.0,2,3,0.02060159179970409,1,8,1,0,1,1,Sub-zero temperature thermo-electrochemical energy harvesting system using a self-heating negative temperature coefficient CNT-vanadium oxide cathode,2015-2017
2014,anti-freezing organohydrogel design,ferri/ferrocyanide redox chemistry,gel_microstructure,redox_chemistry,1,9,0,7,1,3,1,0.6213349345596119,9,2,0.0,1,8,1,0,1,0,,2015-2017
2014,anti-freezing organohydrogel design,hexacyanoferrate redox electrode,gel_microstructure,electrode_interface,1,1,0,1,1,0,0,0.0,1,3,0.009447158747179161,1,8,1,0,1,0,,2015-2017
2014,charge-transfer resistance engineering,Fe2+/Fe3+ solvation redox chemistry,electrode_interface,redox_chemistry,2,2,2,1,0,2,1,0.45511961331341866,4,2,0.01683032226067342,1,0,1,1,1,1,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",2015-2017
2014,moisture-gradient ion transport,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,1,2,1,1,0,2,0,0.0,2,4,0.018597874126546652,1,4,1,1,1,0,,2015-2017
2014,moisture-gradient ion transport,charge-transfer resistance engineering,transport_mechanism,electrode_interface,1,2,1,2,0,0,0,0.0,2,4,0.04232587120858861,1,4,1,1,1,0,,2015-2017
2014,moisture-gradient ion transport,ferri/ferrocyanide redox chemistry,transport_mechanism,redox_chemistry,1,9,1,7,0,3,0,0.0,9,3,0.005708079248295013,1,4,1,1,1,0,,2015-2017
2014,moisture-gradient ion transport,hexacyanoferrate redox electrode,transport_mechanism,electrode_interface,1,1,1,1,0,0,0,0.0,1,4,0.0,1,4,1,1,1,0,,2015-2017
2014,phase-transition entropy amplification,Fe2+/Fe3+ solvation redox chemistry,phase_or_species_transition,redox_chemistry,1,2,0,1,1,2,0,0.0,2,3,0.07639385925760957,1,12,1,0,1,0,,2015-2017
2014,phase-transition entropy amplification,charge-transfer resistance engineering,phase_or_species_transition,electrode_interface,1,2,0,2,1,0,0,0.0,2,3,0.10580921554190874,1,12,1,0,1,0,,2015-2017
2014,phase-transition entropy amplification,ferri/ferrocyanide redox chemistry,phase_or_species_transition,redox_chemistry,1,9,0,7,1,3,1,0.6213349345596119,9,2,0.0,1,12,1,0,1,0,,2015-2017
2014,phase-transition entropy amplification,hexacyanoferrate redox electrode,phase_or_species_transition,electrode_interface,1,1,0,1,1,0,0,0.0,1,3,0.0038208792236330193,1,12,1,0,1,0,,2015-2017
2015,anti-freezing organohydrogel design,Fe2+/Fe3+ solvation redox chemistry,gel_microstructure,redox_chemistry,1,2,0,1,1,2,0,0.0,2,3,0.0,1,9,1,0,1,0,,2016-2018
2015,anti-freezing organohydrogel design,carbon-electrode redox interface,gel_microstructure,electrode_interface,1,2,0,1,1,2,0,0.0,2,4,0.0,1,9,1,0,1,0,,2016-2018
2015,anti-freezing organohydrogel design,charge-transfer resistance engineering,gel_microstructure,electrode_interface,1,2,0,2,1,0,0,0.0,2,3,0.020985605678403546,1,9,1,0,1,1,Sub-zero temperature thermo-electrochemical energy harvesting system using a self-heating negative temperature coefficient CNT-vanadium oxide cathode,2016-2018
2015,anti-freezing organohydrogel design,ferri/ferrocyanide redox chemistry,gel_microstructure,redox_chemistry,1,11,0,9,1,3,1,0.6213349345596119,11,2,0.0,1,9,1,0,1,0,,2016-2018
2015,anti-freezing organohydrogel design,hexacyanoferrate redox electrode,gel_microstructure,electrode_interface,1,1,0,1,1,0,0,0.0,1,3,0.009614593594547508,1,9,1,0,1,0,,2016-2018
2015,anti-freezing organohydrogel design,imidazolium ionic-liquid phase transition electrolyte,gel_microstructure,material_system,1,3,0,2,1,3,0,0.0,3,3,0.0,1,9,1,0,1,0,,2016-2018
2015,charge-transfer resistance engineering,Fe2+/Fe3+ solvation redox chemistry,electrode_interface,redox_chemistry,2,2,2,1,0,2,1,0.4170323914242463,4,2,0.016997491862790596,1,0,1,1,1,1,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",2016-2018
2015,charge-transfer resistance engineering,imidazolium ionic-liquid phase transition electrolyte,electrode_interface,material_system,2,3,2,2,0,3,0,0.0,6,3,0.029179302963291565,1,0,1,1,1,1,Substituted ferrocenes and iodine as synergistic thermoelectrochemical heat harvesting redox couples in ionic liquids,2016-2018
2015,ion-selectivity membrane transport,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,4,2,2,1,2,2,1,0.4170323914242463,8,2,0.0037624704027974204,1,0,1,1,1,0,,2016-2018
2015,ion-selectivity membrane transport,carbon-electrode redox interface,transport_mechanism,electrode_interface,4,2,2,1,2,2,0,0.0,8,4,0.03702112364742215,1,0,1,1,1,0,,2016-2018
2015,ion-selectivity membrane transport,charge-transfer resistance engineering,transport_mechanism,electrode_interface,4,2,2,2,2,0,1,0.4170323914242463,8,2,0.041082062412751405,1,0,1,1,1,0,,2016-2018
2015,ion-selectivity membrane transport,hexacyanoferrate redox electrode,transport_mechanism,electrode_interface,4,1,2,1,2,0,1,0.4170323914242463,4,2,0.028414577851212562,1,0,1,1,1,0,,2016-2018
2015,ion-selectivity membrane transport,imidazolium ionic-liquid phase transition electrolyte,transport_mechanism,material_system,4,3,2,2,2,3,0,0.0,12,3,0.0936533418969234,1,0,1,1,1,0,,2016-2018
2015,moisture-gradient ion transport,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,1,2,1,1,0,2,0,0.0,2,4,0.018890294711677247,1,4,1,1,1,0,,2016-2018
2015,moisture-gradient ion transport,carbon-electrode redox interface,transport_mechanism,electrode_interface,1,2,1,1,0,2,0,0.0,2,5,0.0,1,4,1,1,1,0,,2016-2018
2015,moisture-gradient ion transport,charge-transfer resistance engineering,transport_mechanism,electrode_interface,1,2,1,2,0,0,0,0.0,2,4,0.04271373906256384,1,4,1,1,1,0,,2016-2018
2015,moisture-gradient ion transport,ferri/ferrocyanide redox chemistry,transport_mechanism,redox_chemistry,1,11,1,9,0,3,0,0.0,11,3,0.005769406548088044,1,4,1,1,1,0,,2016-2018
2015,moisture-gradient ion transport,hexacyanoferrate redox electrode,transport_mechanism,electrode_interface,1,1,1,1,0,0,0,0.0,1,4,0.0,1,4,1,1,1,0,,2016-2018
2015,moisture-gradient ion transport,imidazolium ionic-liquid phase transition electrolyte,transport_mechanism,material_system,1,3,1,2,0,3,0,0.0,3,4,0.07672723382261079,1,4,1,1,1,0,,2016-2018
2015,phase-transition entropy amplification,Fe2+/Fe3+ solvation redox chemistry,phase_or_species_transition,redox_chemistry,1,2,0,1,1,2,0,0.0,2,3,0.07726376916620438,1,13,1,0,1,0,,2016-2018
2015,phase-transition entropy amplification,carbon-electrode redox interface,phase_or_species_transition,electrode_interface,1,2,0,1,1,2,0,0.0,2,4,0.0036512819379639766,1,13,1,0,1,0,,2016-2018
2015,phase-transition entropy amplification,charge-transfer resistance engineering,phase_or_species_transition,electrode_interface,1,2,0,2,1,0,0,0.0,2,3,0.10605296915661251,1,13,1,0,1,0,,2016-2018
2015,phase-transition entropy amplification,ferri/ferrocyanide redox chemistry,phase_or_species_transition,redox_chemistry,1,11,0,9,1,3,1,0.6213349345596119,11,2,0.0,1,13,1,0,1,0,,2016-2018
2015,phase-transition entropy amplification,hexacyanoferrate redox electrode,phase_or_species_transition,electrode_interface,1,1,0,1,1,0,0,0.0,1,3,0.00357405062478364,1,13,1,0,1,0,,2016-2018
2015,phase-transition entropy amplification,imidazolium ionic-liquid phase transition electrolyte,phase_or_species_transition,material_system,1,3,0,2,1,3,0,0.0,3,3,0.26166149987444187,1,13,1,0,1,0,,2016-2018
2016,anti-freezing organohydrogel design,Fe2+/Fe3+ solvation redox chemistry,gel_microstructure,redox_chemistry,1,3,0,2,1,2,0,0.0,3,3,0.0,1,9,1,1,1,0,,2017-2019
2016,anti-freezing organohydrogel design,carbon-electrode redox interface,gel_microstructure,electrode_interface,1,3,0,2,1,2,0,0.0,3,4,0.0,1,9,1,1,1,0,,2017-2019
2016,anti-freezing organohydrogel design,charge-transfer resistance engineering,gel_microstructure,electrode_interface,1,4,0,4,1,0,0,0.0,4,3,0.020660397343720147,1,9,1,1,1,1,Sub-zero temperature thermo-electrochemical energy harvesting system using a self-heating negative temperature coefficient CNT-vanadium oxide cathode,2017-2019
2016,anti-freezing organohydrogel design,ferri/ferrocyanide redox chemistry,gel_microstructure,redox_chemistry,1,12,0,10,1,3,1,0.5581106265512472,12,2,0.0,1,9,1,1,1,0,,2017-2019
2016,anti-freezing organohydrogel design,hexacyanoferrate redox electrode,gel_microstructure,electrode_interface,1,1,0,1,1,0,0,0.0,1,3,0.009864939628749453,1,9,1,1,1,0,,2017-2019
2016,anti-freezing organohydrogel design,imidazolium ionic-liquid phase transition electrolyte,gel_microstructure,material_system,1,5,0,4,1,3,0,0.0,5,3,0.0,1,9,1,1,1,0,,2017-2019
2016,anti-freezing organohydrogel design,iodide/triiodide redox chemistry,gel_microstructure,redox_chemistry,1,9,0,9,1,0,0,0.0,9,3,0.0,1,9,1,1,1,0,,2017-2019
2016,charge-transfer resistance engineering,Fe2+/Fe3+ solvation redox chemistry,electrode_interface,redox_chemistry,4,3,4,2,0,2,1,0.40242960438184466,12,2,0.017577853552141566,1,0,1,1,1,1,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",2017-2019
2016,ion-pair complexation control,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,6,1,4,0,2,1,0,0.0,6,3,0.0,1,5,1,1,1,0,,2017-2019
2016,ion-pair complexation control,carbon-electrode redox interface,solvation_entropy,electrode_interface,6,3,4,2,2,2,1,0.45511961331341866,18,2,0.012952339625181174,1,5,1,1,1,0,,2017-2019
2016,ion-pair complexation control,charge-transfer resistance engineering,solvation_entropy,electrode_interface,6,4,4,4,2,0,2,0.8575492176952633,24,2,0.0,1,5,1,1,1,0,,2017-2019
