rank,candidate_direction,donor_concept,tg_anchor,score,common_neighbors,donor_first_iTE_year,donor_first_iTE_title,anchor_first_TG_year,anchor_first_TG_title,donor_recent_iTE_title,anchor_recent_TG_title
1,imidazolium ionic-liquid phase transition electrolyte + gel-confined redox transport,imidazolium ionic-liquid phase transition electrolyte,gel-confined redox transport,1.754874213836478,ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold; photothermal thermogalvanic integration,2008,Development of apparatus for simultaneous measurements of Raman spectroscopy and high-sensitivity calorimetry,2020,Thermogalvanic Hydrogel for Synchronous Evaporative Cooling and Low-Grade Heat Energy Harvesting,"Biomimetic salt-excreting 2D evaporator enables spatially decoupled evaporation, salt harvesting, and energy recovery for sustainable brine treatment",Self-powered thermogalvanic cells based on layered double hydroxides cross-linking hydrogel: Enhanced thermoelectric performance and mechanical stretchability for IoT wearable electronics
2,cation/anion thermodiffusion asymmetry + Fe2+/Fe3+ solvation redox chemistry,cation/anion thermodiffusion asymmetry,Fe2+/Fe3+ solvation redox chemistry,1.745125786163522,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; dynamic crosslinked gel network,2018,"Structural, Optoelectronic and Thermoelectric Properties of Ternary CaBe2X2 (X = N, P, As, Sb, Bi) Compounds",1995,THE POWER CONVERSION EFFICIENCIES OF A THERMOGALVANIC CELL OPERATED IN 3 DIFFERENT ORIENTATIONS,Multicomponent Synergistic Optimization of Thermoelectric Properties in PVDF-HFP Ionogels,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
3,MXene-reinforced thermogalvanic gel + dynamic crosslinked gel network,MXene-reinforced thermogalvanic gel,dynamic crosslinked gel network,1.7177672955974843,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; anti-freezing organohydrogel design; chaotropic polymer-water disruption,2020,Photothermoelectric Response of Ti3C2Tx MXene Confined Ion Channels,2022,Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy,Solid-State N-Type Ionic Thermoelectric Based on Polyanions Enabled by Water State Regulation via MXenes,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
4,nanochannel-confined ion transport + anti-freezing organohydrogel design,nanochannel-confined ion transport,anti-freezing organohydrogel design,1.711477987421384,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; chaotropic polymer-water disruption; cellulose nanofiber scaffold,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,2016,High-Performance Thermogalvanic Cell Based on Organic Nanofluids,Multicomponent Synergistic Optimization of Thermoelectric Properties in PVDF-HFP Ionogels,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels
5,imidazolium ionic-liquid phase transition electrolyte + Fe2+/Fe3+ solvation redox chemistry,imidazolium ionic-liquid phase transition electrolyte,Fe2+/Fe3+ solvation redox chemistry,1.6823899371069184,ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; photothermal thermogalvanic integration; ion-pair complexation control,2008,Development of apparatus for simultaneous measurements of Raman spectroscopy and high-sensitivity calorimetry,1995,THE POWER CONVERSION EFFICIENCIES OF A THERMOGALVANIC CELL OPERATED IN 3 DIFFERENT ORIENTATIONS,"Biomimetic salt-excreting 2D evaporator enables spatially decoupled evaporation, salt harvesting, and energy recovery for sustainable brine treatment",A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
6,moisture-gradient ion transport + chaotropic polymer-water disruption,moisture-gradient ion transport,chaotropic polymer-water disruption,1.6819182389937106,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; anti-freezing organohydrogel design; cellulose nanofiber scaffold,2002,Study of the humidity effect in the electrical response of the KSbMoO6 ionic conductive ceramic at low temperature,2018,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,Highly Stable Quasi-Solid Thermocells for Continuous Power Generation Across a Broad Humidity Range,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring
7,moisture-gradient ion transport + photothermal thermogalvanic integration,moisture-gradient ion transport,photothermal thermogalvanic integration,1.6702830188679243,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; anti-freezing organohydrogel design; cellulose nanofiber scaffold,2002,Study of the humidity effect in the electrical response of the KSbMoO6 ionic conductive ceramic at low temperature,2018,Hybrid Photothermal Pyroelectric and Thermogalvanic Generator for Multisituation Low Grade Heat Harvesting,Highly Stable Quasi-Solid Thermocells for Continuous Power Generation Across a Broad Humidity Range,A Thermogalvanic Cell Microneedle Patch for Integrated Diagnosis and Treatment of UV-Induced Early Skin Cancer
8,cation/anion thermodiffusion asymmetry + wearable biointerface thermocell,cation/anion thermodiffusion asymmetry,wearable biointerface thermocell,1.665566037735849,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; anti-freezing organohydrogel design; cellulose nanofiber scaffold; dynamic crosslinked gel network,2018,"Structural, Optoelectronic and Thermoelectric Properties of Ternary CaBe2X2 (X = N, P, As, Sb, Bi) Compounds",1995,THERMOELECTRIC EFFECTS IN ELECTROCHEMICAL SYSTEMS,Multicomponent Synergistic Optimization of Thermoelectric Properties in PVDF-HFP Ionogels,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
9,mixed ionic-electronic coupling + gel-confined redox transport,mixed ionic-electronic coupling,gel-confined redox transport,1.628616352201258,Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold; dynamic crosslinked gel network; photothermal thermogalvanic integration,1993,MIXED CONDUCTION IN BETA-ALUMINA TYPE MATERIALS - A CRITICAL-REVIEW,2020,Thermogalvanic Hydrogel for Synchronous Evaporative Cooling and Low-Grade Heat Energy Harvesting,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,Self-powered thermogalvanic cells based on layered double hydroxides cross-linking hydrogel: Enhanced thermoelectric performance and mechanical stretchability for IoT wearable electronics
10,imidazolium ionic-liquid phase transition electrolyte + dynamic crosslinked gel network,imidazolium ionic-liquid phase transition electrolyte,dynamic crosslinked gel network,1.608490566037736,ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold; photothermal thermogalvanic integration,2008,Development of apparatus for simultaneous measurements of Raman spectroscopy and high-sensitivity calorimetry,2022,Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy,"Biomimetic salt-excreting 2D evaporator enables spatially decoupled evaporation, salt harvesting, and energy recovery for sustainable brine treatment",A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
11,MXene-reinforced thermogalvanic gel + thermal charging redox storage,MXene-reinforced thermogalvanic gel,thermal charging redox storage,1.6073899371069182,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; cellulose nanofiber scaffold; photothermal thermogalvanic integration,2020,Photothermoelectric Response of Ti3C2Tx MXene Confined Ion Channels,2018,Harnessing the thermogalvanic effect of the ferro/ferricyanide redox couple in a thermally chargeable supercapacitor,Solid-State N-Type Ionic Thermoelectric Based on Polyanions Enabled by Water State Regulation via MXenes,Rational Design of Molybdenum Nitride Quantum Dot Engineered by Carbon Framework for Boosted Lithium-Ion Thermal Charging Cells
12,ion-dipole interaction transport + ferri/ferrocyanide redox chemistry,ion-dipole interaction transport,ferri/ferrocyanide redox chemistry,1.6012578616352204,gel-confined redox transport; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold,2016,Anisotropic and Ultralow Phonon Thermal Transport in Organic-Inorganic Hybrid Perovskites: Atomistic Insights into Solar Cell Thermal Management and Thermoelectric Energy Conversion Efficiency,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing
13,double-network hydrogel mechanics + anti-freezing organohydrogel design,double-network hydrogel mechanics,anti-freezing organohydrogel design,1.5803459119496857,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; dynamic crosslinked gel network; ion-pair complexation control,2023,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,2016,High-Performance Thermogalvanic Cell Based on Organic Nanofluids,Polyvinyl alcohol/sodium alginate double network hydrogels design for high-performance p-type ionic thermoelectric cement-based composites,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels
14,mixed ionic-electronic coupling + ferri/ferrocyanide redox chemistry,mixed ionic-electronic coupling,ferri/ferrocyanide redox chemistry,1.5732704402515725,Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold; dynamic crosslinked gel network; photothermal thermogalvanic integration,1993,MIXED CONDUCTION IN BETA-ALUMINA TYPE MATERIALS - A CRITICAL-REVIEW,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing
15,nanochannel-confined ion transport + charge-transfer resistance engineering,nanochannel-confined ion transport,charge-transfer resistance engineering,1.5705974842767296,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; chaotropic polymer-water disruption; dynamic crosslinked gel network,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,Multicomponent Synergistic Optimization of Thermoelectric Properties in PVDF-HFP Ionogels,A machine learning-enabled planar interdigitated thermogalvanic hydrogel for synergistic thermal and strain sensing
16,nanochannel-confined ion transport + thermal charging redox storage,nanochannel-confined ion transport,thermal charging redox storage,1.5657232704402515,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; cellulose nanofiber scaffold; dynamic crosslinked gel network,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,2018,Harnessing the thermogalvanic effect of the ferro/ferricyanide redox couple in a thermally chargeable supercapacitor,Multicomponent Synergistic Optimization of Thermoelectric Properties in PVDF-HFP Ionogels,Rational Design of Molybdenum Nitride Quantum Dot Engineered by Carbon Framework for Boosted Lithium-Ion Thermal Charging Cells
17,redox-solvation hybrid entropy + ferri/ferrocyanide redox chemistry,redox-solvation hybrid entropy,ferri/ferrocyanide redox chemistry,1.559433962264151,gel-confined redox transport; Fe2+/Fe3+ solvation redox chemistry; anti-freezing organohydrogel design; dynamic crosslinked gel network; photothermal thermogalvanic integration; MXene-reinforced thermogalvanic gel,2020,Volume effect of organic solvent on electrochemical Seebeck coefficient of [Fe(CN)6]4-/[Fe(CN)6]3- in water,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing
18,ion-dipole interaction transport + photothermal thermogalvanic integration,ion-dipole interaction transport,photothermal thermogalvanic integration,1.5455974842767295,gel-confined redox transport; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold,2016,Anisotropic and Ultralow Phonon Thermal Transport in Organic-Inorganic Hybrid Perovskites: Atomistic Insights into Solar Cell Thermal Management and Thermoelectric Energy Conversion Efficiency,2018,Hybrid Photothermal Pyroelectric and Thermogalvanic Generator for Multisituation Low Grade Heat Harvesting,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",A Thermogalvanic Cell Microneedle Patch for Integrated Diagnosis and Treatment of UV-Induced Early Skin Cancer
19,moisture-gradient ion transport + wearable biointerface thermocell,moisture-gradient ion transport,wearable biointerface thermocell,1.5378930817610066,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; anti-freezing organohydrogel design; cellulose nanofiber scaffold,2002,Study of the humidity effect in the electrical response of the KSbMoO6 ionic conductive ceramic at low temperature,1995,THERMOELECTRIC EFFECTS IN ELECTROCHEMICAL SYSTEMS,Highly Stable Quasi-Solid Thermocells for Continuous Power Generation Across a Broad Humidity Range,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
20,cation/anion thermodiffusion asymmetry + MXene-reinforced thermogalvanic gel,cation/anion thermodiffusion asymmetry,MXene-reinforced thermogalvanic gel,1.5050314465408807,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold,2018,"Structural, Optoelectronic and Thermoelectric Properties of Ternary CaBe2X2 (X = N, P, As, Sb, Bi) Compounds",2023,Constructing Flexible Film Electrode with Porous Layered Structure by MXene/SWCNTs/PANI Ternary Composite for Efficient Low-Grade Thermal Energy Harvest,Multicomponent Synergistic Optimization of Thermoelectric Properties in PVDF-HFP Ionogels,A machine learning-enabled planar interdigitated thermogalvanic hydrogel for synergistic thermal and strain sensing
21,mixed ionic-electronic coupling + Fe2+/Fe3+ solvation redox chemistry,mixed ionic-electronic coupling,Fe2+/Fe3+ solvation redox chemistry,1.4905660377358492,Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; dynamic crosslinked gel network; photothermal thermogalvanic integration; MXene-reinforced thermogalvanic gel,1993,MIXED CONDUCTION IN BETA-ALUMINA TYPE MATERIALS - A CRITICAL-REVIEW,1995,THE POWER CONVERSION EFFICIENCIES OF A THERMOGALVANIC CELL OPERATED IN 3 DIFFERENT ORIENTATIONS,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
22,moisture-gradient ion transport + MXene-reinforced thermogalvanic gel,moisture-gradient ion transport,MXene-reinforced thermogalvanic gel,1.4756289308176105,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; anti-freezing organohydrogel design; cellulose nanofiber scaffold,2002,Study of the humidity effect in the electrical response of the KSbMoO6 ionic conductive ceramic at low temperature,2023,Constructing Flexible Film Electrode with Porous Layered Structure by MXene/SWCNTs/PANI Ternary Composite for Efficient Low-Grade Thermal Energy Harvest,Highly Stable Quasi-Solid Thermocells for Continuous Power Generation Across a Broad Humidity Range,A machine learning-enabled planar interdigitated thermogalvanic hydrogel for synergistic thermal and strain sensing
23,ion-dipole interaction transport + dynamic crosslinked gel network,ion-dipole interaction transport,dynamic crosslinked gel network,1.4701257861635222,gel-confined redox transport; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold,2016,Anisotropic and Ultralow Phonon Thermal Transport in Organic-Inorganic Hybrid Perovskites: Atomistic Insights into Solar Cell Thermal Management and Thermoelectric Energy Conversion Efficiency,2022,Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
24,cation/anion thermodiffusion asymmetry + electrochemical refrigeration thermocell,cation/anion thermodiffusion asymmetry,electrochemical refrigeration thermocell,1.4661949685534594,gel-confined redox transport; ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold,2018,"Structural, Optoelectronic and Thermoelectric Properties of Ternary CaBe2X2 (X = N, P, As, Sb, Bi) Compounds",1994,GENERATING PERFORMANCE OF THERMOCHARGEABLE GALVANIC CELL USING A REDOX COUPLE OF [FE(CN)(6)](4-/3-),Multicomponent Synergistic Optimization of Thermoelectric Properties in PVDF-HFP Ionogels,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration
25,imidazolium ionic-liquid phase transition electrolyte + electrochemical refrigeration thermocell,imidazolium ionic-liquid phase transition electrolyte,electrochemical refrigeration thermocell,1.4567610062893084,ferri/ferrocyanide redox chemistry; Soret thermodiffusion coupling; anti-freezing organohydrogel design; chaotropic polymer-water disruption; cellulose nanofiber scaffold; photothermal thermogalvanic integration,2008,Development of apparatus for simultaneous measurements of Raman spectroscopy and high-sensitivity calorimetry,1994,GENERATING PERFORMANCE OF THERMOCHARGEABLE GALVANIC CELL USING A REDOX COUPLE OF [FE(CN)(6)](4-/3-),"Biomimetic salt-excreting 2D evaporator enables spatially decoupled evaporation, salt harvesting, and energy recovery for sustainable brine treatment",Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration
