rank,candidate_direction,ite_donor_concept,tg_anchor_concept,donor_type,anchor_type,graph_score,actionability_score,graph_distance,common_neighbor_count,bridge_concepts,donor_first_iTE_year,donor_first_iTE_title,donor_recent_iTE_year,donor_recent_iTE_title,anchor_first_TG_year,anchor_first_TG_title,anchor_recent_TG_year,anchor_recent_TG_title
1,redox-solvation hybrid entropy + ferri/ferrocyanide redox chemistry,redox-solvation hybrid entropy,ferri/ferrocyanide redox chemistry,solvation_entropy,redox_chemistry,1.7418356997971602,1.9218356997971604,2,12,solvation-shell remodeling; MXene-reinforced thermogalvanic gel; selective solvation entropy engineering; deep-eutectic eutogel electrolyte; solvent-shell water/DES regulation; microfluidic redox-solvation thermocell; moisture-gradient ion transport; dynamic crosslinked gel network,2020,Volume effect of organic solvent on electrochemical Seebeck coefficient of [Fe(CN)6]4-/[Fe(CN)6]3- in water,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,2026,Polymer-Redox Interactions Enhance Ferro/Ferricyanide Thermogalvanic Cells
2,ion-dipole interaction transport + Fe2+/Fe3+ solvation redox chemistry,ion-dipole interaction transport,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,1.733924949290061,1.9139249492900612,2,15,supramolecular host-guest redox entropy; deep-eutectic eutogel electrolyte; cation/anion thermodiffusion asymmetry; charge-transfer resistance engineering; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption,2019,Flexible Quasi-Solid State Ionogels with Remarkable Seebeck Coefficient and High Thermoelectric Properties,2026,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",1995,THE POWER CONVERSION EFFICIENCIES OF A THERMOGALVANIC CELL OPERATED IN 3 DIFFERENT ORIENTATIONS,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
3,nanochannel-confined ion transport + Fe2+/Fe3+ solvation redox chemistry,nanochannel-confined ion transport,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,1.7219574036511158,1.901957403651116,2,15,MXene-reinforced thermogalvanic gel; deep-eutectic eutogel electrolyte; cation/anion thermodiffusion asymmetry; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; dynamic crosslinked gel network,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,2026,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,1995,THE POWER CONVERSION EFFICIENCIES OF A THERMOGALVANIC CELL OPERATED IN 3 DIFFERENT ORIENTATIONS,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
4,nanochannel-confined ion transport + charge-transfer resistance engineering,nanochannel-confined ion transport,charge-transfer resistance engineering,transport_mechanism,electrode_interface,1.7114097363083165,1.8914097363083169,2,12,ion-dipole interaction transport; MXene-reinforced thermogalvanic gel; cation/anion thermodiffusion asymmetry; chaotropic polymer-water disruption; dynamic crosslinked gel network; thermal charging redox storage; ion-pair complexation control; anti-freezing organohydrogel design,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,2026,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,2026,Convection Effect on Resistance Components in Liquid Thermoelectric Converter
5,soft mixed ionic-electronic coupling + gel-confined redox transport,soft mixed ionic-electronic coupling,gel-confined redox transport,transport_mechanism,gel_microstructure,1.7074543610547668,1.887454361054767,2,15,MXene-reinforced thermogalvanic gel; deep-eutectic eutogel electrolyte; electrochemical refrigeration thermocell; cation/anion thermodiffusion asymmetry; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption,2016,Thermoelectric Properties of Polymeric Mixed Conductors,2026,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,2020,Thermogalvanic Hydrogel for Synchronous Evaporative Cooling and Low-Grade Heat Energy Harvesting,2026,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes
6,nanochannel-confined ion transport + ferri/ferrocyanide redox chemistry,nanochannel-confined ion transport,ferri/ferrocyanide redox chemistry,transport_mechanism,redox_chemistry,1.7031440162271805,1.8831440162271809,2,16,ion-dipole interaction transport; MXene-reinforced thermogalvanic gel; deep-eutectic eutogel electrolyte; cation/anion thermodiffusion asymmetry; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,2026,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,2026,Polymer-Redox Interactions Enhance Ferro/Ferricyanide Thermogalvanic Cells
7,redox-solvation hybrid entropy + chaotropic polymer-water disruption,redox-solvation hybrid entropy,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,1.694878296146045,1.8748782961460448,2,10,solvation-shell remodeling; MXene-reinforced thermogalvanic gel; selective solvation entropy engineering; deep-eutectic eutogel electrolyte; moisture-gradient ion transport; dynamic crosslinked gel network; anti-freezing organohydrogel design; redox entropy tuning,2020,Volume effect of organic solvent on electrochemical Seebeck coefficient of [Fe(CN)6]4-/[Fe(CN)6]3- in water,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,2018,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,2026,Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting
8,MXene-reinforced thermogalvanic gel + dynamic crosslinked gel network,MXene-reinforced thermogalvanic gel,dynamic crosslinked gel network,material_system,gel_microstructure,1.7727180527383368,1.872718052738337,2,18,nanochannel-confined ion transport; redox-solvation hybrid entropy; soft mixed ionic-electronic coupling; deep-eutectic eutogel electrolyte; charge-transfer resistance engineering; moisture-gradient ion transport; cellulose nanofiber scaffold; zwitterionic hydrogel ion regulation,2020,Photothermoelectric Response of Ti3C2Tx MXene Confined Ion Channels,2026,Solid-State N-Type Ionic Thermoelectric Based on Polyanions Enabled by Water State Regulation via MXenes,2022,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
9,deep-eutectic eutogel electrolyte + electrochemical refrigeration thermocell,deep-eutectic eutogel electrolyte,electrochemical refrigeration thermocell,material_system,device_function,1.7712981744421907,1.8712981744421908,2,17,solvation-shell remodeling; soft mixed ionic-electronic coupling; MXene-reinforced thermogalvanic gel; selective solvation entropy engineering; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption,2015,An Effective Approach to Enhanced Thermoelectric Properties of PEDOT:PSS Films by a DES Post-Treatment,2026,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,1994,GENERATING PERFORMANCE OF THERMOCHARGEABLE GALVANIC CELL USING A REDOX COUPLE OF [FE(CN)(6)](4-/3-),2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration
10,ion-dipole interaction transport + electrochemical refrigeration thermocell,ion-dipole interaction transport,electrochemical refrigeration thermocell,transport_mechanism,device_function,1.6845334685598377,1.8645334685598376,2,12,supramolecular host-guest redox entropy; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; ion-pair complexation control; anti-freezing organohydrogel design; phase-transition entropy amplification,2019,Flexible Quasi-Solid State Ionogels with Remarkable Seebeck Coefficient and High Thermoelectric Properties,2026,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",1994,GENERATING PERFORMANCE OF THERMOCHARGEABLE GALVANIC CELL USING A REDOX COUPLE OF [FE(CN)(6)](4-/3-),2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration
