concept,doc_freq,first_year,last_year,concept_type,graph_role,x,y,degree,weighted_degree
thermogalvanic cells,96,1994,2026,material_system,background,-4.600423,0.51045394,185,649
seebeck coefficient,90,1994,2026,property_metric,background,-0.907031,4.969531,192,650
power density,81,1993,2026,property_metric,background,-6.069166,3.9506721,184,659
temperature difference,68,1994,2026,material_system,background,-0.103334814,2.6019652,181,480
redox couple,66,1994,2026,redox_chemistry,background,-2.8954217,0.60223264,162,479
thermogalvanic cell,58,1991,2026,material_system,background,-4.271964,0.34735516,145,396
temperature gradient,50,1991,2026,material_system,background,-0.75835556,2.7928307,128,334
thermogalvanic effect,43,2014,2026,material_system,background,-4.7648587,0.66784143,149,322
energy conversion,40,2014,2026,material_system,background,-6.062417,2.0562906,137,307
ionic thermoelectric,32,2018,2026,material_system,background,-4.776337,2.9189854,124,281
conversion efficiency,29,1995,2026,property_metric,background,-6.159991,1.8009727,93,201
thermogalvanic hydrogel,27,2020,2026,material_system,recommendation_candidate,-4.462964,1.3144448,73,143
power generation,26,2013,2026,material_system,background,-5.6723166,3.090154,93,184
temperature gradients,24,1999,2026,material_system,background,-0.7767533,2.7400482,79,142
high seebeck,23,2016,2026,property_metric,background,-1.3541243,5.0201955,96,217
thermogalvanic redox,23,1994,2026,material_system,recommendation_candidate,-3.774927,0.47413146,104,187
maximum power density,21,2017,2026,property_metric,recommendation_candidate,-5.963137,4.0715547,92,186
redox pair,19,2014,2026,material_system,recommendation_candidate,-2.995455,0.67389077,79,132
temperature range,18,1994,2026,material_system,background,-0.43988988,3.3308105,82,132
high thermopower,18,2017,2026,property_metric,background,-5.06053,4.2365236,78,133
ionic conductivity,18,2016,2026,property_metric,background,-3.4651937,3.907544,88,156
redox ions,18,2021,2026,material_system,recommendation_candidate,-3.0564442,0.82035005,85,158
redox reaction,17,2015,2026,redox_chemistry,recommendation_candidate,-2.6055033,1.0308721,85,150
entropy change,17,2000,2026,material_system,recommendation_candidate,-1.6310433,0.74574023,74,145
high seebeck coefficient,17,2016,2026,property_metric,background,-1.1098194,4.9043994,83,162
seebeck coefficients,16,2011,2026,property_metric,background,-1.1553648,4.686258,63,109
heat-to-electricity conversion,16,2014,2026,material_system,recommendation_candidate,-5.8501368,2.0945845,74,110
redox entropy,15,2013,2026,solvation_entropy,recommendation_candidate,-2.0086684,0.71005243,73,135
temperature coefficient,15,2012,2026,material_system,recommendation_candidate,-0.49878365,4.0821285,60,105
electricity generation,14,2016,2025,material_system,recommendation_candidate,-5.55242,2.7358036,53,82
thermoelectric conversion,14,1994,2026,material_system,background,-5.351206,2.2737508,61,98
output power density,13,2022,2026,property_metric,background,-6.1100836,3.988257,62,109
entropy difference,13,2018,2026,material_system,recommendation_candidate,-1.3666402,1.126068,80,125
normalized power density,13,2021,2026,property_metric,recommendation_candidate,-6.052179,4.102216,66,116
high ionic,13,2014,2026,material_system,background,-3.9025514,4.0717063,70,125
thermogalvanic gel,13,2016,2026,material_system,recommendation_candidate,-4.38191,0.64440423,41,64
thermogalvanic voltage,13,2006,2026,material_system,background,-4.3365674,0.46802357,50,76
high temperature,12,2013,2026,material_system,background,-0.5192627,3.4988568,48,70
ion transport,12,2021,2026,transport_mechanism,background,-3.5331855,5.3850417,52,75
ionic liquid,12,2014,2026,material_system,background,-3.9861214,2.6607711,59,101
thermal conductivity,12,2012,2026,property_metric,background,-3.4264498,4.1757536,67,106
thermogalvanic conversion,11,2015,2025,material_system,background,-5.0856047,1.0440372,59,87
redox pairs,11,2021,2026,material_system,recommendation_candidate,-2.989681,0.66125876,57,81
electrode materials,11,2010,2025,material_system,recommendation_candidate,-3.0841444,2.139118,33,53
thermogalvanic corrosion,11,1995,2025,material_system,background,-4.764146,0.6591157,24,35
water molecules,11,2022,2026,material_system,recommendation_candidate,-1.9731972,2.1810255,58,85
concentration gradient,11,2016,2026,material_system,recommendation_candidate,-1.1620882,2.0712209,64,94
thermogalvanic power,11,2017,2026,material_system,recommendation_candidate,-4.3221436,0.5728911,54,85
energy conversion efficiency,10,2014,2026,property_metric,recommendation_candidate,-6.1095033,2.0641398,44,76
different temperatures,10,1991,2023,material_system,recommendation_candidate,0.30309063,2.8211,41,64
thermogalvanic effects,10,1999,2026,material_system,background,-4.7896986,0.59849656,50,63
temperature coefficients,10,2000,2025,material_system,background,-0.77850133,4.2037807,33,49
ferri/ferrocyanide thermogalvanic,10,2018,2026,redox_chemistry,recommendation_candidate,-4.226133,0.72406435,50,79
ionic thermopower,10,2021,2026,property_metric,background,-4.9246364,4.0583086,53,94
soret effect,9,2020,2025,transport_mechanism,background,-1.597855,4.4130344,47,69
small temperature,9,2006,2026,material_system,recommendation_candidate,-0.04696983,3.191266,53,78
thermogalvanic output,9,2019,2026,material_system,background,-4.4900255,0.5422961,36,48
solvation entropy,9,2024,2026,solvation_entropy,recommendation_candidate,-2.0491261,0.6278985,50,84
ionic thermocells,9,2022,2026,material_system,recommendation_candidate,-4.36912,3.079,51,85
seebeck effect,9,2016,2023,property_metric,background,-1.5388473,4.891564,49,79
redox species,8,2016,2026,material_system,background,-3.1225078,0.6245265,49,74
ambient temperature,8,2021,2026,material_system,recommendation_candidate,-0.5136932,3.771707,53,63
liquid electrolytes,8,2011,2026,material_system,recommendation_candidate,-3.747424,2.109553,34,54
hydrogel electrolyte,8,2022,2026,material_system,recommendation_candidate,-4.0715413,1.7041533,54,83
hot electrode,8,1995,2026,electrode_interface,background,-2.977833,2.127288,33,54
thermogalvanic systems,8,2013,2026,material_system,background,-4.1155624,0.6889836,40,56
electrode temperature,8,2017,2026,material_system,background,-1.0480474,3.1366923,39,60
temperature differences,8,2019,2025,material_system,recommendation_candidate,-0.10610588,2.862054,40,49
redox electrolyte,8,2004,2026,material_system,recommendation_candidate,-3.4577749,1.4657358,35,45
ionic seebeck,8,2023,2026,property_metric,background,-1.5300634,5.082173,53,82
body temperature,8,2021,2026,material_system,background,-0.29970422,3.3325827,33,51
thermal diffusion,8,1995,2025,material_system,recommendation_candidate,-2.4581745,4.1497355,23,36
high ionic conductivity,8,2016,2026,property_metric,background,-3.6434648,4.02723,51,80
