concept,doc_freq,first_year,last_year,concept_type,graph_role,x,y,degree,weighted_degree,tile_x,tile_y,label_priority
redox couple,66,1994,2026,redox_chemistry,background,-2.8954217,0.60223264,162,479,2,0,485.95
ionic thermoelectric,32,2018,2026,material_system,background,-4.776337,2.9189854,124,281,0,1,252.65
thermogalvanic redox,23,1994,2026,material_system,recommendation_candidate,-3.774927,0.47413146,104,187,1,0,243.35
ion transport,12,2021,2026,transport_mechanism,background,-3.5331855,5.3850417,52,75,1,3,210.15
soret effect,9,2020,2025,transport_mechanism,background,-1.597855,4.4130344,47,69,3,2,200.05
entropy change,17,2000,2026,material_system,recommendation_candidate,-1.6310433,0.74574023,74,145,3,0,195.65
ion diffusion,6,2020,2026,transport_mechanism,recommendation_candidate,-2.2363389,3.8828075,38,48,2,2,182.2
hot electrode,8,1995,2026,electrode_interface,background,-2.977833,2.127288,33,54,2,1,181.1
concentration gradient,11,2016,2026,material_system,recommendation_candidate,-1.1620882,2.0712209,64,94,3,1,165.7
ionic liquid,12,2014,2026,material_system,background,-3.9861214,2.6607711,59,101,1,1,163.65
charge transfer,5,1991,2026,electrode_interface,recommendation_candidate,-3.1650252,5.436744,24,31,2,3,162.75
high ionic,13,2014,2026,material_system,background,-3.9025514,4.0717063,70,125,1,2,136.85
thermogalvanic conversion,11,2015,2025,material_system,background,-5.0856047,1.0440372,59,87,0,0,113.95
small temperature,9,2006,2026,material_system,recommendation_candidate,-0.04696983,3.191266,53,78,4,2,103.3
different temperatures,10,1991,2023,material_system,recommendation_candidate,0.30309063,2.8211,41,64,4,1,89.0
