cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,future_TG_material_pair_label,future_example_title,future_window,ml_score,graph_score,hybrid_score,material_prediction_score
2022,ethylene-glycol organohydrogel,Fe2+/Fe3+ redox electrolyte,1,6,0,6,1,0,0,0.0,6,3,16,8,0,13,1,Anhydrous Thermogalvanic Gel for Simultaneous Waste Heat Recovery and Thermal Management of Electronics,2023-2026,0.8557925877051669,0.3593621399176955,0.42890946502057614,0.8557925877051669
2022,ionic-liquid electrolyte,Prussian-blue/hexacyanoferrate electrode,16,3,3,3,15,1,1,0.3898712452512801,48,2,21,107,8,3,1,Thermoresponsive ionic liquid for electrochemical low-grade heat harvesting,2023-2026,0.7774558293268508,1.2475308641975307,0.7390946502057614,0.7774558293268508
2022,acetonitrile/nitrile solvent,Fe2+/Fe3+ redox electrolyte,4,6,3,6,2,0,1,0.48089834696298783,24,2,0,2,4,13,1,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,2023-2026,0.7191556420872962,0.9832304526748972,0.6453703703703704,0.7191556420872962
2022,ethylene-glycol organohydrogel,ferri/ferrocyanide electrolyte,1,11,0,11,1,3,0,0.0,11,3,16,8,0,23,1,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,2023-2026,0.7130549139873839,0.4848765432098766,0.4740740740740741,0.7130549139873839
2022,gelatin matrix,Fe2+/Fe3+ redox electrolyte,8,6,5,6,5,0,3,1.2745816091195097,48,2,0,5,4,13,0,,2023-2026,0.7071490722817364,1.4314814814814814,0.7936213991769547,0.7071490722817364
2022,silica/inorganic nanoparticle filler,ferri/ferrocyanide electrolyte,3,11,0,11,3,3,1,0.48089834696298783,33,2,27,7,1,23,1,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,2023-2026,0.7045486028919665,1.2306584362139916,0.7306584362139917,0.7045486028919665
2022,polyaniline conductor,ferri/ferrocyanide electrolyte,5,11,2,11,3,3,2,0.9924051084544989,55,2,16,7,1,23,0,,2023-2026,0.6949633097929914,1.4985596707818931,0.820164609053498,0.6949633097929914
2022,metal-oxide electrode,Fe2+/Fe3+ redox electrolyte,1,6,0,6,1,0,1,0.43429448190325176,6,2,9,30,2,13,0,,2023-2026,0.6811448944257681,0.6521604938271606,0.5097736625514403,0.6811448944257681
2022,silica/inorganic nanoparticle filler,Fe2+/Fe3+ redox electrolyte,3,6,0,6,3,0,1,0.6213349345596119,18,2,27,7,1,13,1,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,2023-2026,0.6725370204997911,1.0199588477366255,0.651440329218107,0.6725370204997911
2022,acetonitrile/nitrile solvent,ferri/ferrocyanide electrolyte,4,11,3,11,2,3,2,0.9360179602764065,44,2,0,2,4,23,0,,2023-2026,0.6705912813060363,1.3263374485596706,0.7489711934156378,0.6705912813060363
