cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,future_TG_material_pair_label,future_example_title,future_window
2014,Fe2+/Fe3+ redox electrolyte,Cu-based redox electrolyte,1,1,1,1,0,0,0,0.0,1,7,0,2,2,2,0,,2015-2017
2014,Fe2+/Fe3+ redox electrolyte,Li-salt electrolyte,1,3,1,2,0,1,1,0.9102392266268373,3,2,0,2,2,2,0,,2015-2017
2014,Fe2+/Fe3+ redox electrolyte,Prussian-blue/hexacyanoferrate electrode,1,2,1,2,0,0,0,0.0,2,6,0,2,2,2,0,,2015-2017
2014,Fe2+/Fe3+ redox electrolyte,acetonitrile/nitrile solvent,1,1,1,1,0,0,0,0.0,1,4,0,2,2,2,0,,2015-2017
2014,Fe2+/Fe3+ redox electrolyte,carbon nanotube scaffold,1,3,1,2,0,1,0,0.0,3,4,0,2,2,3,0,,2015-2017
2014,Fe2+/Fe3+ redox electrolyte,ferri/ferrocyanide electrolyte,1,3,1,3,0,0,0,0.0,3,5,0,2,2,7,0,,2015-2017
2014,Fe2+/Fe3+ redox electrolyte,graphene/graphene-oxide scaffold,1,3,1,2,0,1,0,0.0,3,4,0,2,2,2,0,,2015-2017
2014,Na-salt electrolyte,Cu-based redox electrolyte,3,1,2,1,2,0,0,0.0,3,5,7,7,1,2,0,,2015-2017
2014,Na-salt electrolyte,Fe2+/Fe3+ redox electrolyte,3,1,2,1,2,0,1,0.9102392266268373,3,2,7,7,1,2,0,,2015-2017
2014,Na-salt electrolyte,Prussian-blue/hexacyanoferrate electrode,3,2,2,2,2,0,0,0.0,6,4,7,7,1,2,0,,2015-2017
2014,Na-salt electrolyte,acetonitrile/nitrile solvent,3,1,2,1,2,0,1,0.43429448190325176,3,2,7,7,1,2,0,,2015-2017
2014,Na-salt electrolyte,carbon nanotube scaffold,3,3,2,2,2,1,1,0.43429448190325176,9,2,7,7,1,3,1,High-Performance Thermogalvanic Cell Based on Organic Nanofluids,2015-2017
2014,Na-salt electrolyte,ferri/ferrocyanide electrolyte,3,3,2,3,2,0,0,0.0,9,3,7,7,1,7,0,,2015-2017
2014,Na-salt electrolyte,graphene/graphene-oxide scaffold,3,3,2,2,2,1,1,0.43429448190325176,9,2,7,7,1,2,0,,2015-2017
2014,PEDOT:PSS conductor,Cu-based redox electrolyte,1,1,0,1,1,0,0,0.0,1,5,3,2,0,2,0,,2015-2017
2014,PEDOT:PSS conductor,Fe2+/Fe3+ redox electrolyte,1,1,0,1,1,0,0,0.0,1,4,3,2,0,2,0,,2015-2017
2014,PEDOT:PSS conductor,K-salt electrolyte,1,3,0,3,1,1,0,0.0,3,3,3,2,0,4,0,,2015-2017
2014,PEDOT:PSS conductor,Li-salt electrolyte,1,3,0,2,1,1,0,0.0,3,3,3,2,0,2,0,,2015-2017
2014,PEDOT:PSS conductor,Prussian-blue/hexacyanoferrate electrode,1,2,0,2,1,0,0,0.0,2,4,3,2,0,2,0,,2015-2017
2014,PEDOT:PSS conductor,acetonitrile/nitrile solvent,1,1,0,1,1,0,1,0.43429448190325176,1,2,3,2,0,2,0,,2015-2017
2014,PEDOT:PSS conductor,carbon nanotube scaffold,1,3,0,2,1,1,1,0.43429448190325176,3,2,3,2,0,3,0,,2015-2017
2014,PEDOT:PSS conductor,ferri/ferrocyanide electrolyte,1,3,0,3,1,0,0,0.0,3,3,3,2,0,7,0,,2015-2017
2014,PEDOT:PSS conductor,graphene/graphene-oxide scaffold,1,3,0,2,1,1,1,0.43429448190325176,3,2,3,2,0,2,0,,2015-2017
2014,carbon nanotube scaffold,Cu-based redox electrolyte,3,1,2,1,1,0,0,0.0,3,3,1,3,3,2,0,,2015-2017
2014,carbon nanotube scaffold,K-salt electrolyte,3,3,2,3,1,1,0,0.0,9,3,1,3,3,4,0,,2015-2017
2014,carbon nanotube scaffold,Li-salt electrolyte,3,3,2,2,1,1,0,0.0,9,3,1,3,3,2,0,,2015-2017
2014,carbon nanotube scaffold,Prussian-blue/hexacyanoferrate electrode,3,2,2,2,1,0,1,0.9102392266268373,6,2,1,3,3,2,0,,2015-2017
2014,carbon nanotube scaffold,acetonitrile/nitrile solvent,3,1,2,1,1,0,1,0.43429448190325176,3,2,1,3,3,2,0,,2015-2017
2014,ethylene-glycol organohydrogel,Cu-based redox electrolyte,0,1,0,1,0,0,0,0.0,0,12,8,2,0,2,0,,2015-2017
2014,ethylene-glycol organohydrogel,Fe2+/Fe3+ redox electrolyte,0,1,0,1,0,0,0,0.0,0,12,8,2,0,2,0,,2015-2017
2014,ethylene-glycol organohydrogel,K-salt electrolyte,0,3,0,3,0,1,0,0.0,0,12,8,2,0,4,0,,2015-2017
2014,ethylene-glycol organohydrogel,Li-salt electrolyte,0,3,0,2,0,1,0,0.0,0,12,8,2,0,2,0,,2015-2017
2014,ethylene-glycol organohydrogel,Prussian-blue/hexacyanoferrate electrode,0,2,0,2,0,0,0,0.0,0,12,8,2,0,2,0,,2015-2017
2014,ethylene-glycol organohydrogel,acetonitrile/nitrile solvent,0,1,0,1,0,0,0,0.0,0,12,8,2,0,2,0,,2015-2017
2014,ethylene-glycol organohydrogel,carbon nanotube scaffold,0,3,0,2,0,1,0,0.0,0,12,8,2,0,3,0,,2015-2017
