paper_id,source,year,title,doi,material
P00000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,alginate matrix
P00000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,Fe2+/Fe3+ redox electrolyte
P00001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,Fe2+/Fe3+ redox electrolyte
P00001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,acetonitrile/nitrile solvent
P00002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,Fe2+/Fe3+ redox electrolyte
P00003,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,Li-salt electrolyte
P00007,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,PVA polymer matrix
P00007,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,zwitterionic polymer
P00007,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,iodide/triiodide electrolyte
P00011,TG,2025,Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,10.1016/j.cej.2025.167739,PVA polymer matrix
P00011,TG,2025,Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,10.1016/j.cej.2025.167739,glycerol organohydrogel
P00012,TG,2025,Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,10.1039/d5ta00253b,gelatin matrix
P00012,TG,2025,Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,10.1039/d5ta00253b,glycerol organohydrogel
P00013,TG,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,PEDOT:PSS conductor
P00014,TG,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,10.1002/adma.202300696,PVA polymer matrix
P00015,TG,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,ferri/ferrocyanide electrolyte
P00015,TG,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,silica/inorganic nanoparticle filler
P00016,TG,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,PVA polymer matrix
P00016,TG,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,Fe2+/Fe3+ redox electrolyte
