cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,ml_score,graph_score,hybrid_score,material_prediction_score
2026,Prussian-blue/hexacyanoferrate electrode,porous carbon electrode,4,9,4,9,1,2,4,1.477845272702103,36,2,0,2,4,8,0.6616813308847982,0.8264051522248242,0.5981264637002341,0.6616813308847982
2026,Cu-based redox electrolyte,Fe2+/Fe3+ redox electrolyte,8,15,4,14,6,6,3,1.152971783907171,120,2,0,10,8,33,0.6550617780936763,1.1594262295081967,0.7084309133489461,0.6550617780936763
2026,Prussian-blue/hexacyanoferrate electrode,Fe2+/Fe3+ redox electrolyte,4,15,4,14,1,6,3,0.9969469257391151,60,2,0,2,4,33,0.6495156762058578,0.8651639344262294,0.6056206088992975,0.6495156762058578
2026,TEMPO/viologen organic redox,Fe2+/Fe3+ redox electrolyte,4,15,1,14,3,6,2,0.6867643245600952,60,2,5,4,1,33,0.6411905085635827,0.8474238875878221,0.6017564402810305,0.6411905085635827
2026,biomass-derived matrix,Fe2+/Fe3+ redox electrolyte,8,15,0,14,8,6,2,0.6978521705937522,120,2,3,9,1,33,0.6330013160412098,1.0870608899297425,0.6679156908665105,0.6330013160412098
2026,zwitterionic polymer,Fe2+/Fe3+ redox electrolyte,2,15,2,14,1,6,1,0.318928988903801,30,2,1,2,2,33,0.6329822167247139,0.4563817330210773,0.45093676814988287,0.6329822167247139
2026,TEMPO/viologen organic redox,ferri/ferrocyanide electrolyte,4,22,1,20,3,11,3,1.077855561815906,88,2,5,4,1,58,0.6292672622499236,1.080152224824356,0.6617096018735362,0.6292672622499236
2026,acetonitrile/nitrile solvent,ferri/ferrocyanide electrolyte,5,22,4,20,2,11,4,1.567216355498315,110,2,0,2,6,58,0.628265692752038,1.1877634660421545,0.7126463700234191,0.628265692752038
2026,PNIPAM thermoresponsive polymer,Fe2+/Fe3+ redox electrolyte,3,15,1,14,2,6,2,0.6734314725904427,45,2,0,2,1,33,0.6250955093296953,0.6743559718969555,0.5291569086651053,0.6250955093296953
2026,Cu-based redox electrolyte,ferri/ferrocyanide electrolyte,8,22,4,20,6,11,5,2.329438917665071,176,2,0,10,8,58,0.6203772017384174,1.505679156908665,0.8206088992974239,0.6203772017384174
2026,biomass-derived matrix,ferri/ferrocyanide electrolyte,8,22,0,20,8,11,6,2.3491157602002075,176,2,3,9,1,58,0.6194021087423955,1.5998829039812645,0.8426229508196721,0.6194021087423955
2026,metal-oxide electrode,zwitterionic polymer,8,2,5,2,4,1,1,0.318928988903801,16,2,9,36,6,2,0.618800975585263,0.4086065573770492,0.4247072599531616,0.618800975585263
2026,polyaniline conductor,ferri/ferrocyanide electrolyte,9,22,4,20,6,11,7,2.5953623056170882,198,2,16,10,3,58,0.6182233193078248,1.7785714285714285,0.9033957845433255,0.6182233193078248
2026,metal-oxide electrode,Fe2+/Fe3+ redox electrolyte,8,15,5,14,4,6,5,1.7042932108811983,120,2,9,36,6,33,0.6123316806236297,1.3826697892271662,0.771662763466042,0.6123316806236297
2026,chitosan matrix,Fe2+/Fe3+ redox electrolyte,12,15,2,14,10,6,4,1.3822317067455239,180,2,10,9,3,33,0.6109509303432411,1.4742388758782201,0.7997658079625293,0.6109509303432411
2026,metal-oxide electrode,iodide/triiodide electrolyte,8,13,5,11,4,8,4,1.3646699389860897,104,2,9,36,6,14,0.6096171976839468,1.2080796252927397,0.7137002341920374,0.6096171976839468
2026,glycerol organohydrogel,Fe2+/Fe3+ redox electrolyte,13,15,8,14,11,6,7,2.532196327402715,195,2,0,10,8,33,0.6050906620400057,1.6334894613583137,0.8514051522248243,0.6050906620400057
2026,deep-eutectic electrolyte,Fe2+/Fe3+ redox electrolyte,9,15,2,14,8,6,4,1.3609908956375332,135,2,11,12,2,33,0.6046624395361956,1.357669789227166,0.757728337236534,0.6046624395361956
2026,PNIPAM thermoresponsive polymer,ferri/ferrocyanide electrolyte,3,22,1,20,2,11,2,0.7294945171463887,66,2,0,2,1,58,0.6042586351965943,0.8344262295081967,0.5864168618266978,0.6042586351965943
2026,cyclodextrin host,Fe2+/Fe3+ redox electrolyte,3,15,2,14,2,6,2,0.7088002341550811,45,2,0,2,3,33,0.6013075811183082,0.7022833723653396,0.5368852459016393,0.6013075811183082
2026,porous carbon electrode,iodide/triiodide electrolyte,9,13,9,11,2,8,4,1.6685298336548984,117,2,0,3,8,14,0.5983665688089761,1.2338992974238876,0.7172131147540983,0.5983665688089761
2026,Prussian-blue/hexacyanoferrate electrode,acetonitrile/nitrile solvent,4,5,4,4,1,2,1,0.33380820069533407,20,2,0,2,4,6,0.597423987542922,0.3718969555035129,0.4043325526932084,0.597423987542922
2026,zwitterionic polymer,ferri/ferrocyanide electrolyte,2,22,2,20,1,11,2,0.7088002341550811,44,2,1,2,2,58,0.5963765310512831,0.7230679156908665,0.543559718969555,0.5963765310512831
2026,PAM/polyacrylamide matrix,Fe2+/Fe3+ redox electrolyte,14,15,4,14,11,6,8,2.896211525195582,210,2,1,12,4,33,0.5958178850332189,1.7409250585480092,0.8806791569086652,0.5958178850332189
2026,alginate matrix,ferri/ferrocyanide electrolyte,12,22,1,20,11,11,10,3.6093313254140558,264,1,2,8,1,58,0.5936859030476062,1.9800351288056206,0.9711943793911008,0.5936859030476062
2026,metal-oxide electrode,porous carbon electrode,8,9,5,9,4,2,3,1.032408098112636,72,2,9,36,6,8,0.5922545725299478,1.0312060889929742,0.6339578454332553,0.5922545725299478
2026,cyclodextrin host,ferri/ferrocyanide electrolyte,3,22,2,20,2,11,3,1.0986714794063612,66,2,0,2,3,58,0.5872724932573014,0.9313817330210772,0.6118266978922717,0.5872724932573014
2026,chitosan matrix,ferri/ferrocyanide electrolyte,12,22,2,20,10,11,8,4.110080693912227,264,2,10,9,3,58,0.585513146890957,1.92347775175644,0.9443793911007026,0.585513146890957
2026,cellulose nanofiber matrix,Fe2+/Fe3+ redox electrolyte,18,15,6,14,17,6,11,3.993120264546807,270,2,1,47,8,33,0.5833542322838,1.9004098360655737,0.9298594847775177,0.5833542322838
2026,porous carbon electrode,K-salt electrolyte,9,14,9,8,2,11,5,1.7413007430765997,126,2,0,3,8,12,0.5815784616637228,1.3168032786885244,0.734192037470726,0.5815784616637228
2026,MoS2 scaffold,ferri/ferrocyanide electrolyte,2,22,0,20,2,11,1,0.3396232718951086,44,1,3,2,0,58,0.5779963096329059,0.7158665105386418,0.5324355971896956,0.5779963096329059
2026,porous carbon electrode,PVA polymer matrix,9,23,9,14,2,21,7,2.5766091629173467,207,2,0,3,8,23,0.5778047659059519,1.6666276346604214,0.8482435597189697,0.5778047659059519
2026,metal-oxide electrode,K-salt electrolyte,8,14,5,8,4,11,7,2.554460930913041,112,2,9,36,6,12,0.5736365561585672,1.4691451990632316,0.7834894613583139,0.5736365561585672
2026,MoS2 scaffold,Fe2+/Fe3+ redox electrolyte,2,15,0,14,2,6,2,0.663138725043781,30,2,3,2,0,33,0.5685056690880491,0.6121194379391101,0.48659250585480096,0.5685056690880491
2026,graphene/graphene-oxide scaffold,PVA polymer matrix,15,23,7,14,11,21,12,4.452905252848231,345,2,0,33,8,23,0.5666024945667152,1.9072014051522248,0.9340749414519907,0.5666024945667152
2026,metal-oxide electrode,carbon nanotube scaffold,8,19,5,10,4,15,6,2.0735625839500536,152,2,9,36,6,13,0.5665477909507397,1.5118852459016394,0.8008196721311476,0.5665477909507397
2026,PEDOT:PSS conductor,iodide/triiodide electrolyte,13,13,1,11,13,8,4,1.3516695697250898,169,2,11,86,3,14,0.565454682197451,1.454976580796253,0.7725995316159251,0.565454682197451
2026,porous carbon electrode,gelatin matrix,9,15,9,7,2,14,6,2.0957108159543587,135,2,0,3,8,13,0.5622488347618678,1.3916276346604215,0.7550351288056205,0.5622488347618678
2026,PEDOT:PSS conductor,polyaniline conductor,13,9,1,4,13,6,5,1.7785483471717713,117,1,11,86,3,3,0.5607126745770814,1.4746487119437937,0.7816159250585479,0.5607126745770814
2026,PEDOT:PSS conductor,Fe2+/Fe3+ redox electrolyte,13,15,1,14,13,6,9,3.380098435850655,195,2,11,86,3,33,0.5598083150641945,1.8266978922716626,0.902576112412178,0.5598083150641945
2026,PEDOT:PSS conductor,silica/inorganic nanoparticle filler,13,13,1,6,13,7,6,2.219179052258362,169,1,11,86,3,5,0.554664710125462,1.7129976580796253,0.8576112412177985,0.554664710125462
2026,ethylene-glycol organohydrogel,iodide/triiodide electrolyte,8,13,4,11,5,8,4,1.3292087666125687,104,2,16,13,6,14,0.5543191914293665,1.231791569086651,0.6969555035128805,0.5543191914293665
2026,PEDOT:PSS conductor,porous carbon electrode,13,9,1,9,13,2,5,1.8632224645173943,117,2,11,86,3,8,0.5530868036724178,1.3972482435597189,0.7524590163934426,0.5530868036724178
2026,PEDOT:PSS conductor,ferri/ferrocyanide electrolyte,13,22,1,20,13,11,9,3.392266491416515,286,2,11,86,3,58,0.5527111452997507,1.957728337236534,0.9403981264637002,0.5527111452997507
2026,metal-oxide electrode,ionic-liquid electrolyte,8,20,5,5,4,19,6,2.1524767351832255,160,2,9,36,6,12,0.5509954063367171,1.565046838407494,0.8101873536299766,0.5509954063367171
2026,porous carbon electrode,silica/inorganic nanoparticle filler,9,13,9,6,2,7,5,1.7354856718768252,117,2,0,3,8,5,0.5489752918736105,1.2700819672131147,0.7028103044496488,0.5489752918736105
2026,PEDOT:PSS conductor,ethylene-glycol organohydrogel,13,8,1,4,13,5,3,1.0056933134638961,104,1,11,86,3,6,0.5462381894999978,1.2229508196721308,0.6898126463700234,0.5462381894999978
2026,PEDOT:PSS conductor,metal-oxide electrode,13,8,1,5,13,4,5,1.7832073621143705,104,2,11,86,3,6,0.5447533444230717,1.3108313817330208,0.7179156908665105,0.5447533444230717
2026,PEDOT:PSS conductor,Prussian-blue/hexacyanoferrate electrode,13,4,1,4,13,1,3,1.1543298195534306,52,2,11,86,3,4,0.543552111542314,0.9649882903981264,0.6059718969555035,0.543552111542314
2026,acetonitrile/nitrile solvent,ethylene-glycol organohydrogel,5,8,4,4,2,5,3,1.0560336976289504,40,2,0,2,6,6,0.5408751500330208,0.763583138173302,0.5381733021077283,0.5408751500330208
2026,PEDOT:PSS conductor,chitosan matrix,13,12,1,2,13,10,5,1.8631300537085116,156,1,11,86,3,3,0.5406721096044436,1.604391100702576,0.8128805620608899,0.5406721096044436
2026,ethylene-glycol organohydrogel,porous carbon electrode,8,9,4,9,5,2,3,1.0265930269128616,72,2,16,13,6,8,0.540410399569641,1.05807962529274,0.6172131147540983,0.540410399569641
2026,graphene/graphene-oxide scaffold,iodide/triiodide electrolyte,15,13,7,11,11,8,7,2.4833717704187186,195,2,0,33,8,14,0.5401575715618486,1.6240046838407494,0.8203747072599531,0.5401575715618486
2026,PEDOT:PSS conductor,carbon nanotube scaffold,13,19,1,10,13,15,8,2.9708014413158907,247,1,11,86,3,13,0.540142518709647,1.961007025761124,0.9337236533957844,0.540142518709647
2026,porous carbon electrode,Li-salt electrolyte,9,17,9,6,2,14,8,3.0863151235828257,153,2,0,3,8,9,0.5389721804962799,1.5607728337236533,0.7989461358313816,0.5389721804962799
2026,graphene/graphene-oxide scaffold,ionic-liquid electrolyte,15,20,7,5,11,19,10,3.845999296978122,300,1,0,33,8,12,0.5383240272262177,1.9687353629976583,0.9412177985948478,0.5383240272262177
