tag,doc_freq,first_year,last_year,x,y,roles,recentness,label_score
hydrogel thermocell platform,123,1998,2026,14.349716,4.5027423,material/mechanism,3,278
porous/redox electrode interface,104,1991,2026,13.866781,3.870877,material/mechanism,3,247
ferri/ferrocyanide redox couple,74,1991,2026,13.694098,4.6611867,material/mechanism,3,187
MXene/carbon photothermal scaffold,48,1996,2026,13.975679,4.9467273,material/mechanism,3,130
Fe2+/Fe3+ redox hydrogel,41,1995,2026,14.021136,3.9124799,material/mechanism,3,117
self-powered sensing/wearable interface,37,1994,2026,12.6259165,2.6979954,material/mechanism,3,110
thermodiffusion/Soret transport,34,1995,2026,13.437675,1.9497111,material/mechanism,3,103
ion transport/diffusion/migration,24,1994,2026,14.226754,2.226693,material/mechanism,3,84
photothermal/radiative thermal management,28,2018,2026,13.644712,3.776515,material/mechanism,3,68
redox entropy engineering,24,2013,2026,15.14482,1.8154036,material/mechanism,3,65
selective solvation entropy,20,2006,2026,14.70087,3.0183113,material/mechanism,3,64
thermogalvanic electrolyte,18,2004,2026,13.518725,4.9943204,material/mechanism,3,62
PVA hydrogel electrolyte,23,2022,2026,15.356223,5.2737527,material/mechanism,3,54
salting-out/crystallization transition,19,2018,2026,13.348785,2.9346206,material/mechanism,3,50
chaotropic polymer-water regulation,18,2018,2025,13.432123,2.68267,material/mechanism,3,47
ionic liquid electrolyte,13,2011,2026,13.156957,5.000416,material/mechanism,3,45
