entry_id,paper_id,year,role,tag
TG_0000_material,TG_0000,2026,material,Fe2+/Fe3+ redox hydrogel
TG_0000_material,TG_0000,2026,material,alginate hydrogel
TG_0000_material,TG_0000,2026,material,hydrogel thermocell platform
TG_0000_mechanism,TG_0000,2026,mechanism,hydrogel thermocell platform
TG_0000_mechanism,TG_0000,2026,mechanism,self-powered sensing/wearable interface
TG_0001_material,TG_0001,2025,material,Fe2+/Fe3+ redox hydrogel
TG_0001_material,TG_0001,2025,material,thermogalvanic electrolyte
TG_0001_material,TG_0001,2025,material,selective solvation entropy
TG_0001_mechanism,TG_0001,2025,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0001_mechanism,TG_0001,2025,mechanism,selective solvation entropy
TG_0001_mechanism,TG_0001,2025,mechanism,redox entropy engineering
TG_0002_material,TG_0002,2025,material,Fe2+/Fe3+ redox hydrogel
TG_0002_material,TG_0002,2025,material,hydrogel thermocell platform
TG_0002_mechanism,TG_0002,2025,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0002_mechanism,TG_0002,2025,mechanism,thermodiffusion/Soret transport
TG_0002_mechanism,TG_0002,2025,mechanism,host-guest/crown-ether complexation
TG_0003_material,TG_0003,2024,material,hydrogel thermocell platform
TG_0003_mechanism,TG_0003,2024,mechanism,chaotropic polymer-water regulation
TG_0003_mechanism,TG_0003,2024,mechanism,self-powered sensing/wearable interface
TG_0004_material,TG_0004,2024,material,ionogel electrolyte
TG_0004_material,TG_0004,2024,material,hydrogel thermocell platform
TG_0004_material,TG_0004,2024,material,chaotropic polymer-water regulation
TG_0004_mechanism,TG_0004,2024,mechanism,chaotropic polymer-water regulation
TG_0004_mechanism,TG_0004,2024,mechanism,photothermal/radiative thermal management
TG_0005_mechanism,TG_0005,2024,mechanism,salting-out/crystallization transition
TG_0006_material,TG_0006,2025,material,hydrogel thermocell platform
TG_0006_material,TG_0006,2025,material,self-powered sensing/wearable interface
TG_0006_mechanism,TG_0006,2025,mechanism,self-powered sensing/wearable interface
TG_0007_material,TG_0007,2024,material,iodide/triiodide redox couple
TG_0007_material,TG_0007,2024,material,PVA hydrogel electrolyte
TG_0007_material,TG_0007,2024,material,hydrogel thermocell platform
TG_0007_mechanism,TG_0007,2024,mechanism,self-powered sensing/wearable interface
TG_0008_mechanism,TG_0008,2023,mechanism,redox concentration gradient
TG_0009_material,TG_0009,2025,material,photothermal/radiative thermal management
TG_0009_mechanism,TG_0009,2025,mechanism,redox concentration gradient
TG_0009_mechanism,TG_0009,2025,mechanism,photothermal/radiative thermal management
TG_0010_material,TG_0010,2025,material,hydrogel thermocell platform
TG_0011_material,TG_0011,2025,material,PVA hydrogel electrolyte
TG_0011_material,TG_0011,2025,material,hydrogel thermocell platform
TG_0012_material,TG_0012,2025,material,gelatin/GelMA hydrogel
TG_0012_material,TG_0012,2025,material,hydrogel thermocell platform
TG_0013_material,TG_0013,2025,material,PEDOT:PSS redox/electrode system
TG_0013_material,TG_0013,2025,material,selective solvation entropy
TG_0013_mechanism,TG_0013,2025,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0013_mechanism,TG_0013,2025,mechanism,PEDOT:PSS redox/electrode system
TG_0013_mechanism,TG_0013,2025,mechanism,selective solvation entropy
TG_0013_mechanism,TG_0013,2025,mechanism,thermodiffusion/Soret transport
TG_0014_material,TG_0014,2023,material,PVA hydrogel electrolyte
TG_0014_material,TG_0014,2023,material,hydrogel thermocell platform
TG_0014_mechanism,TG_0014,2023,mechanism,salting-out/crystallization transition
TG_0015_material,TG_0015,2025,material,ferri/ferrocyanide redox couple
TG_0015_material,TG_0015,2025,material,hydrogel thermocell platform
TG_0015_mechanism,TG_0015,2025,mechanism,porous/redox electrode interface
TG_0016_material,TG_0016,2025,material,Fe2+/Fe3+ redox hydrogel
TG_0016_material,TG_0016,2025,material,PVA hydrogel electrolyte
TG_0016_material,TG_0016,2025,material,hydrogel thermocell platform
TG_0016_mechanism,TG_0016,2025,mechanism,chaotropic polymer-water regulation
TG_0017_material,TG_0017,2025,material,Fe2+/Fe3+ redox hydrogel
TG_0017_material,TG_0017,2025,material,ferri/ferrocyanide redox couple
TG_0017_material,TG_0017,2025,material,thermogalvanic electrolyte
TG_0017_mechanism,TG_0017,2025,mechanism,redox concentration gradient
TG_0018_mechanism,TG_0018,2024,mechanism,salting-out/crystallization transition
TG_0018_mechanism,TG_0018,2024,mechanism,self-powered sensing/wearable interface
TG_0019_mechanism,TG_0019,2025,mechanism,redox entropy engineering
TG_0020_material,TG_0020,2025,material,ferri/ferrocyanide redox couple
TG_0020_material,TG_0020,2025,material,gelatin/GelMA hydrogel
TG_0020_mechanism,TG_0020,2025,mechanism,redox concentration gradient
TG_0021_material,TG_0021,2025,material,porous/redox electrode interface
TG_0021_mechanism,TG_0021,2025,mechanism,redox entropy engineering
TG_0022_material,TG_0022,2025,material,ferri/ferrocyanide redox couple
TG_0022_material,TG_0022,2025,material,hydrogel thermocell platform
TG_0022_mechanism,TG_0022,2025,mechanism,chaotropic polymer-water regulation
TG_0023_material,TG_0023,2026,material,photothermal/radiative thermal management
TG_0023_mechanism,TG_0023,2026,mechanism,photothermal/radiative thermal management
TG_0024_material,TG_0024,2025,material,hydrogel thermocell platform
TG_0024_mechanism,TG_0024,2025,mechanism,redox entropy engineering
TG_0025_material,TG_0025,2024,material,Fe2+/Fe3+ redox hydrogel
TG_0025_material,TG_0025,2024,material,hydrogel thermocell platform
TG_0025_mechanism,TG_0025,2024,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0026_material,TG_0026,2024,material,ferri/ferrocyanide redox couple
TG_0026_material,TG_0026,2024,material,gelatin/GelMA hydrogel
TG_0026_mechanism,TG_0026,2024,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0026_mechanism,TG_0026,2024,mechanism,ferri/ferrocyanide redox couple
TG_0026_mechanism,TG_0026,2024,mechanism,hydrogel thermocell platform
TG_0026_mechanism,TG_0026,2024,mechanism,salting-out/crystallization transition
TG_0027_material,TG_0027,2025,material,MXene/carbon photothermal scaffold
TG_0027_material,TG_0027,2025,material,porous/redox electrode interface
TG_0027_mechanism,TG_0027,2025,mechanism,thermogalvanic electrolyte
TG_0028_material,TG_0028,2025,material,thermogalvanic electrolyte
TG_0028_mechanism,TG_0028,2025,mechanism,selective solvation entropy
TG_0028_mechanism,TG_0028,2025,mechanism,redox entropy engineering
TG_0029_material,TG_0029,2025,material,ferri/ferrocyanide redox couple
TG_0029_mechanism,TG_0029,2025,mechanism,thermodiffusion/Soret transport
TG_0030_material,TG_0030,2025,material,ferri/ferrocyanide redox couple
TG_0030_material,TG_0030,2025,material,MXene/carbon photothermal scaffold
TG_0030_material,TG_0030,2025,material,hydrogel thermocell platform
TG_0030_mechanism,TG_0030,2025,mechanism,ferri/ferrocyanide redox couple
TG_0030_mechanism,TG_0030,2025,mechanism,salting-out/crystallization transition
TG_0031_material,TG_0031,2026,material,organic redox couple
TG_0031_material,TG_0031,2026,material,hydrogel thermocell platform
TG_0031_mechanism,TG_0031,2026,mechanism,porous/redox electrode interface
TG_0031_mechanism,TG_0031,2026,mechanism,self-powered sensing/wearable interface
TG_0032_material,TG_0032,2025,material,Fe2+/Fe3+ redox hydrogel
TG_0032_material,TG_0032,2025,material,PVA hydrogel electrolyte
TG_0032_material,TG_0032,2025,material,hydrogel thermocell platform
TG_0032_mechanism,TG_0032,2025,mechanism,chaotropic polymer-water regulation
TG_0032_mechanism,TG_0032,2025,mechanism,self-powered sensing/wearable interface
TG_0033_material,TG_0033,2024,material,organic redox couple
TG_0034_mechanism,TG_0034,2025,mechanism,redox concentration gradient
TG_0035_material,TG_0035,2024,material,ferri/ferrocyanide redox couple
TG_0035_material,TG_0035,2024,material,PVA hydrogel electrolyte
TG_0035_material,TG_0035,2024,material,hydrogel thermocell platform
TG_0035_mechanism,TG_0035,2024,mechanism,self-powered sensing/wearable interface
TG_0038_material,TG_0038,2022,material,ferri/ferrocyanide redox couple
TG_0038_material,TG_0038,2022,material,hydrogel thermocell platform
TG_0038_mechanism,TG_0038,2022,mechanism,ferri/ferrocyanide redox couple
TG_0038_mechanism,TG_0038,2022,mechanism,hydrogel thermocell platform
TG_0038_mechanism,TG_0038,2022,mechanism,salting-out/crystallization transition
TG_0038_mechanism,TG_0038,2022,mechanism,chaotropic polymer-water regulation
TG_0038_mechanism,TG_0038,2022,mechanism,self-powered sensing/wearable interface
TG_0039_material,TG_0039,2024,material,iodide/triiodide redox couple
TG_0039_material,TG_0039,2024,material,gelatin/GelMA hydrogel
TG_0039_material,TG_0039,2024,material,hydrogel thermocell platform
TG_0040_material,TG_0040,2024,material,ferri/ferrocyanide redox couple
TG_0040_material,TG_0040,2024,material,porous/redox electrode interface
TG_0040_material,TG_0040,2024,material,hydrogel thermocell platform
TG_0040_mechanism,TG_0040,2024,mechanism,ferri/ferrocyanide redox couple
TG_0041_material,TG_0041,2023,material,Fe2+/Fe3+ redox hydrogel
TG_0041_material,TG_0041,2023,material,PVA hydrogel electrolyte
TG_0041_material,TG_0041,2023,material,photothermal/radiative thermal management
TG_0041_mechanism,TG_0041,2023,mechanism,photothermal/radiative thermal management
TG_0041_mechanism,TG_0041,2023,mechanism,self-powered sensing/wearable interface
