phrase,doc_freq,first_year,last_year,role,paper_span,recentness,x,y,tile_x,tile_y,label_score
hydrogel thermocell platform,123,1998,2026,both,29,3,18.669481,-4.389938,2,2,278.0
porous/redox electrode interface,104,1991,2026,both,36,3,16.59638,-4.463297,1,2,247.0
ferri/ferrocyanide redox couple,74,1991,2026,both,36,3,15.291402,-4.925161,0,1,187.0
MXene/carbon photothermal scaffold,48,1996,2026,both,31,3,18.346119,-6.068296,2,0,130.0
self-powered sensing/wearable interface,37,1994,2026,both,33,3,16.784721,-4.77818,1,1,110.0
ion transport/diffusion/migration,24,1994,2026,both,33,3,17.460663,-6.8405,1,0,84.0
thermogalvanic electrolyte,18,2004,2026,both,23,3,19.896954,-5.507786,3,1,62.0
redox concentration gradient,14,2016,2026,mechanism,11,3,16.292866,-5.998848,0,0,50.0
ionic liquid electrolyte,13,2011,2026,both,16,3,19.977604,-5.9087405,3,0,45.0
gelatin/GelMA hydrogel,14,2020,2026,material,7,3,19.013157,-4.1172285,3,2,43.0
iodide/triiodide redox couple,12,2015,2024,both,10,3,15.688193,-4.5548143,0,2,37.0
cellulose hydrogel scaffold,6,2018,2024,both,7,3,18.527708,-4.967438,2,1,22.0
