phrase,doc_freq,first_year,last_year,role,paper_span,recentness,x,y
Fe2+/Fe3+ redox hydrogel,41,1995,2026,both,32,3,17.79766,-4.4462433
MXene/carbon photothermal scaffold,48,1996,2026,both,31,3,18.346119,-6.068296
PEDOT:PSS redox/electrode system,5,2017,2026,both,10,3,16.085943,-4.9305987
PVA hydrogel electrolyte,23,2022,2026,both,5,3,19.47963,-4.900081
SO42-/SO32- redox couple,2,2023,2025,material,3,3,15.691046,-5.3229437
alginate hydrogel,2,2025,2026,both,2,3,19.059736,-4.7048297
cellulose hydrogel scaffold,6,2018,2024,both,7,3,18.527708,-4.967438
chaotropic polymer-water regulation,18,2018,2025,both,8,3,17.370495,-5.932505
deep eutectic/eutogel electrolyte,3,2025,2026,both,2,3,19.392925,-5.421834
ferri/ferrocyanide redox couple,74,1991,2026,both,36,3,15.291402,-4.925161
gelatin/GelMA hydrogel,14,2020,2026,material,7,3,19.013157,-4.1172285
host-guest/crown-ether complexation,12,2016,2026,both,11,3,17.016151,-6.6354623
hydrogel thermocell platform,123,1998,2026,both,29,3,18.669481,-4.389938
iodide/triiodide redox couple,12,2015,2024,both,10,3,15.688193,-4.5548143
ion transport/diffusion/migration,24,1994,2026,both,33,3,17.460663,-6.8405
ionic liquid electrolyte,13,2011,2026,both,16,3,19.977604,-5.9087405
ionogel electrolyte,2,2024,2026,material,3,3,19.414186,-5.9592094
molten carbonate eutectic (Li,2,2017,2020,material,4,0,19.035112,-5.5808606
organic redox couple,8,2014,2026,both,13,3,15.319419,-4.330432
photothermal/radiative thermal management,28,2018,2026,both,9,3,18.162102,-6.4257064
porous/redox electrode interface,104,1991,2026,both,36,3,16.59638,-4.463297
redox concentration gradient,14,2016,2026,mechanism,11,3,16.292866,-5.998848
redox entropy engineering,24,2013,2026,both,14,3,16.443962,-5.4849567
salting-out/crystallization transition,19,2018,2026,both,9,3,17.319773,-6.3638496
selective solvation entropy,20,2006,2026,both,21,3,17.38645,-5.4856234
self-powered sensing/wearable interface,37,1994,2026,both,33,3,16.784721,-4.77818
thermodiffusion/Soret transport,34,1995,2026,both,32,3,17.93465,-7.0766463
thermogalvanic electrolyte,18,2004,2026,both,23,3,19.896954,-5.507786
