paper_id,year,title,doi,role,phrase
TG_0000,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,material,Fe2+/Fe3+ redox hydrogel
TG_0000,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,material,alginate hydrogel
TG_0000,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,material,hydrogel thermocell platform
TG_0000,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,mechanism,hydrogel thermocell platform
TG_0000,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,mechanism,self-powered sensing/wearable interface
TG_0001,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,material,Fe2+/Fe3+ redox hydrogel
TG_0001,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,material,thermogalvanic electrolyte
TG_0001,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,material,selective solvation entropy
TG_0001,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0001,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,mechanism,selective solvation entropy
TG_0001,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,mechanism,redox entropy engineering
TG_0002,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,material,Fe2+/Fe3+ redox hydrogel
TG_0002,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,material,hydrogel thermocell platform
TG_0002,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0002,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,mechanism,thermodiffusion/Soret transport
TG_0002,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,mechanism,host-guest/crown-ether complexation
TG_0003,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,material,hydrogel thermocell platform
TG_0003,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,mechanism,chaotropic polymer-water regulation
TG_0003,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,mechanism,self-powered sensing/wearable interface
TG_0004,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,material,ionogel electrolyte
TG_0004,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,material,hydrogel thermocell platform
TG_0004,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,material,chaotropic polymer-water regulation
TG_0004,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,mechanism,chaotropic polymer-water regulation
TG_0004,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,mechanism,photothermal/radiative thermal management
TG_0005,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,mechanism,salting-out/crystallization transition
TG_0006,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,material,hydrogel thermocell platform
TG_0006,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,material,self-powered sensing/wearable interface
TG_0006,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,mechanism,self-powered sensing/wearable interface
TG_0007,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,material,iodide/triiodide redox couple
TG_0007,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,material,PVA hydrogel electrolyte
TG_0007,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,material,hydrogel thermocell platform
TG_0007,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,mechanism,self-powered sensing/wearable interface
TG_0008,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,mechanism,redox concentration gradient
TG_0009,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,material,photothermal/radiative thermal management
TG_0009,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,mechanism,redox concentration gradient
TG_0009,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,mechanism,photothermal/radiative thermal management
TG_0010,2025,Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels,10.1021/acsaem.4c02835,material,hydrogel thermocell platform
TG_0011,2025,Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,10.1016/j.cej.2025.167739,material,PVA hydrogel electrolyte
TG_0011,2025,Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,10.1016/j.cej.2025.167739,material,hydrogel thermocell platform
TG_0012,2025,Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,10.1039/d5ta00253b,material,gelatin/GelMA hydrogel
TG_0012,2025,Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,10.1039/d5ta00253b,material,hydrogel thermocell platform
TG_0013,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,material,PEDOT:PSS redox/electrode system
TG_0013,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,material,selective solvation entropy
TG_0013,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0013,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,mechanism,PEDOT:PSS redox/electrode system
TG_0013,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,mechanism,selective solvation entropy
TG_0013,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,mechanism,thermodiffusion/Soret transport
TG_0014,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,10.1002/adma.202300696,material,PVA hydrogel electrolyte
TG_0014,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,10.1002/adma.202300696,material,hydrogel thermocell platform
TG_0014,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,10.1002/adma.202300696,mechanism,salting-out/crystallization transition
TG_0015,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,material,ferri/ferrocyanide redox couple
TG_0015,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,material,hydrogel thermocell platform
TG_0015,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,mechanism,porous/redox electrode interface
