entry_id,paper_id,source,year,title,doi,role,text,label,x,y
TG_0000_material,TG_0000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,material,Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing,Fe2+/Fe3+ cross-linked alginate hydrogel...,17.50068,1.9973801
TG_0000_mechanism,TG_0000,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,mechanism,"wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",wound-dressing temperature gradient drive...,16.302488,-0.4655215
TG_0001_material,TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,material,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system",iron-based thermogalvanic electrolyte wit...,17.528215,1.9504966
TG_0001_mechanism,TG_0001,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,mechanism,weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling,weak Fe-ClO4 interactions and selective...,15.04747,-1.9983811
TG_0002_material,TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,material,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type...,17.389902,1.9591651
TG_0002_mechanism,TG_0002,TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,mechanism,Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,Fe2+/Fe3+-Cl- complexation balances therm...,16.77279,0.4788211
TG_0003_material,TG_0003,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,material,Li+(H2O)n thermogalvanic hydrogel,Li+(H2O)n thermogalvanic hydrogel,17.583214,3.0168264
TG_0003_mechanism,TG_0003,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,mechanism,Li hydration structure gives antifreezing/non-drying ion conduction while thermal gradients generate self-powered biometric e-skin signals,Li hydration structure gives antifreezing...,17.74676,-1.6545223
TG_0004_material,TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,material,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure,thermogalvanic ionogel thermocells with c...,15.107274,-1.4374636
TG_0004_mechanism,TG_0004,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,mechanism,chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,chaotropic effect raises Seebeck coeffici...,15.056565,-1.387805
