alias,concept_id,canonical_concept,alias_source
Ge3As3,C000E4730CB,Ge3As3,canonical
conductivity ionic,C0015C8C861,conductivity ionic,canonical
chaotropic cosolvent. chaotropic effect disrupts hydrogen bonding,C001DA62C73,chaotropic cosolvent. chaotropic effect disrupts hydrogen bonding,canonical
ionic species under temperature gradients. soret,C00229EC621,ionic species under temperature gradients. soret,canonical
AgCrS2,C004CC2098D,AgCrS2,canonical
ionic seebeck,C00598208B6,ionic seebeck,canonical
electrical property,C008E17A69D,electrical property,canonical
CsZnCl3,C009E7A7FE0,CsZnCl3,canonical
organic redox molecular design,C00DD823894,organic redox molecular design,canonical
Ti2O3,C01521F3A42,Ti2O3,canonical
Cu-ethylenediamine chelation entropy,C0153E11F9A,Cu-ethylenediamine chelation entropy,canonical
PrFe4Sb12,C019286691A,PrFe4Sb12,canonical
FrTaO3,C01A4916DE8,FrTaO3,canonical
UOs2Al10,C01A9BBADC2,UOs2Al10,canonical
CoSb3(001),C01DE7E43A9,CoSb3(001),canonical
FePO4,C0263687226,FePO4,canonical
CaSiO3,C028C9C49DC,CaSiO3,canonical
low seebeck,C02BE1C5341,low seebeck,canonical
Mg2Sn0,C02E56F8B69,Mg2Sn0,canonical
Y3Fe5O12,C03158EEDC7,Y3Fe5O12,canonical
electric-field thermoelectric treatment promote linbo3 nanocrystallization,C033EEA989C,electric-field thermoelectric treatment promote linbo3 nanocrystallization,canonical
BaCeO3,C034BF5D46B,BaCeO3,canonical
LiMTe2,C03E994CF2E,LiMTe2,canonical
BiCl3,C043DDB5A01,BiCl3,canonical
multimodal interfacial heat-transfer sensing,C048A21E066,multimodal interfacial heat-transfer sensing,canonical
high ionic seebeck,C04AD813469,high ionic seebeck,canonical
[AgSe6],C05542DBBD5,[AgSe6],canonical
thermal-resistance cell architecture,C0584ADB7B5,thermal-resistance cell architecture,canonical
thermal conductivity decreases,C058C30AC53,thermal conductivity decreases,canonical
copper electrode. hcl accelerates q/hq redox kinetics,C058F75B457,copper electrode. hcl accelerates q/hq redox kinetics,canonical
Yb11Sb10,C05B52CA1BC,Yb11Sb10,canonical
Rb2GaAgCl6,C05DA382883,Rb2GaAgCl6,canonical
ABTe3,C05EBB3701B,ABTe3,canonical
Cu2HgSn,C0617321031,Cu2HgSn,canonical
conductivity sigma,C0617A8C2F0,conductivity sigma,canonical
Ti2MnB,C063A44E863,Ti2MnB,canonical
AgNO3,C0654736118,AgNO3,canonical
NdF3,C06A941BFE8,NdF3,canonical
electrochemical impedance spectroscopy,C06AB309E36,electrochemical impedance spectroscopy,canonical
EIS,C06AB309E36,electrochemical impedance spectroscopy,controlled_rule
PF6-,C06AEB0783B,PF6-,canonical
La2Mo2O9,C06D6FD2EE5,La2Mo2O9,canonical
Ba2GdRuO6,C06D89951F6,Ba2GdRuO6,canonical
[Fe(CN)6]4-/3-,C06E312C91F,[Fe(CN)6]4-/3-,canonical
polymer electrolyte,C06F57A9BCA,polymer electrolyte,canonical
Sb2Te3,C075A0D1B79,Sb2Te3,canonical
increases charge-carrier thermal-diffusion entropy difference,C0770BFAE3B,increases charge-carrier thermal-diffusion entropy difference,canonical
giant thermopower,C0782A94E48,giant thermopower,canonical
benzoquinone/hydroquinone redox couple. proton thermodiffusion couples,C07924AF76B,benzoquinone/hydroquinone redox couple. proton thermodiffusion couples,canonical
Na2YCuCl6,C07D41C3EC6,Na2YCuCl6,canonical
Na3VO4,C07F3EA1664,Na3VO4,canonical
Sr2P7Br,C07F7A79B86,Sr2P7Br,canonical
ClO4-,C0834738FAA,ClO4-,canonical
thermodiffusion-assisted n-type thermogalvanic cell,C0836ADF81A,thermodiffusion-assisted n-type thermogalvanic cell,canonical
moisture-gradient ion transport,C08389FD6C6,moisture-gradient ion transport,canonical
3d-printed h2/electrolyte microchannels. internal gas/liquid transport,C0891765310,3d-printed h2/electrolyte microchannels. internal gas/liquid transport,canonical
Ba8Al10Si36,C0926D4AA77,Ba8Al10Si36,canonical
resistance-gated thermogalvanic wearable,C0951722F9B,resistance-gated thermogalvanic wearable,canonical
Zr2SN2,C0986F0036E,Zr2SN2,canonical
RCoO3,C09AAA0C1AA,RCoO3,canonical
CuInS2,C09BDE0D568,CuInS2,canonical
aligned nanochannels,C09C6925521,aligned nanochannels,canonical
MgSc2Se4,C09C7252ABA,MgSc2Se4,canonical
potassium iodide (KI),C09EB3A5CE5,potassium iodide (KI),canonical
KI,C09EB3A5CE5,potassium iodide (KI),controlled_rule
potassium iodide,C09EB3A5CE5,potassium iodide (KI),controlled_rule
ternary 3d transition-metal compounds. ionic-model charge-transfer energy,C0A2CA82AC5,ternary 3d transition-metal compounds. ionic-model charge-transfer energy,canonical
polarity to large redox solvation entropy differences,C0A8A6D1E04,polarity to large redox solvation entropy differences,canonical
Ag3SI,C0ACA2245F8,Ag3SI,canonical
crown-ether cation complexation,C0AD9C93101,crown-ether cation complexation,canonical
cationic anchoring; crown ether,C0AD9C93101,crown-ether cation complexation,controlled_rule
water-vapor entropy reduce heat convection,C0AF0D68D51,water-vapor entropy reduce heat convection,canonical
CO2,C0B0DE2212C,CO2,canonical
CF3SO3,C0B1F9020C5,CF3SO3,canonical
zinc-ion thermal charging supercapacitor,C0B53391EE1,zinc-ion thermal charging supercapacitor,canonical
Cu6Te3,C0B6C7884C9,Cu6Te3,canonical
mxene ppy electrodes add photothermal/electrochemical performance,C0B870F1347,mxene ppy electrodes add photothermal/electrochemical performance,canonical
Bi4V2O11,C0BF9EEDC2F,Bi4V2O11,canonical
Li3IrH9,C0C5FA652CE,Li3IrH9,canonical
STO288,C0C6118EAAC,STO288,canonical
Ti3C2Tx MXene,C0C6AA82A13,Ti3C2Tx MXene,canonical
Ti3C2Tx,C0C6AA82A13,Ti3C2Tx MXene,controlled_rule
nir photothermal release enables therapy,C0C8319A3CB,nir photothermal release enables therapy,canonical
entropy of transfer,C0C84435447,entropy of transfer,canonical
Ag2S1,C0CB5B77B46,Ag2S1,canonical
large seebeck,C0CE4592274,large seebeck,canonical
diffraction analysis,C0D08B66C8E,diffraction analysis,canonical
SiO14,C0D8160726D,SiO14,canonical
molecular-chaperone redox-gradient stabilization,C0DAE2172A0,molecular-chaperone redox-gradient stabilization,canonical
lowers thermal conductivity,C0DAEE18A91,lowers thermal conductivity,canonical
porous carbon,C0DB0507249,porous carbon,canonical
hydroquinone/benzoquinone,C0E08EF09D4,hydroquinone/benzoquinone,canonical
benzoquinone,C0E08EF09D4,hydroquinone/benzoquinone,controlled_rule
hydroquinone,C0E08EF09D4,hydroquinone/benzoquinone,controlled_rule
polarized-membrane ionic thermal potential,C0E0D20D156,polarized-membrane ionic thermal potential,canonical
Mg3SbBi,C0E271EE40D,Mg3SbBi,canonical
ASnCl3,C0E4EB543F9,ASnCl3,canonical
increases redox entropy difference,C0ECF1B698F,increases redox entropy difference,canonical
Cs2ScHgCl6,C0EE056D716,Cs2ScHgCl6,canonical
reduce charge-transfer resistance for high body-heat power output,C0F0873442C,reduce charge-transfer resistance for high body-heat power output,canonical
negative ionic seebeck,C0F12A599D7,negative ionic seebeck,canonical
SrBi2Ta2O9,C0F89930B1B,SrBi2Ta2O9,canonical
AlMgI3,C0F9A6F36B2,AlMgI3,canonical
Cu2SrSiS4,C0FCA946146,Cu2SrSiS4,canonical
K2YAgBr6,C0FFF4E1970,K2YAgBr6,canonical
chitosan,C101F2A9CFC,chitosan,canonical
PrCo1,C103603B13E,PrCo1,canonical
PbSn0,C104F3EC646,PbSn0,canonical
Ba6Ga2Co11O26,C1052D2B015,Ba6Ga2Co11O26,canonical
Fe3O4,C105CA4A74C,Fe3O4,canonical
[Fe(CN)6]3-/4-,C10626AE9E8,[Fe(CN)6]3-/4-,canonical
