concept_id,canonical_concept,concept_type,concept_subtype,parent_domain,graph_role,document_frequency,iTE_document_frequency,TG_document_frequency,first_year,last_year,max_confidence,prediction_eligible,evidence_only
C8F254FA6F8,Seebeck coefficient/thermopower,property_metric,thermoelectric metric,properties and metrics,background,822,725,145,1992,2026,0.94,False,False
C6CDB23F33C,seebeck coefficient,property_metric,property/metric,properties and metrics,background,593,527,91,1994,2026,0.78,False,False
CCF542D6217,thermal conductivity,property_metric,transport property,properties and metrics,background,421,413,12,2000,2026,0.94,False,False
CA8311B95A4,electrical conductivity,property_metric,transport property,properties and metrics,background,320,314,8,1992,2026,0.94,False,False
CB9430BE241,photothermal thermogalvanic integration,device_function,device function,device and system functions,background,310,262,62,1999,2026,0.97,False,False
C106397924D,p/n thermogalvanic series design,device_function,device function,device and system functions,background,273,243,44,1993,2026,0.97,False,False
C5EFC27B241,power factor,property_metric,thermoelectric metric,properties and metrics,background,270,270,2,1995,2026,0.94,False,False
CBC536166F4,ionic conductivity,property_metric,transport property,properties and metrics,background,194,188,18,1994,2026,0.94,False,False
C384BEE1074,density functional theory,computational_method,electronic-structure calculation,computational methods,background,174,173,2,1999,2026,0.94,False,False
CC1DFFF3702,wearable biointerface thermocell,device_function,device function,device and system functions,background,167,125,54,1995,2026,0.97,False,False
C45EE16DE6E,lattice thermal conductivity,property_metric,property/metric,properties and metrics,background,155,155,0,2004,2026,0.78,False,False
CB650BF52CF,X-ray diffraction,characterization_method,structure characterization,experimental methods,background,150,149,1,1993,2026,0.94,False,False
CF8594C4108,power density,property_metric,device metric,properties and metrics,background,146,87,81,1993,2026,0.94,False,False
C9968B5FA4F,seebeck coefficients,property_metric,property/metric,properties and metrics,background,118,108,16,1996,2026,0.78,False,False
CEE666A6625,low thermal conductivity,property_metric,property/metric,properties and metrics,background,111,109,6,2009,2026,0.78,False,False
C338491CE9C,thermal charging redox storage,device_function,device function,device and system functions,background,103,86,21,1993,2026,0.97,False,False
CC2754A6A87,high seebeck,property_metric,property/metric,properties and metrics,background,102,85,23,2006,2026,0.78,False,False
C00598208B6,ionic seebeck,property_metric,property/metric,properties and metrics,background,94,92,8,2004,2026,0.78,False,False
C4937AFB10B,conversion efficiency,property_metric,device metric,properties and metrics,background,77,52,29,1995,2026,0.94,False,False
C1F3FEDB678,high seebeck coefficient,property_metric,property/metric,properties and metrics,background,71,60,17,2006,2026,0.78,False,False
C2C6E45217A,high thermopower,property_metric,property/metric,properties and metrics,background,70,57,18,2014,2026,0.78,False,False
CC44C08236F,ionic seebeck coefficient,property_metric,property/metric,properties and metrics,background,69,67,7,2004,2026,0.78,False,False
CB7671839CC,electrochemical refrigeration thermocell,device_function,device function,device and system functions,background,61,49,13,1994,2026,0.97,False,False
CE1E499232F,scanning electron microscopy,characterization_method,microscopy,experimental methods,background,58,57,1,2007,2026,0.94,False,False
C331CCBD546,electron microscopy,characterization_method,characterization method,experimental methods,background,52,51,1,2007,2026,0.78,False,False
CF0253D4799,ionic thermopower,property_metric,property/metric,properties and metrics,background,51,50,10,2005,2026,0.78,False,False
C4052F644EA,low lattice thermal conductivity,property_metric,property/metric,properties and metrics,background,51,51,0,2007,2026,0.78,False,False
C5324084A22,molecular dynamics,computational_method,atomistic simulation,computational methods,background,51,47,6,2007,2026,0.94,False,False
CACF6FDAA21,high ionic conductivity,property_metric,property/metric,properties and metrics,background,50,47,8,1995,2026,0.78,False,False
C2C30017E62,seebeck effect,property_metric,property/metric,properties and metrics,background,48,44,9,2008,2026,0.78,False,False
C708AECFA88,output power density,property_metric,property/metric,properties and metrics,background,42,33,13,2020,2026,0.78,False,False
C86FD936824,impedance spectroscopy,characterization_method,characterization method,experimental methods,background,40,35,5,1996,2026,0.78,False,False
C6F22187716,electronic conductivity,property_metric,property/metric,properties and metrics,background,37,37,0,1992,2026,0.78,False,False
C5C8C31EAB3,high electrical conductivity,property_metric,property/metric,properties and metrics,background,36,35,1,2006,2025,0.78,False,False
C1A9158F2A8,transmission electron microscopy,characterization_method,microscopy,experimental methods,background,31,31,1,1995,2026,0.94,False,False
C0CE4592274,large seebeck,property_metric,property/metric,properties and metrics,background,30,28,4,2014,2026,0.78,False,False
C378728FFD4,optical conductivity,property_metric,property/metric,properties and metrics,background,30,30,0,2012,2026,0.78,False,False
C6F0F083FB1,maximum power density,property_metric,property/metric,properties and metrics,background,28,12,21,2017,2026,0.78,False,False
CE310918694,ultralow thermal conductivity,property_metric,property/metric,properties and metrics,background,28,28,0,2014,2026,0.78,False,False
C29481F2AFF,X-ray photoelectron spectroscopy,characterization_method,spectroscopy,experimental methods,background,26,26,0,1997,2025,0.94,False,False
C83B8CE46CF,high conductivity,property_metric,property/metric,properties and metrics,background,26,23,4,2015,2026,0.78,False,False
C04AD813469,high ionic seebeck,property_metric,property/metric,properties and metrics,background,25,24,3,2017,2026,0.78,False,False
CBDA7CBD21E,high seebeck coefficients,property_metric,property/metric,properties and metrics,background,25,19,6,2008,2026,0.78,False,False
CD0AC412088,ultralow lattice thermal conductivity,property_metric,property/metric,properties and metrics,background,25,25,0,2016,2026,0.78,False,False
C842144CE90,energy conversion efficiency,property_metric,property/metric,properties and metrics,background,23,15,10,2014,2026,0.78,False,False
C9F13917B6F,temperature sensing,device_function,device function,device and system functions,background,23,18,6,2008,2026,0.78,False,False
CCF7BB8C525,density functional theory calculations,computational_method,computational method,computational methods,background,22,22,0,2014,2026,0.78,False,False
C52ADDD84A2,large seebeck coefficient,property_metric,property/metric,properties and metrics,background,22,21,3,2014,2026,0.78,False,False
C38C7E198D9,Raman spectroscopy,characterization_method,spectroscopy,experimental methods,background,20,19,2,2008,2026,0.94,False,False
C06AB309E36,electrochemical impedance spectroscopy,characterization_method,electrochemical characterization,experimental methods,background,20,17,3,2009,2026,0.94,False,False
C436B8B58E6,high ionic seebeck coefficient,property_metric,property/metric,properties and metrics,background,20,19,2,2017,2026,0.78,False,False
CDAD3B4D79F,machine learning,computational_method,data-driven method,computational methods,background,19,12,9,2022,2026,0.94,False,False
CDF793D9F68,negative thermopower,property_metric,property/metric,properties and metrics,background,19,19,2,1996,2026,0.78,False,False
