concept_a_id,concept_a,concept_a_type,concept_b_id,concept_b,concept_b_type,embedding_similarity,recommended_action
C10626AE9E8,[Fe(CN)6]3-/4-,material_entity,C06E312C91F,[Fe(CN)6]4-/3-,material_entity,0.9987,review; do not auto-merge
C06E312C91F,[Fe(CN)6]4-/3-,material_entity,CFCC465C342,[Fe(CN)6]4-/,material_entity,0.9816,review; do not auto-merge
C10626AE9E8,[Fe(CN)6]3-/4-,material_entity,CFCC465C342,[Fe(CN)6]4-/,material_entity,0.9761,review; do not auto-merge
CDEB6762A9E,Ag8GeS6,material_entity,CF2F6FB6EBC,Ag8GeSe6,material_entity,0.9692,review; do not auto-merge
C73B79C2209,[Fe(CN)6],material_entity,C557E1688DC,[Fe(CN)6]3-,material_entity,0.9683,review; do not auto-merge
C10626AE9E8,[Fe(CN)6]3-/4-,material_entity,C557E1688DC,[Fe(CN)6]3-,material_entity,0.9663,review; do not auto-merge
C06E312C91F,[Fe(CN)6]4-/3-,material_entity,C557E1688DC,[Fe(CN)6]3-,material_entity,0.966,review; do not auto-merge
CBB7C54B845,Ag8SnSe6,material_entity,CA8978CB039,Ag8SnS6,material_entity,0.9514,review; do not auto-merge
C557E1688DC,[Fe(CN)6]3-,material_entity,CFCC465C342,[Fe(CN)6]4-/,material_entity,0.9512,review; do not auto-merge
C1233ADA4A4,BF4,material_entity,C42CB50C15C,BF4-,material_entity,0.9489,review; do not auto-merge
C4C0E1A5F69,double-network hydrogel,gel_microstructure,C17A556FB4A,double-network hydrogel mechanics,gel_microstructure,0.9422,review; do not auto-merge
C73B79C2209,[Fe(CN)6],material_entity,CFCC465C342,[Fe(CN)6]4-/,material_entity,0.9398,review; do not auto-merge
CE0DABA7381,Fe2O3,material_entity,C105CA4A74C,Fe3O4,material_entity,0.9395,review; do not auto-merge
C962BA9CB74,TeO2,material_entity,CCACE9FE8A2,TeO2-,material_entity,0.9386,review; do not auto-merge
CDEB6762A9E,Ag8GeS6,material_entity,CA8978CB039,Ag8SnS6,material_entity,0.9376,review; do not auto-merge
C73B79C2209,[Fe(CN)6],material_entity,C06E312C91F,[Fe(CN)6]4-/3-,material_entity,0.9321,review; do not auto-merge
CBB7C54B845,Ag8SnSe6,material_entity,CDEB6762A9E,Ag8GeS6,material_entity,0.9319,review; do not auto-merge
C6D6399FFC8,HfS2,material_entity,CDBBD5033EA,HfSe2,material_entity,0.9316,review; do not auto-merge
C075A0D1B79,Sb2Te3,material_entity,CC27710F85E,Sb2Se3,material_entity,0.9292,review; do not auto-merge
C3D74C503D4,Bi2Te3,material_entity,CFC9D296861,Bi2Se3,material_entity,0.925,review; do not auto-merge
C2276A75659,SrTiO3,material_entity,C2880A1DF90,SrMoO3,material_entity,0.9216,review; do not auto-merge
C0B1F9020C5,CF3SO3,material_entity,CC00F42C541,CF3SO3K,material_entity,0.9198,review; do not auto-merge
CC4889A8451,FeCl3,material_entity,C9F0185FA8B,FeCl2,material_entity,0.9191,review; do not auto-merge
C3D74C503D4,Bi2Te3,material_entity,CE155A90258,Bi2Te2,material_entity,0.9188,review; do not auto-merge
CBB7C54B845,Ag8SnSe6,material_entity,CF2F6FB6EBC,Ag8GeSe6,material_entity,0.9153,review; do not auto-merge
C9FB1DC4D4B,Ca3Co4O9,material_entity,C5BB38E55EA,Ca3Co4,material_entity,0.912,review; do not auto-merge
C8A6C84DB46,NH4,material_entity,C2FDBC1D6AD,NH4+,material_entity,0.9113,review; do not auto-merge
C527F5CBB4C,CaPd3Ti4O12,material_entity,CB39303D43C,CaPd3V4O12,material_entity,0.9091,review; do not auto-merge
C9642D16DCA,graphene oxide,material_entity,C6210B1A223,reduced graphene oxide,material_entity,0.9048,review; do not auto-merge
CF2F6FB6EBC,Ag8GeSe6,material_entity,CA8978CB039,Ag8SnS6,material_entity,0.9026,review; do not auto-merge
CFC9D296861,Bi2Se3,material_entity,CA120BDE1A0,Bi2S3,material_entity,0.9021,review; do not auto-merge
C17F807C9B9,K4Fe(CN)6,material_entity,C3053810969,K3Fe(CN)6,material_entity,0.8999,review; do not auto-merge
C7FACAA1363,AgCrSe2,material_entity,C4A964C2ABB,AgSbTe2,material_entity,0.8979,review; do not auto-merge
CD9ECDD15B4,Sb2S3,material_entity,CC27710F85E,Sb2Se3,material_entity,0.8972,review; do not auto-merge
CEAE99FC3AE,MnO3,material_entity,C78DE052B65,MnO2,material_entity,0.8956,review; do not auto-merge
C7B3E023ED0,Cu2Se,material_entity,C24DA40DB81,Cu2S,material_entity,0.8889,review; do not auto-merge
C3D74C503D4,Bi2Te3,material_entity,CA120BDE1A0,Bi2S3,material_entity,0.8864,review; do not auto-merge
CF840763400,TiO2,material_entity,CD2F5C2DDDC,TiO3,material_entity,0.8849,review; do not auto-merge
C679C375BEF,LiCaH3,material_entity,CB1DCAD4A61,LiSrH3,material_entity,0.88,review; do not auto-merge
CA601251C65,Ag2Te,material_entity,C7FACAA1363,AgCrSe2,material_entity,0.8731,review; do not auto-merge
C075A0D1B79,Sb2Te3,material_entity,CD9ECDD15B4,Sb2S3,material_entity,0.873,review; do not auto-merge
C7B3E023ED0,Cu2Se,material_entity,C3A804F9865,Cu2O,material_entity,0.8717,review; do not auto-merge
C24DA40DB81,Cu2S,material_entity,C3A804F9865,Cu2O,material_entity,0.8683,review; do not auto-merge
CF840763400,TiO2,material_entity,C68E4B8C8BC,Ti2O7,material_entity,0.862,review; do not auto-merge
C5A69E4FCAA,Ag2O,material_entity,CA601251C65,Ag2Te,material_entity,0.8594,review; do not auto-merge
C24DA40DB81,Cu2S,material_entity,C736BFAF39B,Cu2SnS3,material_entity,0.8589,review; do not auto-merge
CFC9D296861,Bi2Se3,material_entity,CE155A90258,Bi2Te2,material_entity,0.8566,review; do not auto-merge
C37031A3390,cellulose,material_entity,C77E2C49599,bacterial cellulose,material_entity,0.8563,review; do not auto-merge
CA601251C65,Ag2Te,material_entity,C4A964C2ABB,AgSbTe2,material_entity,0.8542,review; do not auto-merge
CA026FEDF4D,CoO2,material_entity,C0B0DE2212C,CO2,material_entity,0.8481,review; do not auto-merge
C96681C9193,ion channels,transport_mechanism,CEA97D4EE60,oriented ion-transport channels,gel_microstructure,0.8468,review; do not auto-merge
CFC9D296861,Bi2Se3,material_entity,CDCCAF92956,Bi2O3,material_entity,0.845,review; do not auto-merge
C6181968680,graphene,material_entity,C9642D16DCA,graphene oxide,material_entity,0.8426,review; do not auto-merge
CA120BDE1A0,Bi2S3,material_entity,CDCCAF92956,Bi2O3,material_entity,0.8412,review; do not auto-merge
