abstract_claim_candidate_id,linked_insight_id,paper_id,year,corpus_role,source_scope,source_analysis_included,title,doi,candidate_evidence_sentence,sentence_position,char_start,char_end,similarity_to_mechanism_summary,has_causal_cue,has_intervention_cue,has_outcome_cue,has_quantitative_detail,candidate_status,linked_insight_ids,include_as_separate_insight,reviewer_relation_type,reviewer,review_notes,promotion_status
ABSTRACT_3FE0A695BC,INSIGHT_DFDFCDB347,P0336,2025,iTE_source,core_iTE_evidenced_insight,True,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,10.1002/adma.202510199,"Herein, a poly(vinyl alcohol) (PVA)-based n-type i-TE hydrogel is presented that exhibits both large negative S i (-38.6 mV K-1) and excellent stretchability (382.5%) through synergistic effect of coordination and hydrophobic interactions.",3,306,545,0.3610735535621643,True,True,True,True,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_DFDFCDB347,,,,,not_approved_or_pending
ABSTRACT_FB72065AE6,INSIGHT_DFDFCDB347,P0336,2025,iTE_source,core_iTE_evidenced_insight,True,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,10.1002/adma.202510199,"This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower.",6,983,1163,0.6695507168769836,True,False,True,False,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_DFDFCDB347,,,,,not_approved_or_pending
ABSTRACT_637A2769C7,INSIGHT_DFDFCDB347,P0336,2025,iTE_source,core_iTE_evidenced_insight,True,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,10.1002/adma.202510199,"Besides, the long-range hydrophobic interactions contribute to the overall mechanical robustness.",7,1164,1261,0.2102508842945099,True,False,True,False,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_DFDFCDB347,,,,,not_approved_or_pending
ABSTRACT_97EEA80EC7,INSIGHT_DB296045FD,P0337,2025,iTE_source,core_iTE_evidenced_insight,True,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,10.1002/aenm.202405502,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis.",3,358,550,0.8975052833557129,True,True,True,False,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_DB296045FD,,,,,not_approved_or_pending
ABSTRACT_D5818CD0F7,INSIGHT_DB296045FD,P0337,2025,iTE_source,core_iTE_evidenced_insight,True,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,10.1002/aenm.202405502,"This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",4,551,739,0.5731911063194275,True,True,True,False,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_DB296045FD,,,,,not_approved_or_pending
ABSTRACT_A678BE2F33,INSIGHT_DB296045FD,P0337,2025,iTE_source,core_iTE_evidenced_insight,True,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,10.1002/aenm.202405502,"When integrated into a 3-leg device, a stable thermovoltage of 176 mV is generated under a temperature gradient of 4.4 K, thus highlighting the potential of this system for efficient thermal energy harvesting.",7,983,1192,0.15346792340278625,True,True,True,True,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_DB296045FD,,,,,not_approved_or_pending
ABSTRACT_AB55FC9189,INSIGHT_E741D6BAFA,P0340,2025,iTE_source,core_iTE_evidenced_insight,True,Wearable Solar Ionic Thermoelectric Detectors for Human Motion Monitoring and Language Recognition Conversion,10.1002/adfm.202422592,"Also, the solar thermoelectric technology holding the effective solar energy/heat harvesting capacity for sustainable electricity generation shows attractive prospects in self-powered wearable sensing but is terribly limited by its poor flexibility and complex construction.",2,233,507,0.4557649791240692,True,True,False,False,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_E741D6BAFA,,,,,not_approved_or_pending
ABSTRACT_3294B7B64C,INSIGHT_E741D6BAFA,P0340,2025,iTE_source,core_iTE_evidenced_insight,True,Wearable Solar Ionic Thermoelectric Detectors for Human Motion Monitoring and Language Recognition Conversion,10.1002/adfm.202422592,"Herein, a solar thermoelectric system, prepared via facilely sandwiching the self-assemble MoS2/Carbon hollow nanoflower-based fabrics with [Fe(CN)6]3-/4- thermoelectric gels, is successfully applied for the self-powered wearable sensing.",3,508,746,0.6669797897338867,True,True,False,False,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_E741D6BAFA,,,,,not_approved_or_pending
ABSTRACT_2B2C8953D3,INSIGHT_E741D6BAFA,P0340,2025,iTE_source,core_iTE_evidenced_insight,True,Wearable Solar Ionic Thermoelectric Detectors for Human Motion Monitoring and Language Recognition Conversion,10.1002/adfm.202422592,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.",4,747,919,0.7239532470703125,True,False,True,True,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_E741D6BAFA,,,,,not_approved_or_pending
ABSTRACT_6A3F5841D2,INSIGHT_6CDA1D90E1,P0341,2025,iTE_source,core_iTE_evidenced_insight,True,Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties,10.1039/d5ta00744e,"In this study, we present a novel water-assisted self-healing, stretchable tetrameric complex ionogel, which integrates polyvinyl alcohol (PVA), cellulose nanofibers (CNF), and polyvinyl pyrrolidone (PVP) to form a dynamic network structure.",3,309,550,0.6024593114852905,True,True,True,False,candidate_additional_CIMO_E_insight_pending_review,INSIGHT_6CDA1D90E1,,,,,not_approved_or_pending
