edge_id,source_node,edge_type,target_node,evidence_ref,verified
E_376b6b85dc5e,lever:oriented_or_confined_channels,adapted_into,program:PRG_9e58569c757c,P0355,False
E_5593206d70c3,program:PRG_9e58569c757c,targets,tg_system:ferri_ferrocyanide,P0016,False
E_996ac0831cee,paper:P0016,exemplifies,tg_system:ferri_ferrocyanide,P0016,True
E_cec6f77565cb,lever:ph_or_protonation_switch,adapted_into,program:PRG_3680dde71847,P0677,False
E_f604dba552b3,program:PRG_3680dde71847,targets,tg_system:quinone_hydroquinone,P0034,False
E_fbc383337785,paper:P0034,exemplifies,tg_system:quinone_hydroquinone,P0034,True
E_03440188d53b,lever:fixed_charge_selectivity,adapted_into,program:PRG_e948eab97497,P0528,False
E_c06b917bbb2b,program:PRG_e948eab97497,targets,tg_system:iodide_triiodide,P0008,False
E_8b97a5263393,paper:P0008,exemplifies,tg_system:iodide_triiodide,P0008,True
E_0c80fa572494,lever:coordination_or_ion_pairing,adapted_into,program:PRG_e34db5baa25d,P0336,False
E_35cc0eee6b4c,program:PRG_e34db5baa25d,targets,tg_system:copper,P0022,False
E_9ebc1e56bf68,paper:P0022,exemplifies,tg_system:copper,P0022,True
E_a422f68486ac,lever:anion_entanglement,adapted_into,program:PRG_0d4cbb7dc34c,P1143,False
E_0ecfae03fe74,program:PRG_0d4cbb7dc34c,targets,tg_system:fe_ii_iii,P0002,False
E_7f3f272e3c22,paper:P0002,exemplifies,tg_system:fe_ii_iii,P0002,True
E_2b12dd45259c,lever:counterion_condensation,adapted_into,program:PRG_88a7efad7dbd,P0344,False
E_694fe611df71,program:PRG_88a7efad7dbd,targets,tg_system:ferri_ferrocyanide,P0018,False
E_dd8a00968724,paper:P0018,exemplifies,tg_system:ferri_ferrocyanide,P0018,True
E_f2ce2e9561f0,lever:antifreeze_or_low_volatility_gel,adapted_into,program:PRG_cf22ac785fee,P0349,False
E_3ee0f75b75ce,program:PRG_cf22ac785fee,targets,tg_system:cobalt_complex,P0291,False
E_da7bb6b4832b,paper:P0291,exemplifies,tg_system:cobalt_complex,P0291,True
E_1117e03f21b9,lever:fixed_charge_selectivity,adapted_into,program:PRG_0f7a0b8392d8,P0400,False
E_2664cce81091,program:PRG_0f7a0b8392d8,targets,tg_system:ferri_ferrocyanide,P0041,False
E_552d280f877e,paper:P0041,exemplifies,tg_system:ferri_ferrocyanide,P0041,True
E_f8eec52b4a2a,lever:water_assisted_proton_transport,adapted_into,program:PRG_08afbdcdbb17,P0392,False
E_a2ea7ba4e738,program:PRG_08afbdcdbb17,targets,tg_system:quinone_hydroquinone,P0034,False
E_0810d295c8ad,lever:ion_electron_coupling,adapted_into,program:PRG_17b64f2815f3,P0353,False
E_73064ab54068,program:PRG_17b64f2815f3,targets,tg_system:fe_ii_iii,P0014,False
E_877425d95a8f,paper:P0014,exemplifies,tg_system:fe_ii_iii,P0014,True
E_9bf6b7e98657,lever:thermoosmotic_slip,adapted_into,program:PRG_4e691dc1cea3,P1053,False
E_11f555beb93b,program:PRG_4e691dc1cea3,targets,tg_system:ferri_ferrocyanide,P0018,False
E_b4dc62c6bc00,lever:hydrophobic_partitioning,adapted_into,program:PRG_4cca4840d8f1,P0336,False
E_fe069b06d1d8,program:PRG_4cca4840d8f1,targets,tg_system:iodide_triiodide,P0008,False
E_07aea1b63b55,lever:polarity_switching,adapted_into,program:PRG_00699a1a9edc,P0373,False
E_6d8e9d902e04,program:PRG_00699a1a9edc,targets,tg_system:iodide_triiodide,P0093,False
E_092aa692ba32,paper:P0093,exemplifies,tg_system:iodide_triiodide,P0093,True
E_df3a448fca22,lever:osmotic_or_concentration_gradient,adapted_into,program:PRG_791da0044d52,P0360,False
E_2a9c1aceff3e,program:PRG_791da0044d52,targets,tg_system:ferri_ferrocyanide,P0021,False
E_4ea8f7ff9092,paper:P0021,exemplifies,tg_system:ferri_ferrocyanide,P0021,True
E_98cf2c9cc50c,lever:ordered_ion_printing,adapted_into,program:PRG_55d2dd45b552,P0344,False
E_341f22be9b1e,program:PRG_55d2dd45b552,targets,tg_system:ferri_ferrocyanide,P0021,False
E_ad9268dc6828,lever:moisture_or_evaporation_gradient,adapted_into,program:PRG_086c824d735e,P1057,False
E_59787e3a3178,program:PRG_086c824d735e,targets,tg_system:any_tg,P0010,False
E_33d5d74ef149,paper:P0010,exemplifies,tg_system:any_tg,P0010,True
E_b69eb9267475,lever:host_guest_complexation,adapted_into,program:PRG_bee069aa7a26,P0337,False
E_a84f3dbf49fe,program:PRG_bee069aa7a26,targets,tg_system:iodide_triiodide,P0283,False
E_5238bbfcf3c7,paper:P0283,exemplifies,tg_system:iodide_triiodide,P0283,True
E_6cc67d50ce3e,lever:host_guest_complexation,adapted_into,program:PRG_be2befc69363,P0342,False
E_c874d1a06574,program:PRG_be2befc69363,targets,tg_system:ferri_ferrocyanide,P0030,False
