lever_code,lever_label_cn,target_redox_family,target_redox_system_cn,curated_program_count,program_ids,candidate_program_count,positive_control_count,cell_status,cell_interpretation
anion_entanglement,阴离子缠结,any_tg,通用 TG 红氧体系,0,,0,0,current_rules_uninstantiated,not covered by current curated rules; not a literature white space
anion_entanglement,阴离子缠结,cobalt_complex,Co 配合物氧化还原对,0,,0,0,current_rules_uninstantiated,not covered by current curated rules; not a literature white space
anion_entanglement,阴离子缠结,copper,Cu/Cu2+ 或 Cu 配合物,0,,0,0,current_rules_uninstantiated,not covered by current curated rules; not a literature white space
anion_entanglement,阴离子缠结,fe_ii_iii,Fe2+/Fe3+,1,PRG_0d4cbb7dc34c,1,0,curated_program_present,curated mapping exists; experimental validation pending or benchmark only
anion_entanglement,阴离子缠结,ferri_ferrocyanide,[Fe(CN)6]3−/[Fe(CN)6]4−,0,,0,0,current_rules_uninstantiated,not covered by current curated rules; not a literature white space
anion_entanglement,阴离子缠结,iodide_triiodide,I−/I3−,0,,0,0,current_rules_uninstantiated,not covered by current curated rules; not a literature white space
anion_entanglement,阴离子缠结,quinone_hydroquinone,醌/氢醌（Q/HQ）,0,,0,0,current_rules_uninstantiated,not covered by current curated rules; not a literature white space
antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,any_tg,通用 TG 红氧体系,0,,0,0,current_rules_uninstantiated,not covered by current curated rules; not a literature white space
antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,cobalt_complex,Co 配合物氧化还原对,1,PRG_cf22ac785fee,1,0,curated_program_present,curated mapping exists; experimental validation pending or benchmark only
antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,copper,Cu/Cu2+ 或 Cu 配合物,0,,0,0,current_rules_uninstantiated,not covered by current curated rules; not a literature white space
antifreeze_or_low_volatility_gel,抗冻/低挥发凝胶,fe_ii_iii,Fe2+/Fe3+,0,,0,0,current_rules_uninstantiated,not covered by current curated rules; not a literature white space
