paper_id,source_membership,source_records,year,title,journal,doi,abstract,material_raw,mechanism_raw,extracted_claim_count,eligible_claim_count,mapped_claim_count,mapped_program_count,mapped_program_ids,in_analysis_window,coverage_status
P0003,iTE|TG,TG_0002|iTE1_0004,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.161288,"Ionic thermoelectric generators (i-TEGs), capable of generating several tens of millivolts per Kelvin, have emerged as a promising technology for powering mu W or mW-level electric devices by recovering low-grade heat energy. However, the development of n-type i-TE materials still fall behind. In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple. It's found that the thermopower generated by the hydrogels show a significant dependence on Fe2+/3+ concentration due to the complexation interaction between Fe2+/3+and Cl- species. On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device. Consequently, the device based on gel Gel-Fe24 exhibits a balanced and high VOC and ISC, delivering a maximum Pmax/(Delta T)2 of 2.78 mW m-2 K-2 at Delta T = 10 K. In i-TE generator mode, the i-TEG with gel Gel-Fe24 can output a maximum energy density of 456J m-2 within the 1-hour discharging, and exhibit relatively good cyclic stability. A thermoelectric module consisting of seven thermoelectric cells in series was demonstrated to output a thermovoltage of -2.75 V and an instantaneous power of 0.278 mW, capable of continuously powering low-power electronic devices. This study illustrates the impact of Fe2+/3+ concentration on the thermopower and output performance of the i-TEG, providing an optimization route for the preparation of high-performance n-type ionic thermoelectric devices.",Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator,Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,0,0,0,0,,True,no_claim_unit_extracted
P0015,iTE|TG,TG_0014|iTE1_0952,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,ADVANCED MATERIALS,10.1002/adma.202300696,"Thermocells can continuously convert heat into electricity, and they are widely used to power wearable electronic devices. However, they have a risk of leakage and poor mechanical properties. Although quasi-solid ionic thermocells can overcome the issue of electrolyte leakage, the trade-off between their excellent mechanical properties and high thermopower remains a major challenge. In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1. The SPTC exhibits a high stretchability of 1300%, ultrahigh toughness of 163.4 MJ m(-3), and high specific output power density of 1969 & mu;W m(-2) K-2. These comprehensive properties are superior to those of previously reported quasi-solid stretchable thermogalvanic thermocells. The use of SPTC-based systems in wearable devices for energy-autonomous strain sensors and health monitoring is demonstrated. This can facilitate the rapid implementation of sustainable wearable electronics in the Internet of Things era.",stretchable PVA thermogalvanic thermocell,"stretching-induced crystallization couples with thermogalvanic redox effect to combine high strength, toughness, stretchability, and thermopower",0,0,0,0,,True,no_claim_unit_extracted
P0019,iTE|TG,TG_0018|iTE1_0857,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2024.150816,"The human hand provides rich sensory information for proper interaction with the environment. However, designing passive hand -sensing arrays with robust mechanical properties, high conductivity, ease of integration and reliability remains a long-term challenge. Here, we develop a robust dynamic crystalline ion -injected thermoelectric gel (DCI-TEG) via a simple solvent -exchange salt -out strategy. The resultant DCI-TEG exhibits high tensile strength (3.8 MPa), toughness (7.5 MJ m -3 ), and ionic conductivity of 1.84 S m -1 . Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output. By coupling thermogalvanic and piezoresistive effects, the DCI-TEG permits self -powered timely sensing of pressure using current signals. By implanting ionic thermoelectric module arrays on a glove, a wearable pressure sensing route is demonstrated with the merits of self -power, low cost and simple preparation. With the help of deep learning algorithms, a selfpowered recognition for sign language and objects is realized in wearable/portable scenarios by active highaccuracy pressure detection. This work gives people a new direction toward barrier -free passive communication and human - machine interaction in the next -generation artificial intelligence.",dynamic crystalline ion-injected thermoelectric gel DCI-TEG,solvent-exchange salting-out creates robust ionic gel that couples thermogalvanic current with piezoresistive pressure sensing,0,0,0,0,,True,no_claim_unit_extracted
P0020,iTE|TG,TG_0019|iTE1_0989,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,NANO LETTERS,10.1021/acs.nanolett.5c02774,"Achieving stable and sustained power output remains a major challenge in the development of ionic thermoelectric devices (such as thermogalvanic cells and thermoionic capacitors) for low-grade heat harvesting. Many such systems exhibit strong performance in the initial throes of operation but degrade rapidly over time, limiting their utility. Here, we report an aqueous thermogalvanic redox agent ([Ni(bpy)3]2+/3+) with a Seebeck coefficient approximately double that of the canonical [Fe(CN)6]4-/3-, which can be utilized continuously for multiple hours under large temperature gradients (Delta T >= 60 K) without significant change in electrical performance. Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower. This new redox pair demonstrates stability, cyclability, and tunability in both liquid- and gel-based electrolytes, and provides a novel redox platform from which to build next-generation high-thermopower waste-heat recovery cells.",aqueous [Ni(bpy)3]2+/3+ thermogalvanic redox agent,different hydration-shell behavior between oxidant/reductant creates configurational entropy difference for stable high thermopower,0,0,0,0,,True,no_claim_unit_extracted
P0021,iTE|TG,TG_0020|iTE1_0941,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,NANO ENERGY,10.1016/j.nanoen.2025.111189,"Thermogalvanic cells (TGCs) have emerged as a promising technology for harvesting low-grade thermal energy, but their widespread application has been hindered by limited conversion efficiencies. A critical factor in enhancing TGC performance lies in establishing substantial ion concentration gradients, which remains challenging due to the inherent tendency of ion pairing. Here, we present a double-layer thermogalvanic cell (DTGC) architecture that spatially segregates redox pairs into two distinct gel layers, enabling unprecedented control over ion concentration gradients. This innovative design yields a single p-type gelatin-K-4[Fe(CN)(6)]/K-3[Fe(CN)(6)] DTGC unit with remarkable performance metrics of an open-circuit voltage of 220 mV, a power density of 1.73 mW m(-2) K-2, and a relative Carnot efficiency (eta(r)) of 1.34 % at Delta T = 10 K, representing a tenfold improvement over conventional TGCs. Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays. This work establishes a new paradigm for efficient low-grade thermal energy conversion, offering a scalable and practical solution for waste heat recovery applications.",double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell,spatially separated redox gel layers maintain ion concentration gradients and boost thermogalvanic voltage/efficiency,0,0,0,0,,True,no_claim_unit_extracted
P0023,iTE|TG,TG_0022|iTE1_0804,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,ACS APPLIED POLYMER MATERIALS,10.1021/acsapm.5c02573,"Energy is fundamental to human survival and development and also serves as a crucial driving force for sustainable economic growth. Due to the limited efficiency of energy conversion, electronic devices operating at high loads generate substantial amounts of low-grade waste heat. Recycling and reusing of this waste heat can lead to significant energy savings. The present thermoelectric materials typically exhibit low thermopower (or Seebeck coefficient), making it challenging to efficiently recover low-grade waste heat. This study rapidly fabricated polyacrylamide hydrogels via aqueous polymerization and then introduced the Fe(CN)6 3-/4- redox couple and guanidine hydrochloride through solvent exchange to produce the thermogalvanic ionic hydrogel (TGIH). Subsequently, the water retention and mechanical properties of TGIH were enhanced by introducing the natural moisturizing factor sodium pyrrolidone carboxylate. The TGIH exhibited a high Seebeck coefficient of 5.49 mV/K, a high specific power density of 1213.29 mu W/m2K2, a high water retention rate of 62.7%, a great tensile fracture rate of 523.65%, and a toughness of 0.167 MJ/m3. In addition, an application case is carried on using smartphones; this work demonstrated the TGIH's capability to efficiently dissipate heat from electronic devices while simultaneously recovering low-grade waste heat. The TGIH can promote the recovery and utilization of low-grade thermal energy and holds significant application potential in sustainable wearable electronics.","polyacrylamide hydrogel with Fe(CN)6 3-/4-, guanidine hydrochloride, sodium pyrrolidone carboxylate",redox thermogalvanic effect harvests device waste heat; guanidine boosts thermopower and sodium PCA improves water retention/mechanics,0,0,0,0,,True,no_claim_unit_extracted
P0032,iTE|TG,TG_0031|iTE2_0209,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,NANO ENERGY,10.1016/j.nanoen.2025.111686,"Integrating thermal sensation into intelligent robotics is essential for advanced environmental perception and adaptive interaction. Ionic thermoelectric hydrogels represent a promising avenue for next-generation thermal sensors, yet further improvements in sensitivity, structural design, and integration are needed. Here, we present flexible, high-performance thermal sensor arrays based on organic thermogalvanic hydrogels, achieving a high sensitivity of 1.57 mV K-1 and a rapid response time of 0.4 s. The enhanced sensing performance stems from the optimized thermopower in benzoquinone/hydroquinone (BQ/H(2)BQ) redox pairs and the highly reversible electrode reaction process. The adopted hydrogel exhibits outstanding thermopower retention and wide operational temperature range (>50 degrees C), facilitated by ethylene glycol solvent exchange. Leveraging integrated heating and sensing functionalities, the hydrogel thermal sensor arrays enable material recognition through machine learning analysis of thermal signatures. Moreover, we demonstrate a high-density sensor array for mapping spatial temperature distributions generated by diverse heat sources. This work establishes organic thermogalvanic hydrogels as a scalable platform for thermal sensing in next-generation robotics and wearable devices.",organic thermogalvanic hydrogel with benzoquinone/hydroquinone redox pair and ethylene glycol,"optimized BQ/H2BQ reversible electrode reaction and EG solvent exchange provide fast, stable thermal sensing",0,0,0,0,,False,outside_analysis_freeze_window
P0047,iTE|TG,TG_0046|iTE2_0464,2022,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,NANO-MICRO LETTERS,10.1007/s40820-022-00824-6,"The design of power supply systems for wearable applications requires both flexibility and durability. Thermoelectrochemical cells (TECs) with large Seebeck coefficient can efficiently convert low-grade heat into electricity, thus having attracted considerable attention in recent years. Utilizing hydrogel electrolyte essentially addresses the electrolyte leakage and complicated packaging issues existing in conventional liquid-based TECs, which well satisfies the need for flexibility. Whereas, the concern of mechanical robustness to ensure stable energy output remains yet to be addressed. Herein, a flexible quasi-solid-state TEC is proposed based on the rational design of a hydrogel electrolyte, of which the thermogalvanic effect and mechanical robustness are simultaneously regulated via the multivalent ions of a redox couple. The introduced redox ions not only endow the hydrogel with excellent heat-to-electricity conversion capability, but also act as ionic crosslinks to afford a dual-crosslinked structure, resulting in reversible bonds for effective energy dissipation. The optimized TEC exhibits a high Seebeck coefficient of 1.43 mV K-1 and a significantly improved fracture toughness of 3555 J m(-2), thereby can maintain a stable thermoelectrochemical performance against various harsh mechanical stimuli. This study reveals the high potential of the quasi-solid-state TEC as a flexible and durable energy supply system for wearable applications.",flexible quasi-solid hydrogel thermocell with multivalent redox ions,redox ions provide thermogalvanic conversion and reversible ionic crosslinks for mechanical robustness,0,0,0,0,,True,no_claim_unit_extracted
P0060,iTE|TG,TG_0059|iTE2_0521,2023,"Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells",JOURNAL OF CHEMICAL PHYSICS,10.1063/5.0131731,"Thermogalvanic cells convert waste heat directly to electric work. There is an abundance of waste heat in the world and thermogalvanic cells may be underused. We discuss theoretical tools that can help us understand and therefore improve on cell performance. One theory is able to describe all aspects of the energy conversion: nonequilibrium thermodynamics. We recommend to use the theory with operationally defined, independent variables, as others have done before. These describe well-defined experiments. Three invariance criteria serve as a basis for any description: of local electroneutrality, entropy production invariance, and emf's independence of the frame of reference. Alternative formalisms, using different sets of variables, start with ionic or neutral components. We show that the heat flux is not the same in the two formalisms and derive a new relationship between the heat fluxes. The heat flux enters the definition of the Peltier coefficient and is essential for the understanding of the Peltier heat at the electrode interfaces and of the Seebeck coefficient of the cell. The Soret effect can occur independently of any Seebeck effect, but the Seebeck effect will be affected by the presence of a Soret effect. Common misunderstandings are pointed out. Peltier coefficients are needed for the interpretation and design of experiments.",thermogalvanic cell transport model with ionic/neutral-component formalisms,"nonequilibrium thermodynamics relates Seebeck, Peltier, and Soret effects; heat-flux definition controls interpretation of interfacial heat and cell thermopower",0,0,0,0,,True,no_claim_unit_extracted
P0062,iTE|TG,TG_0061|iTE1_0638,2023,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,NANO ENERGY,10.1016/j.nanoen.2022.108077,"Thermoelectric hydrogels can be used as energy conversion devices to convert low-grade heat into practical electricity for sustainable energy supply. However, current redox couple-based thermogalvanic gel electrolytes contain toxic metal elements, limiting their non-toxic and environmentally sustainable development. Here, a stretchable, flexible gel thermoelectric device is created by introducing a novel non-toxic redox couple of SO42-/ SO32-for the first time, which exhibits a high Seebeck coefficient (Se) of 1.63 mV K-1 at the optimal redox couple concentration of 0.1 M. The tensile/compressive stress and deformation at break of the hydrogel electrolyte achieves a superior index due to the hybrid structure formed between PEDOT: PSS and SO42-/SO32-ion-promoted crosslinking PVA network. By subtly doping additional electrolyte ions, the gel affords a favorable ionic con-ductivity and thermoelectric performance. Furthermore, this PVA-SO4/3 2-hydrogel shows the capacity of har-vesting biothermal energy for operating small electronics at body temperature. This work breaks with conventional redox couples and represents a step towards green sustainable self-powered wearables using a new redox couple with a favorable thermoelectric performance.",PVA-PEDOT:PSS hydrogel with SO42-/SO32- redox couple,SO42-/SO32- provides non-toxic thermogalvanic redox and promotes PVA crosslinking/PEDOT:PSS hybrid structure for biothermal energy harvesting,0,0,0,0,,True,no_claim_unit_extracted
