program_id,program_title_cn,prior_art_relation,TG_paper_id,TG_year,TG_title,TG_doi,TG_material,TG_mechanism,target_redox_family
PRG_0d4cbb7dc34c,用阴离子缠结调节 Fe2+/Fe3+ TG 的支持离子热扩散项,related,P0014,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex,"PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",fe_ii_iii
PRG_88a7efad7dbd,测试多阳离子链的 Manning 凝聚能否区分 3−/4− 红氧阴离子,related,P0041,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,gold electrodes modified with (3-trimethylammonium bromide)thiopropane SAMs in K3/K4[Fe(CN)6] thermocells,electrostatically charged SAMs electrocatalyze ferri/ferrocyanide redox and suppress gold passivation,ferri_ferrocyanide
PRG_e948eab97497,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,related,P0093,2019,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,10.1016/j.nanoen.2018.12.073,I-/I3- thermogalvanic cell with PNIPAM thermosensitive nanogels,"PNIPAM nanogels selectively capture I3- at hot side and release at cold side, creating free-I3- concentration gradient and p-n Seebeck inversion",iodide_triiodide
PRG_e948eab97497,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,related,P0299,2018,Thermo-electrochemical cells empowered by selective inclusion of redox-active ions by polysaccharides,10.1039/c7se00470b,I-/I3- thermo-electrochemical cells with starch or PVP polysaccharide/polymer hosts,selective polymer inclusion of I3- at cold side changes free triiodide concentration and increases Seebeck coefficient,iodide_triiodide
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0127,1996,"Power conversion efficiency, electrode separation, and overpotential in the ferricyanide/ferrocyonide thermogalvanic cell",10.1149/1.1837047,ferricyanide/ferrocyanide thermogalvanic cell with platinum electrodes and cold-above-hot configuration,larger electrode separation reduces current but improves efficiency plateau; ohmic overpotential dominates while convection prevents mass-transport limits,ferri_ferrocyanide
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0128,1995,THE POWER CONVERSION EFFICIENCIES OF A THERMOGALVANIC CELL OPERATED IN 3 DIFFERENT ORIENTATIONS,10.1149/1.2048394,ferricyanide/ferrocyanide thermogalvanic cell in KCl with platinum electrodes,"cell orientation controls convection, mass transport, and ohmic limitations, changing power conversion efficiency during continuous operation",ferri_ferrocyanide
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0133,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,10.1007/bf01041456,undivided flow thermogalvanic cell with Fe(CN)6 3-/4- in NaOH and two aqueous electrolytes at different temperatures,separated hot/cold electrolyte streams maintain thermal boundary layers while Butler-Volmer kinetics and mass/charge transfer limit output,ferri_ferrocyanide
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0205,2021,Thermally regenerative electrochemically cycled flow batteries with pH neutral electrolytes for harvesting low-grade heat,10.1039/d1cp01988k,pH-neutral TREC flow battery with KI/KI3 catholyte and K3/K4[Fe(CN)6] anolyte,temperature-dependent redox potentials enable continuous low-grade heat harvesting; porous-electrode mass transfer and membrane resistance limit performance,ferri_ferrocyanide
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0252,2025,"A Room-Temperature Excessively Concentrated Polyanionic Polymer Hydrogel Thermocell with High Absorbency, Retainability and Extensibility",10.1021/acsaem.5c00167,PANa-SA polyanionic hydrogel thermocell with concentrated K3/K4[Fe(CN)6],"carboxylate-rich sodium polyacrylate/sodium alginate lowers redox mass-transfer resistance and retains water, enabling high-concentration ferri/ferrocyanide output",ferri_ferrocyanide
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0270,2024,Strong concentration gradient effect and weak solvation effect in thermopower enhancement in K 3 Fe(CN) 6 / K 4 Fe(CN) 6 aqueous electrolyte with ethanol addition,10.1016/j.cej.2024.152806,K3/K4Fe(CN)6 aqueous electrolyte with ethanol addition,ethanol-induced thermosensitive K4Fe(CN)6 solubility creates large ferrocyanide concentration gradient and suppresses heat convection,ferri_ferrocyanide
