layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
1,C6181968680,CE6FC512ED2,graphene,dynamic crosslinked gel network,material_entity,gel_microstructure,0.2073949128389358,28,26,26,28,19,9,9,19,0.4736842105263157,12,7,19,3.0,1.6666666666666667,10,3,11,0.2558139534883721,3.312105189530183,728,1,1,0,0,1,0,6,2,8,1,2022,2023-2026,0,0.8643905316296338,0.2516560114859075,0.9398753894080996,0.7012980269989615,0.9264797507788164,1,4,M-X,material-mechanism
2,C4B2BA55977,C7932B1CE8C,KNO3,chaotropic polymer-water disruption,material_entity,gel_microstructure,0.1484483033418655,10,17,10,17,2,4,2,4,0.5,2,2,4,0.6666666666666666,0.0,2,4,6,0.2857142857142857,2.0679485123441186,170,1,1,0,0,1,0,2,5,7,1,2022,2023-2026,0,0.9312672864662904,0.4737818573686709,0.987435098650052,0.4704049844236759,0.8847352024922119,1,20,M-X,material-mechanism
3,C3DA2C4151E,C84C6A613D4,aqueous electrolyte,cellulose nanofiber scaffold,material_system,gel_microstructure,0.2309776693582534,7,25,7,25,2,17,2,17,0.1176470588235294,1,15,16,0.3333333333333333,4.333333333333333,9,5,6,0.2307692307692307,2.265531952032143,175,1,1,0,0,1,0,5,3,8,1,2022,2023-2026,0,0.8386865421516176,0.2889983555186473,0.9481827622014538,0.5403115264797508,0.8843198338525442,1,21,M-X,material-mechanism
4,C3970EB273E,CA8C62A4868,gelatin,redox reaction entropy,material_entity,solvation_entropy,0.0810289531946182,21,19,19,21,7,7,7,7,1.0,7,4,11,2.3333333333333335,0.6666666666666666,2,8,6,0.1764705882352941,1.82617448645454,399,1,1,0,0,1,0,4,11,15,1,2022,2023-2026,0,0.9799649753485512,0.340796048821756,0.97331256490135,0.4597819314641744,0.8718587746625129,1,35,M-X,material-mechanism
5,CAEB010ACF4,CB25BC3FC14,polyethylene glycol (PEG),double/interpenetrating network,material_entity,gel_microstructure,0.2434688508510589,20,10,10,20,7,2,2,7,0.2857142857142857,3,2,5,0.3333333333333333,0.6666666666666666,8,0,7,0.3043478260869565,2.6839782423982896,200,1,1,0,0,1,0,0,1,1,0,2022,2023-2026,0,0.5993668458153094,0.2462538317747913,0.922429906542056,0.5627933541017653,0.8693665628245068,1,38,M-X,material-mechanism
6,C6181968680,C7932B1CE8C,graphene,chaotropic polymer-water disruption,material_entity,gel_microstructure,0.1059188544750213,28,17,17,28,19,4,4,19,0.2105263157894736,12,2,14,3.0,0.0,10,4,5,0.125,1.5248392833597442,476,1,1,0,0,1,0,6,5,11,1,2022,2023-2026,0,0.889381827768724,0.4005811272058291,0.9764278296988578,0.4065316718587746,0.8544132917964694,1,44,M-X,material-mechanism
7,C08389FD6C6,C9642D16DCA,moisture-gradient ion transport,graphene oxide,transport_mechanism,material_entity,0.0532318167388439,33,18,18,33,27,9,9,27,0.3333333333333333,17,5,22,3.6666666666666665,1.0,20,10,8,0.1860465116279069,2.335081248856851,594,1,1,0,0,1,0,4,4,8,1,2022,2023-2026,0,0.6053884691874172,0.2115090863594298,0.8944963655244029,0.5667497403946001,0.85067497403946,1,47,M-X,material-mechanism
8,C275FB7C4B0,CDF78985483,iodide/triiodide redox chemistry,nanocomposite,redox_chemistry,material_system,0.0422836877405643,21,21,21,21,18,13,13,18,0.7222222222222222,9,7,16,1.6666666666666667,0.3333333333333333,12,5,6,0.1666666666666666,2.1773512435933915,441,1,1,0,0,1,0,8,1,9,1,2022,2023-2026,0,0.8257901320070719,0.2306072519996929,0.9215991692627206,0.4946417445482866,0.8456905503634476,1,51,M-X,material-mechanism
9,C6210B1A223,C872881EC3C,reduced graphene oxide,gel-confined redox transport,material_entity,gel_microstructure,0.1178820580244064,7,19,7,19,3,8,3,8,0.375,3,8,11,1.0,2.6666666666666665,2,2,4,0.1818181818181818,1.1785180068361372,133,1,1,0,0,1,0,3,7,10,1,2022,2023-2026,0,0.9594734145558116,0.5642649718725038,0.9954309449636553,0.3376947040498442,0.8448598130841122,1,53,M-X,material-mechanism
10,C275FB7C4B0,C37031A3390,iodide/triiodide redox chemistry,cellulose,redox_chemistry,material_entity,0.0595256239175796,21,22,21,22,18,12,12,18,0.6666666666666666,9,10,19,1.6666666666666667,2.6666666666666665,12,5,6,0.1621621621621621,2.8500771091490877,462,1,1,0,0,1,0,8,1,9,1,2022,2023-2026,0,0.826813203596629,0.1974668134351632,0.8936656282450675,0.540301142263759,0.8388369678089305,0,59,M-X,material-mechanism
