layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
1,C08389FD6C6,C539540C36B,moisture-gradient ion transport,nanochannel-confined ion transport,transport_mechanism,transport_mechanism,0.6501357555389404,33,16,16,33,27,4,4,27,0.1481481481481481,17,3,20,3.6666666666666665,0.6666666666666666,20,4,8,0.1951219512195122,3.1134003247576834,528,1,1,1,0,0,1,4,0,4,0,2022,2023-2026,0,0.8180222194440772,0.2494564107829099,0.9349948078920042,0.7083800623052959,0.9235721703011422,1,5,X-X,mechanism-mechanism
2,C5E63317596,CE6FC512ED2,hierarchical porous electrode interface,dynamic crosslinked gel network,electrode_interface,gel_microstructure,0.2397240549325943,13,26,13,26,2,9,2,9,0.2222222222222222,2,7,9,0.6666666666666666,1.6666666666666667,0,3,8,0.2580645161290322,3.0837407420685117,338,1,1,0,0,0,1,2,2,4,1,2022,2023-2026,0,0.950083220529992,0.3244197074599976,0.9666666666666668,0.6236967808930425,0.9214953271028038,1,7,X-X,mechanism-mechanism
3,C7932B1CE8C,CE6FC512ED2,chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.5335185527801514,17,26,17,26,4,9,4,9,0.4444444444444444,2,7,9,0.0,1.6666666666666667,4,3,6,0.1621621621621621,1.8415286885786948,442,1,1,1,0,0,1,5,2,7,1,2022,2023-2026,0,0.9439916165452352,0.4601528464020182,0.9869158878504672,0.5499273104880581,0.9125649013499482,1,10,X-X,mechanism-mechanism
4,C275FB7C4B0,CEA29EF1A99,iodide/triiodide redox chemistry,thermal-gradient heat-transfer control,redox_chemistry,device_mechanism,0.0168948471546173,21,16,16,21,18,13,13,18,0.7222222222222222,9,7,16,1.6666666666666667,1.0,12,9,7,0.2333333333333333,2.457605129395706,336,1,1,0,0,0,1,8,8,16,1,2022,2023-2026,0,0.9721801877706472,0.5190447962168796,0.9922118380062306,0.5382242990654206,0.911318795430945,1,11,X-X,mechanism-mechanism
5,C5E63317596,CB25BC3FC14,hierarchical porous electrode interface,double/interpenetrating network,electrode_interface,gel_microstructure,0.3161391615867615,13,10,10,13,2,2,2,2,1.0,2,2,4,0.6666666666666666,0.6666666666666666,0,0,8,0.5333333333333333,2.9563739365953947,130,1,1,0,0,0,1,2,1,3,1,2022,2023-2026,0,0.9895944107719586,0.2858665098246126,0.954932502596054,0.6031152647975078,0.906957424714434,1,13,X-X,mechanism-mechanism
6,C275FB7C4B0,CBFAB31D6E6,iodide/triiodide redox chemistry,electrostatic interaction,redox_chemistry,solvation_entropy,0.2178097069263458,21,16,16,21,18,6,6,18,0.3333333333333333,9,3,12,1.6666666666666667,0.6666666666666666,12,7,5,0.15625,1.8482468388345727,336,1,1,0,0,0,1,8,1,9,1,2022,2023-2026,0,0.9274401609974112,0.5729677791034676,0.9947040498442368,0.468307372793354,0.8899273104880582,1,15,X-X,mechanism-mechanism
7,C5E63317596,CC028ABF9C6,hierarchical porous electrode interface,anti-freezing organohydrogel design,electrode_interface,gel_microstructure,0.194715604186058,13,37,13,37,2,15,2,15,0.1333333333333333,2,7,9,0.6666666666666666,1.0,0,15,7,0.1627906976744186,2.785271786336738,481,1,1,0,0,0,1,2,6,8,1,2022,2023-2026,0,0.9004925623416885,0.2577685937015552,0.9456905503634476,0.5569989615784008,0.8882658359293873,1,17,X-X,mechanism-mechanism
8,C00DD823894,C84C6A613D4,organic redox molecular design,cellulose nanofiber scaffold,redox_chemistry,gel_microstructure,0.1698009669780731,10,25,10,25,8,17,8,17,0.4705882352941176,3,15,18,0.3333333333333333,4.333333333333333,9,5,5,0.1666666666666666,2.096654183757269,250,1,1,0,0,0,1,2,3,5,1,2022,2023-2026,0,0.8986580895567845,0.4143333568718105,0.9791277258566976,0.4791277258566977,0.8836967808930426,1,23,X-X,mechanism-mechanism
9,C00DD823894,C275FB7C4B0,organic redox molecular design,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,0.5952603220939636,10,21,10,21,8,18,8,18,0.4444444444444444,3,9,12,0.3333333333333333,1.6666666666666667,9,12,4,0.1481481481481481,1.5207522857327769,210,1,1,1,0,0,1,2,8,10,1,2022,2023-2026,0,0.9263125748199856,0.5405365877390012,0.9908618899273104,0.4580581516095534,0.8834890965732087,1,24,X-X,mechanism-mechanism
10,C3002C089A5,CC5968B917E,ionic thermodiffusion (Soret effect),convection and mass transport,transport_mechanism,transport_mechanism,0.3277872204780578,46,11,11,46,42,8,8,42,0.1904761904761904,26,2,28,5.666666666666667,0.3333333333333333,23,23,6,0.1176470588235294,2.2548455210090523,506,1,1,1,0,0,1,15,11,26,1,2022,2023-2026,0,0.9764900437374054,0.2181613752370994,0.92263759086189,0.5793561786085151,0.8755970924195222,1,27,X-X,mechanism-mechanism
11,CBFAB31D6E6,CC028ABF9C6,electrostatic interaction,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,0.1755702495574951,16,37,16,37,6,15,6,15,0.4,3,7,10,0.6666666666666666,1.0,7,15,7,0.1521739130434782,2.590251951506251,592,1,1,0,0,0,1,1,6,7,1,2022,2023-2026,0,0.8221562512242183,0.2475881390839165,0.9343717549325026,0.5444859813084112,0.8735202492211839,1,31,X-X,mechanism-mechanism
12,C3002C089A5,CEA29EF1A99,ionic thermodiffusion (Soret effect),thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,0.3174004256725311,46,16,16,46,42,13,13,42,0.3095238095238095,26,7,33,5.666666666666667,1.0,23,9,4,0.0689655172413793,1.2731551386780593,736,1,1,0,0,0,1,15,8,23,1,2022,2023-2026,0,0.9876459198544298,0.3574691059633151,0.9763239875389408,0.4581931464174454,0.8728971962616823,1,32,X-X,mechanism-mechanism
13,C188B56F6F1,CE6FC512ED2,ion-selectivity membrane transport,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,0.0943566262722015,42,26,26,42,23,9,9,23,0.391304347826087,11,7,18,2.0,1.6666666666666667,23,3,13,0.2363636363636363,4.858072863957723,1092,1,1,0,0,0,1,9,2,11,1,2022,2023-2026,0,0.7934521636343752,0.1810382265203441,0.8731048805815161,0.708006230529595,0.8726895119418484,1,33,X-X,mechanism-mechanism
14,C8AD5B453CC,CC5968B917E,ion diffusion,convection and mass transport,transport_mechanism,transport_mechanism,0.5085238218307495,42,11,11,42,19,8,8,19,0.4210526315789473,12,2,14,3.0,0.3333333333333333,23,23,7,0.1521739130434782,2.6340514668758495,462,1,1,1,0,0,1,2,11,13,1,2022,2023-2026,0,0.7827356413103684,0.2062317679197527,0.9004153686396678,0.6210176531671858,0.8701973001038422,1,36,X-X,mechanism-mechanism
15,C8AD5B453CC,CBA7A0F0CA3,ion diffusion,thermogalvanic redox conversion,transport_mechanism,device_mechanism,0.1931621432304382,42,24,24,42,19,11,11,19,0.5789473684210527,12,7,19,3.0,1.0,23,5,6,0.1,2.1645995232212902,1008,1,1,0,0,0,1,2,41,43,1,2022,2023-2026,0,0.9984846563510884,0.235190090911337,0.933644859813084,0.5308930425752856,0.8656282450674975,1,40,X-X,mechanism-mechanism
16,C10D3798CF7,CF203EF8121,selective solvation,Eastman entropy of transfer,solvation_entropy,solvation_entropy,0.6834225654602051,9,10,9,10,3,7,3,7,0.4285714285714285,2,2,4,0.3333333333333333,-1.0,3,5,3,0.1875,1.01657498481083,90,1,1,1,0,0,1,6,2,8,1,2022,2023-2026,0,0.9789773108440224,0.5922708165384112,0.998442367601246,0.3695950155763239,0.8581516095534788,1,43,X-X,mechanism-mechanism
17,CBFAB31D6E6,CEA29EF1A99,electrostatic interaction,thermal-gradient heat-transfer control,solvation_entropy,device_mechanism,0.0281407237052917,16,16,16,16,6,13,6,13,0.4615384615384615,3,7,10,0.6666666666666666,1.0,7,9,4,0.1428571428571428,1.603729634755778,256,1,1,0,0,0,1,1,8,9,1,2022,2023-2026,0,0.893202432383015,0.5589016573385933,0.9907580477673936,0.3603115264797507,0.8498442367601247,1,49,X-X,mechanism-mechanism
18,C5E47CC0A62,CBFAB31D6E6,Hofmeister/chaotropic effect,electrostatic interaction,gel_microstructure,solvation_entropy,0.3215691447257995,12,16,12,16,3,6,3,6,0.5,2,3,5,0.3333333333333333,0.6666666666666666,4,7,3,0.12,1.41217117033822,192,1,1,0,0,0,1,2,1,3,1,2022,2023-2026,0,0.9218294017334904,0.4930960184064328,0.9875389408099688,0.3585877466251298,0.8471443406022846,1,50,X-X,mechanism-mechanism
19,C539540C36B,C84C6A613D4,nanochannel-confined ion transport,cellulose nanofiber scaffold,transport_mechanism,gel_microstructure,0.1793832927942276,16,25,16,25,4,17,4,17,0.2352941176470588,3,15,18,0.6666666666666666,4.333333333333333,4,5,6,0.1714285714285714,2.418756534179653,400,1,1,0,0,0,1,0,3,3,0,2022,2023-2026,0,0.7548816616632528,0.2019361908701334,0.8946002076843198,0.5431775700934579,0.8425752855659397,1,54,X-X,mechanism-mechanism
