layer_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
1,C73B79C2209,C9910E60ABA,[Fe(CN)6],carbon nanotube,material_entity,material_entity,0.4951863884925842,13,28,13,28,4,11,4,11,0.3636363636363636,2,2,4,0.3333333333333333,-0.6666666666666666,10,12,9,0.28125,3.0496020775063433,364,2,1,1,1,0,0,2022,2023-2026,1,0.3081266946412928,0.1670398129717849,0.8604363935776039,0.9150473445862496,0.8879374228077398,0,137,M-M,material-material
2,C3970EB273E,C9910E60ABA,gelatin,carbon nanotube,material_entity,material_entity,0.3244827091693878,21,28,21,28,4,11,4,11,0.3636363636363636,4,2,6,1.3333333333333333,-0.6666666666666666,2,12,9,0.225,2.8183939657074157,588,2,1,1,1,0,0,2022,2023-2026,0,0.1649908088788397,0.1269755334141971,0.7731576780568135,0.9100370522848908,0.8180321119802387,0,324,M-M,material-material
3,C130B58DCFB,C2866DCD56B,ferri/ferrocyanide,PEDOT,material_entity,material_entity,0.3629423379898071,44,10,10,44,20,2,2,20,0.1,5,0,5,-0.6666666666666666,-0.6666666666666666,28,5,7,0.1489361702127659,2.159127663445462,440,2,1,1,1,0,0,2022,2023-2026,0,0.150533004202541,0.1482705805917478,0.8262659530671058,0.8857101687937424,0.8597776862906545,0,211,M-M,material-material
4,C10626AE9E8,C73B79C2209,[Fe(CN)6]3-/4-,[Fe(CN)6],material_entity,material_entity,0.964477002620697,11,13,11,13,4,4,4,4,1.0,2,2,4,0.6666666666666666,0.3333333333333333,28,10,6,0.3333333333333333,1.91767795597811,143,2,1,1,1,0,0,2022,2023-2026,0,0.4747867794702174,0.077241315786443,0.5574310415808975,0.8804775627830383,0.6439687114038699,0,827,M-M,material-material
5,C130B58DCFB,C7096F6ECC5,ferri/ferrocyanide,imidazolium ionic-liquid phase transition electrolyte,material_entity,material_system,0.219869926571846,44,13,13,44,20,5,5,20,0.25,5,2,7,-0.6666666666666666,0.6666666666666666,28,8,8,0.1632653061224489,2.555233371057085,572,2,1,0,1,0,0,2022,2023-2026,0,0.1574089107724859,0.0956151643993611,0.6566488266776451,0.869230135858378,0.7225195553725813,0,602,M-M,material-material
6,C2106B674B9,C3970EB273E,iodide/triiodide,gelatin,material_entity,material_entity,0.2601801753044128,20,21,20,21,7,4,4,7,0.5714285714285714,2,4,6,0.0,1.3333333333333333,7,2,6,0.1714285714285714,1.7682040089594495,420,2,1,1,1,0,0,2022,2023-2026,1,0.1828613353602893,0.0688974204542221,0.5022643062988884,0.8665994236311239,0.5987649238369699,0,962,M-M,material-material
7,C130B58DCFB,C78B8F896F7,ferri/ferrocyanide,polyacrylamide (PAM),material_entity,material_entity,0.276228666305542,44,10,10,44,20,2,2,20,0.1,5,2,7,-0.6666666666666666,0.6666666666666666,28,0,6,0.125,1.930920259412221,440,2,1,1,1,0,0,2022,2023-2026,1,0.2136314322473995,0.0745882673759669,0.5389048991354467,0.8622766570605187,0.6275833676410045,0,876,M-M,material-material
8,C7B823B5BB0,C9910E60ABA,poly(vinyl alcohol) (PVA),carbon nanotube,material_entity,material_entity,0.4689512550830841,12,28,12,28,2,11,2,11,0.1818181818181818,2,2,4,0.6666666666666666,-0.6666666666666666,0,12,5,0.1428571428571428,1.5253808249005696,336,2,1,1,1,0,0,2022,2023-2026,1,0.2477017638053997,0.1262854634914329,0.7706875257307534,0.8583326471799094,0.8129271305063812,0,336,M-M,material-material
9,C4CEC954E12,C9910E60ABA,platinum electrode,carbon nanotube,material_entity,material_entity,0.4515255689620971,16,28,16,28,6,11,6,11,0.5454545454545454,0,2,2,-0.3333333333333333,-0.6666666666666666,31,12,7,0.1891891891891892,2.070428909517146,448,2,1,1,1,0,0,2022,2023-2026,1,0.1409204576206004,0.1045129375307176,0.6961712638946068,0.8580403458213258,0.7532317826265953,0,498,M-M,material-material
10,C130B58DCFB,C5B8C057FAD,ferri/ferrocyanide,metal oxide,material_entity,material_system,0.4552344679832458,44,8,8,44,20,2,2,20,0.1,5,1,6,-0.6666666666666666,0.0,28,4,5,0.1063829787234042,1.46999516447017,352,2,1,0,1,0,0,2022,2023-2026,0,0.2185831041373669,0.1415672035206534,0.8126801152737753,0.8570522848909017,0.8463565253190614,0,244,M-M,material-material
