layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
1,C4CEC954E12,C872881EC3C,platinum electrode,gel-confined redox transport,material_entity,gel_microstructure,0.2869496047496795,16,22,16,22,6,7,6,7,0.8571428571428571,0,7,7,-0.3333333333333333,2.3333333333333335,31,2,7,0.2258064516129032,2.029762591681313,352,2,1,0,0,1,0,2022,2023-2026,0,0.5149310015082174,0.0640465945758293,0.4722107863318238,0.892536023054755,0.576780568135035,0,1021,M-X,material-mechanism
2,C2106B674B9,C25D09DDC57,iodide/triiodide,Fe2+/Fe3+ solvation redox chemistry,material_entity,redox_chemistry,0.3139265775680542,20,28,20,28,7,19,7,19,0.3684210526315789,2,8,10,0.0,0.3333333333333333,7,27,6,0.1428571428571428,1.7653839954123545,560,2,1,0,0,1,0,2022,2023-2026,0,0.2846156249790523,0.2613559599167893,0.9592424866200082,0.881272128447921,0.965582544256896,1,15,M-X,material-mechanism
3,C25D09DDC57,CD3462DB8FF,Fe2+/Fe3+ solvation redox chemistry,CuSO4,redox_chemistry,material_entity,0.2402528226375579,28,11,11,28,19,4,4,19,0.2105263157894736,8,1,9,0.3333333333333333,0.0,27,9,7,0.21875,2.1035219074754705,308,2,1,0,0,1,0,2022,2023-2026,0,0.5709455179648755,0.3005302449334602,0.9736517085220256,0.8803375874845616,0.9768629065459036,1,7,M-X,material-mechanism
4,C3F66DD37CA,CBA7A0F0CA3,H2O,thermogalvanic redox conversion,material_entity,device_mechanism,0.2823755741119385,8,60,8,60,2,41,2,41,0.048780487804878,1,19,20,0.3333333333333333,2.3333333333333335,24,28,7,0.1147540983606557,2.3141110986306,480,2,1,0,0,1,0,2022,2023-2026,0,0.9330332386534936,0.1661275117466001,0.859201317414574,0.874825030876904,0.8850555784273364,0,141,M-X,material-mechanism
5,C6210B1A223,CB56BB4DDB0,reduced graphene oxide,carbon-electrode redox interface,material_entity,electrode_interface,0.3670278191566467,12,21,12,21,3,7,3,7,0.4285714285714285,1,2,3,0.3333333333333333,0.0,10,24,7,0.2692307692307692,2.115901512875966,252,2,1,0,0,1,0,2022,2023-2026,0,0.5526665775020542,0.1294918921657486,0.7822149032523672,0.868205022643063,0.8228077398106217,0,313,M-X,material-mechanism
6,C3002C089A5,C3DA2C4151E,ionic thermodiffusion (Soret effect),aqueous electrolyte,transport_mechanism,material_system,0.2416246384382248,24,17,17,24,15,5,5,15,0.3333333333333333,7,0,7,2.0,-0.6666666666666666,27,24,6,0.1714285714285714,1.7744791028350004,408,2,1,0,0,1,0,2022,2023-2026,0,0.6167784765880189,0.2612752911665897,0.9588307945656648,0.8635611362700699,0.963771099217785,1,17,M-X,material-mechanism
7,C73B79C2209,CB56BB4DDB0,[Fe(CN)6],carbon-electrode redox interface,material_entity,electrode_interface,0.2540701627731323,13,21,13,21,4,7,4,7,0.5714285714285714,2,2,4,0.3333333333333333,0.0,10,24,6,0.2142857142857142,1.8966274676509776,273,2,1,0,0,1,0,2022,2023-2026,0,0.5348505712360716,0.1327860427709079,0.7904487443392343,0.8506134211609715,0.8279127212844792,0,293,M-X,material-mechanism
8,C3002C089A5,C4CEC954E12,ionic thermodiffusion (Soret effect),platinum electrode,transport_mechanism,material_entity,0.2045027017593383,24,16,16,24,15,6,6,15,0.4,7,0,7,2.0,-0.3333333333333333,27,31,6,0.1764705882352941,1.7744791028350004,384,2,1,0,0,1,0,2022,2023-2026,0,0.7024677104881678,0.2115222182089111,0.911074516261836,0.8491107451626183,0.9242486620008232,1,72,M-X,material-mechanism
9,C3970EB273E,C5E47CC0A62,gelatin,Hofmeister/chaotropic effect,material_entity,gel_microstructure,0.30267995595932,21,10,10,21,4,2,2,4,0.5,4,1,5,1.3333333333333333,0.0,2,4,5,0.1923076923076923,1.5239646722834774,210,2,1,0,0,1,0,2022,2023-2026,0,0.4994340295334048,0.0341631699962049,0.247426924660354,0.8470399341292711,0.3931659118979003,0,1575,M-X,material-mechanism
10,C3002C089A5,C9910E60ABA,ionic thermodiffusion (Soret effect),carbon nanotube,transport_mechanism,material_entity,0.1621968746185302,24,28,24,28,15,11,11,15,0.7333333333333333,7,2,9,2.0,-0.6666666666666666,27,12,7,0.1555555555555555,2.263895124587731,672,2,1,0,0,1,0,2022,2023-2026,0,0.3334519196975974,0.2942699610257479,0.9703581720872788,0.8426183614656237,0.9701111568546728,1,11,M-X,material-mechanism
