layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
1,C25D09DDC57,C275FB7C4B0,Fe2+/Fe3+ solvation redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,0.5116666555404663,28,24,24,28,19,8,8,19,0.4210526315789473,8,2,10,0.3333333333333333,0.0,27,7,7,0.1555555555555555,2.0938427341654053,672,2,1,1,0,0,1,2022,2023-2026,0,0.2930605650938978,0.2538640601435514,0.9538904899135446,0.9201029230135858,0.9628653766982298,1,19,X-X,mechanism-mechanism
2,CA8C62A4868,CB56BB4DDB0,redox reaction entropy,carbon-electrode redox interface,solvation_entropy,electrode_interface,0.3339291214942932,27,21,21,27,11,7,7,11,0.6363636363636364,3,2,5,-0.3333333333333333,0.0,22,24,9,0.2307692307692307,2.8193613342102557,567,2,1,0,0,0,1,2022,2023-2026,0,0.310554201309859,0.1689545530083507,0.8653766982297242,0.90657060518732,0.8917249897076986,0,128,X-X,mechanism-mechanism
3,C3002C089A5,C5E47CC0A62,ionic thermodiffusion (Soret effect),Hofmeister/chaotropic effect,transport_mechanism,gel_microstructure,0.3875212073326111,24,10,10,24,15,2,2,15,0.1333333333333333,7,1,8,2.0,0.0,27,4,6,0.2142857142857142,1.893733539928364,240,2,1,0,0,0,1,2022,2023-2026,0,0.7556155971968302,0.2387626341182721,0.939069575957184,0.898888431453273,0.9505146150679292,1,33,X-X,mechanism-mechanism
4,CBA7A0F0CA3,CE4B0E242E7,thermogalvanic redox conversion,interfacial charge transfer,device_mechanism,electrode_interface,0.2246285080909729,60,16,16,60,41,6,6,41,0.1463414634146341,19,1,20,2.3333333333333335,-0.3333333333333333,28,31,11,0.1692307692307692,3.610889915004606,960,2,1,0,0,0,1,2022,2023-2026,0,0.6317766718115377,0.2570348539859801,0.9551255660765748,0.8871510909839441,0.9629477151090984,1,18,X-X,mechanism-mechanism
5,C45C8AAD12E,CEA29EF1A99,charge-transfer resistance engineering,thermal-gradient heat-transfer control,electrode_interface,device_mechanism,0.2467308044433593,21,16,16,21,8,8,8,8,1.0,1,4,5,-0.6666666666666666,0.6666666666666666,31,12,8,0.2758620689655172,2.3853473984018523,336,2,1,0,0,0,1,2022,2023-2026,0,0.3819183919540505,0.0545927764198296,0.4046932894195142,0.8792260189378344,0.521613832853026,0,1188,X-X,mechanism-mechanism
6,C97F8E13D1A,CEA29EF1A99,thermally regenerative electrochemical cycle,thermal-gradient heat-transfer control,device_mechanism,device_mechanism,0.4644120931625366,13,16,13,16,9,8,8,9,0.8888888888888888,2,4,6,-1.3333333333333333,0.6666666666666666,8,12,5,0.2083333333333333,1.5180748189987463,208,2,1,1,0,0,1,2022,2023-2026,0,0.3788304535311198,0.0615769891499383,0.4590366405928365,0.8776780568135034,0.5650061753808151,0,1055,X-X,mechanism-mechanism
7,C7932B1CE8C,CE6FC512ED2,chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.5335185527801514,18,8,8,18,5,2,2,5,0.4,4,2,6,1.0,0.6666666666666666,4,0,5,0.238095238095238,1.644619389220734,144,2,1,1,0,0,1,2022,2023-2026,0,0.6540871103234512,0.1306847396027355,0.7863318237958007,0.8746397694524495,0.826677645121449,0,297,X-X,mechanism-mechanism
8,C10C4FF4B6C,CB56BB4DDB0,hydrogen bonding,carbon-electrode redox interface,solvation_entropy,electrode_interface,0.258301168680191,18,21,18,21,5,7,5,7,0.7142857142857143,5,2,7,1.6666666666666667,0.0,1,24,6,0.1818181818181818,1.775118288084201,378,2,1,0,0,0,1,2022,2023-2026,0,0.5883863592140333,0.0632585676810152,0.4693289419514203,0.871169205434335,0.5729930012350761,0,1030,X-X,mechanism-mechanism
9,C188B56F6F1,C5E47CC0A62,ion-selectivity membrane transport,Hofmeister/chaotropic effect,transport_mechanism,gel_microstructure,0.3934362530708313,16,10,10,16,9,2,2,9,0.2222222222222222,3,1,4,0.0,0.0,28,4,5,0.238095238095238,1.7737064760806724,160,2,1,0,0,0,1,2022,2023-2026,0,0.5606326758208221,0.0963308162881379,0.6607657472210786,0.8539357760395223,0.7244956772334293,0,597,X-X,mechanism-mechanism
10,CC028ABF9C6,CF2C5201A37,anti-freezing organohydrogel design,porous-electrode area enhancement,gel_microstructure,electrode_interface,0.1790163815021515,22,19,19,22,6,5,5,6,0.8333333333333334,3,2,5,0.6666666666666666,0.3333333333333333,6,24,8,0.2424242424242424,2.431102669739387,418,2,1,0,0,0,1,2022,2023-2026,0,0.4575944184129643,0.0762655079702683,0.5500205846027172,0.8522025524907368,0.6357348703170029,0,853,X-X,mechanism-mechanism
11,C188B56F6F1,C45C8AAD12E,ion-selectivity membrane transport,charge-transfer resistance engineering,transport_mechanism,electrode_interface,0.3425083756446838,16,21,16,21,9,8,8,9,0.8888888888888888,3,1,4,0.0,-0.6666666666666666,28,31,5,0.15625,1.509391706607745,336,2,1,0,0,0,1,2022,2023-2026,0,0.4780410615649026,0.0362665585801237,0.2647179909427748,0.8455125566076575,0.4064223960477562,0,1538,X-X,mechanism-mechanism
12,C7032A2F7AB,C872881EC3C,hexacyanoferrate redox electrode,gel-confined redox transport,electrode_interface,gel_microstructure,0.3518685102462768,7,22,7,22,4,7,4,7,0.5714285714285714,0,7,7,-0.6666666666666666,2.3333333333333335,8,2,5,0.2083333333333333,1.3529393002892165,154,2,1,0,0,0,1,2022,2023-2026,0,0.6223890783687599,0.2407139125086769,0.9423631123919308,0.8439357760395225,0.948044462741869,1,38,X-X,mechanism-mechanism
13,C275FB7C4B0,CF2C5201A37,iodide/triiodide redox chemistry,porous-electrode area enhancement,redox_chemistry,electrode_interface,0.2445270717144012,24,19,19,24,8,5,5,8,0.625,2,2,4,0.0,0.3333333333333333,7,24,6,0.1621621621621621,1.770327281016733,456,2,1,0,0,0,1,2022,2023-2026,0,0.318902647022669,0.0913895674147713,0.6335940716344175,0.8427336352408399,0.7007822149032523,0,657,X-X,mechanism-mechanism
14,C188B56F6F1,C7932B1CE8C,ion-selectivity membrane transport,chaotropic polymer-water disruption,transport_mechanism,gel_microstructure,0.1767603904008865,16,18,16,18,9,5,5,9,0.5555555555555556,3,4,7,0.0,1.0,28,4,6,0.2142857142857142,2.0179458127566448,288,2,1,0,0,0,1,2022,2023-2026,0,0.5721596436359999,0.0373496535757252,0.2741869081926719,0.8421696171263893,0.4130094689172499,0,1511,X-X,mechanism-mechanism
15,CB56BB4DDB0,CEA29EF1A99,carbon-electrode redox interface,thermal-gradient heat-transfer control,electrode_interface,device_mechanism,0.155137687921524,21,16,16,21,7,8,7,8,0.875,2,4,6,0.0,0.6666666666666666,24,12,7,0.2333333333333333,2.045518696049086,336,2,1,0,0,0,1,2022,2023-2026,0,0.4260745012958386,0.0702599092560246,0.5096747632770687,0.8399711815561959,0.6010703993412927,0,952,X-X,mechanism-mechanism
16,CE4B0E242E7,CEA29EF1A99,interfacial charge transfer,thermal-gradient heat-transfer control,electrode_interface,device_mechanism,0.2666964828968048,16,16,16,16,6,8,6,8,0.75,1,4,5,-0.3333333333333333,0.6666666666666666,31,12,5,0.1851851851851851,1.471737060156612,256,2,1,0,0,0,1,2022,2023-2026,0,0.470042499062176,0.0582461299153818,0.4318649650061754,0.8390366405928366,0.5386578839028406,0,1134,X-X,mechanism-mechanism
