layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
1,C3970EB273E,C9910E60ABA,gelatin,carbon nanotube,material_entity,material_entity,0.3244827091693878,21,28,21,28,4,11,4,11,0.3636363636363636,4,2,6,1.3333333333333333,-0.6666666666666666,2,12,9,0.225,2.8183939657074157,588,2,1,1,1,0,0,2022,2023-2026,0,0.1649908088788397,0.1269755334141971,0.7731576780568135,0.9100370522848908,0.8180321119802387,0,324,M-M,material-material
2,C130B58DCFB,C2866DCD56B,ferri/ferrocyanide,PEDOT,material_entity,material_entity,0.3629423379898071,44,10,10,44,20,2,2,20,0.1,5,0,5,-0.6666666666666666,-0.6666666666666666,28,5,7,0.1489361702127659,2.159127663445462,440,2,1,1,1,0,0,2022,2023-2026,0,0.150533004202541,0.1482705805917478,0.8262659530671058,0.8857101687937424,0.8597776862906545,0,211,M-M,material-material
3,C10626AE9E8,C73B79C2209,[Fe(CN)6]3-/4-,[Fe(CN)6],material_entity,material_entity,0.964477002620697,11,13,11,13,4,4,4,4,1.0,2,2,4,0.6666666666666666,0.3333333333333333,28,10,6,0.3333333333333333,1.91767795597811,143,2,1,1,1,0,0,2022,2023-2026,0,0.4747867794702174,0.077241315786443,0.5574310415808975,0.8804775627830383,0.6439687114038699,0,827,M-M,material-material
4,C130B58DCFB,C7096F6ECC5,ferri/ferrocyanide,imidazolium ionic-liquid phase transition electrolyte,material_entity,material_system,0.219869926571846,44,13,13,44,20,5,5,20,0.25,5,2,7,-0.6666666666666666,0.6666666666666666,28,8,8,0.1632653061224489,2.555233371057085,572,2,1,0,1,0,0,2022,2023-2026,0,0.1574089107724859,0.0956151643993611,0.6566488266776451,0.869230135858378,0.7225195553725813,0,602,M-M,material-material
5,C130B58DCFB,C5B8C057FAD,ferri/ferrocyanide,metal oxide,material_entity,material_system,0.4552344679832458,44,8,8,44,20,2,2,20,0.1,5,1,6,-0.6666666666666666,0.0,28,4,5,0.1063829787234042,1.46999516447017,352,2,1,0,1,0,0,2022,2023-2026,0,0.2185831041373669,0.1415672035206534,0.8126801152737753,0.8570522848909017,0.8463565253190614,0,244,M-M,material-material
6,C2106B674B9,C9910E60ABA,iodide/triiodide,carbon nanotube,material_entity,material_entity,0.3012929558753967,20,28,20,28,7,11,7,11,0.6363636363636364,2,2,4,0.0,-0.6666666666666666,7,12,6,0.1428571428571428,1.8390047170933657,560,2,1,1,1,0,0,2022,2023-2026,0,0.0734667600384502,0.1081873438876397,0.7179909427748045,0.8553808151502675,0.7704405104981473,0,454,M-M,material-material
7,C06E312C91F,C9910E60ABA,[Fe(CN)6]4-/3-,carbon nanotube,material_entity,material_entity,0.4354942440986633,11,28,11,28,2,11,2,11,0.1818181818181818,2,2,4,0.6666666666666666,-0.6666666666666666,2,12,5,0.1470588235294117,1.4369252566593034,308,2,1,1,1,0,0,2022,2023-2026,0,0.2654251113276127,0.1379588502257226,0.8060930424042816,0.8506751749691231,0.8405104981473858,0,261,M-M,material-material
8,C10626AE9E8,C2106B674B9,[Fe(CN)6]3-/4-,iodide/triiodide,material_entity,material_entity,0.4021614789962768,11,20,11,20,4,7,4,7,0.5714285714285714,2,2,4,0.6666666666666666,0.0,28,7,5,0.1923076923076923,1.4047102351901135,220,2,1,1,1,0,0,2022,2023-2026,0,0.3629137980543732,0.0918205778903622,0.6348291477974475,0.8478592013174147,0.7031700288184438,0,649,M-M,material-material
9,C73B79C2209,CD0FD071A10,[Fe(CN)6],carbon cloth,material_entity,material_entity,0.4034808874130249,13,11,11,13,4,2,2,4,0.5,2,1,3,0.3333333333333333,0.0,10,4,6,0.3333333333333333,1.8966274676509776,143,2,1,1,1,0,0,2022,2023-2026,0,0.2692359438531844,0.0846615633474347,0.6018937834499795,0.8470111156854672,0.676657060518732,0,732,M-M,material-material
10,C3970EB273E,C6181968680,gelatin,graphene,material_entity,material_entity,0.3025485277175903,21,18,18,21,4,6,4,6,0.6666666666666666,4,2,6,1.3333333333333333,0.0,2,10,5,0.1470588235294117,1.3909094768811874,378,2,1,1,1,0,0,2022,2023-2026,0,0.2227155843667772,0.0436508754370413,0.3231782626595306,0.8464800329353642,0.4536023054755043,0,1376,M-M,material-material
