concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,ite_first_year,tg_first_year,transfer_lag_years,transfer_status,ite_first_evidence_paper,tg_first_evidence_paper,ite_evidence_papers,tg_evidence_papers
CC5968B917E,CE2D00B183C,convection and mass transport,redox-kinetics enhancement,transport_mechanism,electrode_interface,,1994.0,,TG_only,,P0129,,1.0
CB56BB4DDB0,CF2C5201A37,carbon-electrode redox interface,porous-electrode area enhancement,electrode_interface,electrode_interface,,1998.0,,TG_only,,P0328,,3.0
CEA29EF1A99,CF2C5201A37,thermal-gradient heat-transfer control,porous-electrode area enhancement,device_mechanism,electrode_interface,,2010.0,,TG_only,,P0289,,1.0
C45C8AAD12E,C845F498233,charge-transfer resistance engineering,ion-dipole interaction,electrode_interface,solvation_entropy,,2012.0,,TG_only,,P0316,,1.0
C45C8AAD12E,CBFAB31D6E6,charge-transfer resistance engineering,electrostatic interaction,electrode_interface,solvation_entropy,,2012.0,,TG_only,,P0316,,1.0
C845F498233,CE4B0E242E7,ion-dipole interaction,interfacial charge transfer,solvation_entropy,electrode_interface,,2012.0,,TG_only,,P0316,,1.0
CBFAB31D6E6,CE4B0E242E7,electrostatic interaction,interfacial charge transfer,solvation_entropy,electrode_interface,,2012.0,,TG_only,,P0316,,1.0
C23B9BED21A,CC5968B917E,ionic conduction,convection and mass transport,transport_mechanism,transport_mechanism,,2014.0,,TG_only,,P0303,,1.0
C182567E63B,C46747A02A1,ion concentration-gradient formation,ion-pairing and complexation,transport_mechanism,solvation_entropy,,2016.0,,TG_only,,P0283,,1.0
C182567E63B,C6B063A770B,ion concentration-gradient formation,supramolecular host-guest redox entropy,transport_mechanism,solvation_entropy,,2016.0,,TG_only,,P0283,,1.0
C182567E63B,C78D65254F9,ion concentration-gradient formation,phase transition,transport_mechanism,phase_or_species_transition,,2016.0,,TG_only,,P0283,,1.0
C182567E63B,CD486BA800F,ion concentration-gradient formation,host-guest complexation,transport_mechanism,solvation_entropy,,2016.0,,TG_only,,P0283,,1.0
C188B56F6F1,C6C09287FDB,ion-selectivity membrane transport,high-entropy redox/ion coupling,transport_mechanism,solvation_entropy,,2016.0,,TG_only,,P0216,,1.0
C6B063A770B,C78D65254F9,supramolecular host-guest redox entropy,phase transition,solvation_entropy,phase_or_species_transition,,2016.0,,TG_only,,P0283,,1.0
C78D65254F9,CD486BA800F,phase transition,host-guest complexation,phase_or_species_transition,solvation_entropy,,2016.0,,TG_only,,P0283,,1.0
C6B063A770B,CA8C62A4868,supramolecular host-guest redox entropy,redox reaction entropy,solvation_entropy,solvation_entropy,,2018.0,,TG_only,,P0315,,2.0
CA8C62A4868,CD486BA800F,redox reaction entropy,host-guest complexation,solvation_entropy,solvation_entropy,,2018.0,,TG_only,,P0315,,2.0
C46747A02A1,C720E904BA7,ion-pairing and complexation,hydration-shell regulation,solvation_entropy,solvation_entropy,,2020.0,,TG_only,,P0285,,1.0
C188B56F6F1,CA8C62A4868,ion-selectivity membrane transport,redox reaction entropy,transport_mechanism,solvation_entropy,,2021.0,,TG_only,,P0223,,1.0
C188B56F6F1,CF2C5201A37,ion-selectivity membrane transport,porous-electrode area enhancement,transport_mechanism,electrode_interface,,2021.0,,TG_only,,P0205,,1.0
C10C4FF4B6C,C9B6878E079,hydrogen bonding,photothermal-thermoelectric coupling,solvation_entropy,device_mechanism,,2022.0,,TG_only,,P0057,,1.0
C10D3798CF7,C3C17DDE1C9,selective solvation,Gutmann-donor ionic-cluster thermodiffusion,solvation_entropy,transport_mechanism,,2022.0,,TG_only,,P0063,,1.0
C3C17DDE1C9,C41BE9B5F0E,Gutmann-donor ionic-cluster thermodiffusion,solvation-shell remodeling,transport_mechanism,solvation_entropy,,2022.0,,TG_only,,P0063,,1.0
C4AF8816DD4,C78D65254F9,ion-induced crystallization,phase transition,phase_or_species_transition,phase_or_species_transition,,2022.0,,TG_only,,P0039,,3.0
C4AF8816DD4,CC028ABF9C6,ion-induced crystallization,anti-freezing organohydrogel design,phase_or_species_transition,gel_microstructure,,2022.0,,TG_only,,P0039,,1.0
C4AF8816DD4,CEA29EF1A99,ion-induced crystallization,thermal-gradient heat-transfer control,phase_or_species_transition,device_mechanism,,2022.0,,TG_only,,P0039,,1.0
C872881EC3C,CB56BB4DDB0,gel-confined redox transport,carbon-electrode redox interface,gel_microstructure,electrode_interface,,2022.0,,TG_only,,P0219,,2.0
C9B6878E079,CB25BC3FC14,photothermal-thermoelectric coupling,double/interpenetrating network,device_mechanism,gel_microstructure,,2022.0,,TG_only,,P0057,,1.0
C9B6878E079,CE6FC512ED2,photothermal-thermoelectric coupling,dynamic crosslinked gel network,device_mechanism,gel_microstructure,,2022.0,,TG_only,,P0057,,1.0
C10C4FF4B6C,CEA29EF1A99,hydrogen bonding,thermal-gradient heat-transfer control,solvation_entropy,device_mechanism,,2023.0,,TG_only,,P0059,,1.0
C10D3798CF7,C6B063A770B,selective solvation,supramolecular host-guest redox entropy,solvation_entropy,solvation_entropy,,2023.0,,TG_only,,P0195,,1.0
C10D3798CF7,CD486BA800F,selective solvation,host-guest complexation,solvation_entropy,solvation_entropy,,2023.0,,TG_only,,P0195,,1.0
C41BE9B5F0E,C45C8AAD12E,solvation-shell remodeling,charge-transfer resistance engineering,solvation_entropy,electrode_interface,,2023.0,,TG_only,,P0277,,1.0
C41BE9B5F0E,CE2D00B183C,solvation-shell remodeling,redox-kinetics enhancement,solvation_entropy,electrode_interface,,2023.0,,TG_only,,P0277,,1.0
C41BE9B5F0E,CE4B0E242E7,solvation-shell remodeling,interfacial charge transfer,solvation_entropy,electrode_interface,,2023.0,,TG_only,,P0277,,1.0
C45C8AAD12E,C5E47CC0A62,charge-transfer resistance engineering,Hofmeister/chaotropic effect,electrode_interface,gel_microstructure,,2023.0,,TG_only,,P0277,,1.0
C45C8AAD12E,C8863595B3A,charge-transfer resistance engineering,temperature-dependent electrode potential,electrode_interface,device_mechanism,,2023.0,,TG_only,,P0089,,1.0
C5E47CC0A62,CE2D00B183C,Hofmeister/chaotropic effect,redox-kinetics enhancement,gel_microstructure,electrode_interface,,2023.0,,TG_only,,P0277,,1.0
C5E47CC0A62,CE4B0E242E7,Hofmeister/chaotropic effect,interfacial charge transfer,gel_microstructure,electrode_interface,,2023.0,,TG_only,,P0277,,1.0
