concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,ite_first_year,tg_first_year,transfer_lag_years,transfer_status,ite_first_evidence_paper,tg_first_evidence_paper,ite_evidence_papers,tg_evidence_papers
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,1999.0,2021.0,22.0,iTE_then_TG,P1303,P0297,14.0,3.0
C08389FD6C6,C8AD5B453CC,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,2014.0,2021.0,7.0,iTE_then_TG,P1320,P0297,5.0,2.0
C3002C089A5,CFBB5A400A1,ionic thermodiffusion (Soret effect),cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,2016.0,2021.0,5.0,iTE_then_TG,P0447,P0201,41.0,16.0
C10C4FF4B6C,C7932B1CE8C,hydrogen bonding,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,2019.0,2021.0,2.0,iTE_then_TG,P0644,P0182,32.0,10.0
C10C4FF4B6C,CC028ABF9C6,hydrogen bonding,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,2019.0,2021.0,2.0,iTE_then_TG,P0644,P0182,12.0,8.0
C7932B1CE8C,CC028ABF9C6,chaotropic polymer-water disruption,anti-freezing organohydrogel design,gel_microstructure,gel_microstructure,2019.0,2021.0,2.0,iTE_then_TG,P0644,P0182,7.0,5.0
C10C4FF4B6C,CE6FC512ED2,hydrogen bonding,dynamic crosslinked gel network,solvation_entropy,gel_microstructure,2019.0,2022.0,3.0,iTE_then_TG,P0644,P0057,11.0,1.0
C08389FD6C6,C188B56F6F1,moisture-gradient ion transport,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,2017.0,2023.0,6.0,iTE_then_TG,P0444,P0177,10.0,1.0
C08389FD6C6,C78D65254F9,moisture-gradient ion transport,phase transition,transport_mechanism,phase_or_species_transition,2019.0,2023.0,4.0,iTE_then_TG,P1827,P0193,2.0,2.0
C78D65254F9,CA8C62A4868,phase transition,redox reaction entropy,phase_or_species_transition,solvation_entropy,2020.0,2023.0,3.0,iTE_then_TG,P0633,P0212,2.0,2.0
C46747A02A1,C872881EC3C,ion-pairing and complexation,gel-confined redox transport,solvation_entropy,gel_microstructure,2021.0,2023.0,2.0,iTE_then_TG,P0568,P0193,8.0,7.0
C10C4FF4B6C,C78D65254F9,hydrogen bonding,phase transition,solvation_entropy,phase_or_species_transition,2022.0,2023.0,1.0,iTE_then_TG,P0697,P0059,2.0,1.0
C3002C089A5,CE6FC512ED2,ionic thermodiffusion (Soret effect),dynamic crosslinked gel network,transport_mechanism,gel_microstructure,2022.0,2023.0,1.0,iTE_then_TG,P0609,P0180,10.0,1.0
C539540C36B,C96681C9193,nanochannel-confined ion transport,ion channels,transport_mechanism,transport_mechanism,2020.0,2024.0,4.0,iTE_then_TG,P1096,P0197,7.0,1.0
C78D65254F9,CB314592CFB,phase transition,precipitation and species redistribution,phase_or_species_transition,phase_or_species_transition,2021.0,2024.0,3.0,iTE_then_TG,P1493,P0053,1.0,1.0
C872881EC3C,CB314592CFB,gel-confined redox transport,precipitation and species redistribution,gel_microstructure,phase_or_species_transition,2021.0,2024.0,3.0,iTE_then_TG,P1493,P0053,1.0,1.0
