concept_id,canonical_concept,concept_type,concept_subtype,parent_domain,graph_role,first_year,last_year,prediction_eligible,evidence_only,document_frequency,max_confidence,iTE_document_frequency,TG_document_frequency,pure_mechanism,curation_reason
C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,transport mechanisms,prediction_core,1995.0,2026.0,True,False,153,0.97,136,38,True,retained_atomic_or_generic_mechanism
C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,2003.0,2026.0,True,False,107,0.97,90,19,True,retained_atomic_or_generic_mechanism
C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,2020.0,2026.0,True,False,94,0.97,52,62,True,retained_atomic_or_generic_mechanism
C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2002.0,2026.0,True,False,94,0.97,82,15,True,retained_atomic_or_generic_mechanism
CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,2007.0,2026.0,True,False,78,0.97,58,25,True,retained_atomic_or_generic_mechanism
C188B56F6F1,ion-selectivity membrane transport,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,1994.0,2026.0,True,False,73,0.97,58,18,True,retained_atomic_or_generic_mechanism
C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,chemical and redox mechanisms,prediction_core,2011.0,2026.0,True,False,64,0.97,54,17,True,retained_atomic_or_generic_mechanism
C23B9BED21A,ionic conduction,transport_mechanism,ionic transport,transport mechanisms,prediction_core,1992.0,2026.0,True,False,59,0.94,55,4,True,retained_atomic_or_generic_mechanism
C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,chemical and redox mechanisms,prediction_core,2004.0,2026.0,True,False,57,0.94,45,15,True,retained_atomic_or_generic_mechanism
CF4A6A0344F,ion migration,transport_mechanism,ionic transport,transport mechanisms,prediction_core,1993.0,2026.0,True,False,51,0.94,48,5,True,retained_atomic_or_generic_mechanism
C8AD5B453CC,ion diffusion,transport_mechanism,ionic transport,transport mechanisms,prediction_core,1999.0,2026.0,True,False,49,0.94,45,7,True,retained_atomic_or_generic_mechanism
CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,transport mechanisms,prediction_core,2016.0,2026.0,True,False,48,0.97,43,16,True,retained_atomic_or_generic_mechanism
CC3BA67827F,ionic-electronic coupling,transport_mechanism,coupled transport,transport mechanisms,prediction_core,1993.0,2026.0,True,False,48,0.97,48,1,True,retained_atomic_or_generic_mechanism
C45C8AAD12E,charge-transfer resistance engineering,electrode_interface,interface/kinetics mechanism,interfaces and kinetics,prediction_core,1991.0,2026.0,True,False,46,0.97,32,19,True,retained_atomic_or_generic_mechanism
CEA29EF1A99,thermal-gradient heat-transfer control,device_mechanism,thermal management,device-scale conversion mechanisms,prediction_core,2010.0,2026.0,True,False,45,0.94,29,17,True,retained_atomic_or_generic_mechanism
C7932B1CE8C,chaotropic polymer-water disruption,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,2018.0,2026.0,True,False,43,0.97,34,13,True,retained_atomic_or_generic_mechanism
CE4B0E242E7,interfacial charge transfer,electrode_interface,charge transfer,interfaces and kinetics,prediction_core,1991.0,2026.0,True,False,43,0.94,36,11,True,retained_atomic_or_generic_mechanism
CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,chemical and redox mechanisms,prediction_core,2000.0,2026.0,True,False,40,0.97,18,31,True,retained_atomic_or_generic_mechanism
CC5968B917E,convection and mass transport,transport_mechanism,mass transport,transport mechanisms,prediction_core,1994.0,2026.0,True,False,28,0.94,11,20,True,retained_atomic_or_generic_mechanism
C539540C36B,nanochannel-confined ion transport,transport_mechanism,ionic transport,transport mechanisms,prediction_core,2018.0,2026.0,True,False,27,0.97,26,3,True,retained_atomic_or_generic_mechanism
CB25BC3FC14,double/interpenetrating network,gel_microstructure,network structure,soft-material structure,prediction_core,2022.0,2026.0,True,False,23,0.94,18,9,True,retained_atomic_or_generic_mechanism
C10D3798CF7,selective solvation,solvation_entropy,solvation,chemical and redox mechanisms,prediction_core,2000.0,2026.0,True,False,23,0.97,11,18,True,retained_atomic_or_generic_mechanism
CB56BB4DDB0,carbon-electrode redox interface,electrode_interface,interface/kinetics mechanism,interfaces and kinetics,prediction_core,1998.0,2026.0,True,False,21,0.97,9,14,True,retained_atomic_or_generic_mechanism
CBFAB31D6E6,electrostatic interaction,solvation_entropy,intermolecular interaction,chemical and redox mechanisms,prediction_core,2012.0,2026.0,True,False,19,0.94,16,3,True,retained_atomic_or_generic_mechanism
C6C09287FDB,high-entropy redox/ion coupling,solvation_entropy,solvation/entropy mechanism,chemical and redox mechanisms,prediction_core,1995.0,2026.0,True,False,18,0.97,13,7,True,retained_atomic_or_generic_mechanism
C5E47CC0A62,Hofmeister/chaotropic effect,gel_microstructure,specific-ion effect,soft-material structure,prediction_core,2018.0,2026.0,True,False,16,0.94,11,8,True,retained_atomic_or_generic_mechanism
C845F498233,ion-dipole interaction,solvation_entropy,intermolecular interaction,chemical and redox mechanisms,prediction_core,2012.0,2026.0,True,False,16,0.97,14,2,True,retained_atomic_or_generic_mechanism
C9B6878E079,photothermal-thermoelectric coupling,device_mechanism,multimodal conversion,device-scale conversion mechanisms,prediction_core,2018.0,2026.0,True,False,15,0.94,3,14,True,retained_atomic_or_generic_mechanism
CE2D00B183C,redox-kinetics enhancement,electrode_interface,reaction kinetics,interfaces and kinetics,prediction_core,1994.0,2026.0,True,False,15,0.94,6,11,True,retained_atomic_or_generic_mechanism
CF203EF8121,Eastman entropy of transfer,solvation_entropy,ionic thermodynamics,chemical and redox mechanisms,prediction_core,2017.0,2026.0,True,False,14,0.94,14,2,True,retained_atomic_or_generic_mechanism
CB314592CFB,precipitation and species redistribution,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,2016.0,2026.0,True,False,12,0.94,9,3,True,retained_atomic_or_generic_mechanism
CF69DD93A68,selective ion transport,transport_mechanism,ionic transport,transport mechanisms,prediction_core,2021.0,2026.0,True,False,12,0.94,12,1,True,retained_atomic_or_generic_mechanism
CC022D91D01,solvation entropy,solvation_entropy,solvation/entropy mechanism,chemical and redox mechanisms,prediction_core,2024.0,2026.0,True,False,11,0.78,6,11,True,retained_atomic_or_generic_mechanism
C96681C9193,ion channels,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2019.0,2025.0,True,False,10,0.78,9,2,True,retained_atomic_or_generic_mechanism
CF2C5201A37,porous-electrode area enhancement,electrode_interface,electrode architecture,interfaces and kinetics,prediction_core,1998.0,2026.0,True,False,9,0.94,1,9,True,retained_atomic_or_generic_mechanism
C41BE9B5F0E,solvation-shell remodeling,solvation_entropy,solvation,chemical and redox mechanisms,prediction_core,2017.0,2026.0,True,False,9,0.97,4,8,True,retained_atomic_or_generic_mechanism
C5CE88E5AD7,thermal migration,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2023.0,2026.0,True,False,9,0.78,9,0,True,retained_atomic_or_generic_mechanism
CD486BA800F,host-guest complexation,solvation_entropy,supramolecular interaction,chemical and redox mechanisms,prediction_core,2003.0,2026.0,True,False,8,0.94,5,3,True,retained_atomic_or_generic_mechanism
C46A965349B,anion transport,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2020.0,2026.0,True,False,7,0.78,6,1,True,retained_atomic_or_generic_mechanism
C98C1040415,cation transport,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2022.0,2026.0,True,False,7,0.78,7,0,True,retained_atomic_or_generic_mechanism
C555F4672C1,configurational-entropy modulation,phase_or_species_transition,entropy mechanism,phase and species transitions,prediction_core,2018.0,2026.0,True,False,7,0.97,6,3,True,retained_atomic_or_generic_mechanism
C41DA9D5B12,convection-resolved resistance decomposition,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2013.0,2026.0,True,False,7,0.97,6,2,True,retained_atomic_or_generic_mechanism
CABD4C9C815,salting-out confined ion gel,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,2022.0,2026.0,True,False,7,0.97,4,4,True,retained_atomic_or_generic_mechanism
CF652A991A2,salting-out,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,2024.0,2026.0,True,False,6,0.94,3,4,True,retained_atomic_or_generic_mechanism
C6B063A770B,supramolecular host-guest redox entropy,solvation_entropy,solvation/entropy mechanism,chemical and redox mechanisms,prediction_core,2016.0,2026.0,True,False,6,0.97,3,3,True,retained_atomic_or_generic_mechanism
C17A556FB4A,double-network hydrogel mechanics,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,2022.0,2026.0,True,False,5,0.97,4,2,True,retained_atomic_or_generic_mechanism
C5E63317596,hierarchical porous electrode interface,electrode_interface,interface/kinetics mechanism,interfaces and kinetics,prediction_core,2021.0,2024.0,True,False,5,0.97,2,4,True,retained_atomic_or_generic_mechanism
C182567E63B,ion concentration-gradient formation,transport_mechanism,concentration gradient,transport mechanisms,prediction_core,2016.0,2026.0,True,False,5,0.94,3,2,True,retained_atomic_or_generic_mechanism
C5CA44ABCFC,redox-solvation hybrid entropy,solvation_entropy,solvation/entropy mechanism,chemical and redox mechanisms,prediction_core,2020.0,2025.0,True,False,5,0.97,3,4,True,retained_atomic_or_generic_mechanism
C58F3B85353,thermoresponsive micellization p/n conversion,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,2017.0,2023.0,True,False,5,0.97,3,2,True,retained_atomic_or_generic_mechanism
C967653EA5F,thermosensitive crystallization,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,2022.0,2026.0,True,False,5,0.97,1,4,True,retained_atomic_or_generic_mechanism
C3C17DDE1C9,Gutmann-donor ionic-cluster thermodiffusion,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2022.0,2026.0,True,False,4,0.97,3,2,True,retained_atomic_or_generic_mechanism
C720E904BA7,hydration-shell regulation,solvation_entropy,hydration,chemical and redox mechanisms,prediction_core,2020.0,2026.0,True,False,4,0.94,1,4,True,retained_atomic_or_generic_mechanism
C90F2267A45,zwitterionic hydrogel ion regulation,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,2023.0,2025.0,True,False,4,0.97,3,1,True,retained_atomic_or_generic_mechanism
CE10EBC642C,Manning counterion condensation,transport_mechanism,ionic transport,transport mechanisms,prediction_core,2023.0,2025.0,True,False,3,0.94,3,0,True,retained_atomic_or_generic_mechanism
C4AF8816DD4,ion-induced crystallization,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,2022.0,2025.0,True,False,3,0.94,0,3,True,retained_atomic_or_generic_mechanism
C6153FCE2C1,pi-pi stacking,gel_microstructure,intermolecular interaction,soft-material structure,prediction_core,2020.0,2025.0,True,False,3,0.94,3,0,True,retained_atomic_or_generic_mechanism
C8863595B3A,temperature-dependent electrode potential,device_mechanism,thermoelectrochemical conversion,device-scale conversion mechanisms,prediction_core,2011.0,2023.0,True,False,3,0.94,0,3,True,retained_atomic_or_generic_mechanism
C9516FFBFC5,volume phase transition,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,2021.0,2025.0,True,False,3,0.97,3,0,True,retained_atomic_or_generic_mechanism
CAEE03ADAC5,bidirectional cationic anchoring thermodiffusion,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2023.0,2025.0,True,False,2,0.97,2,0,True,retained_atomic_or_generic_mechanism
C0AD9C93101,crown-ether cation complexation,solvation_entropy,supramolecular interaction,chemical and redox mechanisms,prediction_core,2025.0,2025.0,True,False,2,0.97,1,1,True,retained_atomic_or_generic_mechanism
C5BFFEEB7C0,evaporation-assisted concentration gradient,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2025.0,2026.0,True,False,2,0.97,0,2,True,retained_atomic_or_generic_mechanism
CEA97D4EE60,oriented ion-transport channels,gel_microstructure,network structure,soft-material structure,prediction_core,2023.0,2025.0,True,False,2,0.94,2,0,True,retained_atomic_or_generic_mechanism
C0E0D20D156,polarized-membrane ionic thermal potential,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,2016.0,2024.0,True,False,2,0.97,2,0,True,retained_atomic_or_generic_mechanism
CDBC384EF52,polymer-water interaction,gel_microstructure,polymer-solvent interaction,soft-material structure,prediction_core,2002.0,2026.0,True,False,2,0.94,2,0,True,retained_atomic_or_generic_mechanism
CAA2101509C,solid-liquid phase transition,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,2024.0,2025.0,True,False,2,0.94,2,1,True,retained_atomic_or_generic_mechanism
C70B6BBB358,temperature-sensitive phase transition,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,2023.0,2025.0,True,False,2,0.97,2,0,True,retained_atomic_or_generic_mechanism
CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,network structure,soft-material structure,prediction_core,,,True,False,47,0.97,41,11,True,retained_atomic_or_generic_mechanism
